Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Aditya Birla Sun Life Mutual Fund,,,
Aditya Birla Sun Life Government Securities Fund,,,
Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
30.1836,29.8818,30.1836,02-Jan-2013
30.26,29.9574,30.26,03-Jan-2013
30.341,30.0376,30.341,04-Jan-2013
30.4414,30.137,30.4414,07-Jan-2013
30.4501,30.1456,30.4501,08-Jan-2013
30.4939,30.189,30.4939,09-Jan-2013
30.5459,30.2404,30.5459,10-Jan-2013
30.5821,30.2763,30.5821,11-Jan-2013
30.7681,30.4604,30.7681,14-Jan-2013
30.7172,30.41,30.7172,15-Jan-2013
30.5969,30.2909,30.5969,16-Jan-2013
30.6524,30.3459,30.6524,17-Jan-2013
30.6364,30.33,30.6364,18-Jan-2013
30.6473,30.3408,30.6473,21-Jan-2013
30.6595,30.3529,30.6595,22-Jan-2013
30.6412,30.3348,30.6412,23-Jan-2013
30.6235,30.3173,30.6235,24-Jan-2013
30.6632,30.3566,30.6632,28-Jan-2013
30.6663,30.3596,30.6663,29-Jan-2013
30.6287,30.3224,30.6287,30-Jan-2013
30.6077,30.3016,30.6077,31-Jan-2013
30.6449,30.3385,30.6449,01-Feb-2013
30.6149,30.3088,30.6149,04-Feb-2013
30.6557,30.3491,30.6557,05-Feb-2013
30.6882,30.3813,30.6882,06-Feb-2013
30.7587,30.4511,30.7587,07-Feb-2013
30.7932,30.4853,30.7932,08-Feb-2013
30.7892,30.4813,30.7892,11-Feb-2013
30.7731,30.4654,30.7731,12-Feb-2013
30.8221,30.5139,30.8221,13-Feb-2013
30.8722,30.5635,30.8722,14-Feb-2013
30.8664,30.5577,30.8664,15-Feb-2013
30.9018,30.5928,30.9018,18-Feb-2013
30.9586,30.649,30.9586,20-Feb-2013
30.9494,30.6399,30.9494,21-Feb-2013
30.9569,30.6473,30.9569,22-Feb-2013
30.9785,30.6687,30.9785,25-Feb-2013
30.9667,30.657,30.9667,26-Feb-2013
30.9727,30.663,30.9727,27-Feb-2013
30.8844,30.5756,30.8844,28-Feb-2013
30.8422,30.5338,30.8422,01-Mar-2013
30.9103,30.6012,30.9103,04-Mar-2013
30.9374,30.628,30.9374,05-Mar-2013
30.9704,30.6607,30.9704,06-Mar-2013
30.9768,30.667,30.9768,07-Mar-2013
31.0256,30.7153,31.0256,08-Mar-2013
31.0405,30.7301,31.0405,11-Mar-2013
30.9842,30.6744,30.9842,12-Mar-2013
30.9622,30.6526,30.9622,13-Mar-2013
31.0068,30.6967,31.0068,14-Mar-2013
31.0147,30.7046,31.0147,15-Mar-2013
31.0097,30.6996,31.0097,18-Mar-2013
30.9781,30.6683,30.9781,19-Mar-2013
30.9542,30.6447,30.9542,20-Mar-2013
30.9539,30.6444,30.9539,21-Mar-2013
30.9386,30.6292,30.9386,22-Mar-2013
30.9594,30.6498,30.9594,25-Mar-2013
30.9264,30.6171,30.9264,26-Mar-2013
30.9758,30.666,30.9758,28-Mar-2013
30.9489,30.6394,30.9489,02-Apr-2013
31.0114,30.7013,31.0114,03-Apr-2013
31.0275,30.7172,31.0275,04-Apr-2013
31.0989,30.7879,31.0989,05-Apr-2013
31.1807,30.8689,31.1807,08-Apr-2013
31.2464,30.9339,31.2464,09-Apr-2013
31.2465,30.934,31.2465,10-Apr-2013
31.3405,31.0271,31.3405,12-Apr-2013
31.4522,31.1377,31.4522,15-Apr-2013
31.4827,31.1679,31.4827,16-Apr-2013
31.5553,31.2397,31.5553,17-Apr-2013
31.6292,31.3129,31.6292,18-Apr-2013
31.6847,31.3679,31.6847,22-Apr-2013
31.7583,31.4407,31.7583,23-Apr-2013
31.7228,31.4056,31.7228,25-Apr-2013
31.7769,31.4591,31.7769,26-Apr-2013
31.784,31.4662,31.784,29-Apr-2013
31.8131,31.495,31.8131,30-Apr-2013
31.8483,31.5298,31.8483,02-May-2013
31.8237,31.5055,31.8237,03-May-2013
31.8228,31.5046,31.8228,06-May-2013
31.8874,31.5685,31.8874,07-May-2013
31.9905,31.6706,31.9905,08-May-2013
32.1895,31.8676,32.1895,09-May-2013
32.2085,31.8864,32.2085,10-May-2013
32.252,31.9295,32.252,13-May-2013
32.4703,32.1456,32.4703,14-May-2013
32.6411,32.3147,32.6411,15-May-2013
