Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Axis Mutual Fund,,,
Axis Gilt Fund,,,
Axis Gilt Fund - Direct Plan - Growth Option,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
10.689,10.5821,10.689,02-Jan-2013
10.7127,10.6056,10.7127,03-Jan-2013
10.7388,10.6314,10.7388,04-Jan-2013
10.7642,10.6566,10.7642,07-Jan-2013
10.7671,10.6594,10.7671,08-Jan-2013
10.7749,10.7749,10.7749,09-Jan-2013
10.7889,10.7889,10.7889,10-Jan-2013
10.7984,10.7984,10.7984,11-Jan-2013
10.8459,10.8459,10.8459,14-Jan-2013
10.8261,10.8261,10.8261,15-Jan-2013
10.7886,10.7886,10.7886,16-Jan-2013
10.818,10.818,10.818,17-Jan-2013
10.8094,10.8094,10.8094,18-Jan-2013
10.8113,10.8113,10.8113,21-Jan-2013
10.8172,10.8172,10.8172,22-Jan-2013
10.8049,10.8049,10.8049,23-Jan-2013
10.7929,10.7929,10.7929,24-Jan-2013
10.8152,10.8152,10.8152,28-Jan-2013
10.8193,10.8193,10.8193,29-Jan-2013
10.7936,10.7936,10.7936,30-Jan-2013
10.7805,10.7805,10.7805,31-Jan-2013
10.7868,10.7868,10.7868,01-Feb-2013
10.7754,10.7754,10.7754,04-Feb-2013
10.7903,10.7903,10.7903,05-Feb-2013
10.8054,10.8054,10.8054,06-Feb-2013
10.8292,10.8292,10.8292,07-Feb-2013
10.8496,10.8496,10.8496,08-Feb-2013
10.8469,10.8469,10.8469,11-Feb-2013
10.8401,10.8401,10.8401,12-Feb-2013
10.8605,10.8605,10.8605,13-Feb-2013
10.88,10.88,10.88,14-Feb-2013
10.8738,10.8738,10.8738,15-Feb-2013
10.8824,10.8824,10.8824,18-Feb-2013
10.9059,10.9059,10.9059,20-Feb-2013
10.9003,10.9003,10.9003,21-Feb-2013
10.9082,10.9082,10.9082,22-Feb-2013
10.9133,10.9133,10.9133,25-Feb-2013
10.9038,10.9038,10.9038,26-Feb-2013
10.9132,10.9132,10.9132,27-Feb-2013
10.8642,10.8642,10.8642,28-Feb-2013
10.8455,10.8455,10.8455,01-Mar-2013
10.8687,10.8687,10.8687,04-Mar-2013
10.8786,10.8786,10.8786,05-Mar-2013
10.8921,10.8921,10.8921,06-Mar-2013
10.8943,10.8943,10.8943,07-Mar-2013
10.9073,10.9073,10.9073,08-Mar-2013
10.9106,10.9106,10.9106,11-Mar-2013
10.8859,10.8859,10.8859,12-Mar-2013
10.8782,10.8782,10.8782,13-Mar-2013
10.8994,10.8994,10.8994,14-Mar-2013
10.9008,10.9008,10.9008,15-Mar-2013
10.8964,10.8964,10.8964,18-Mar-2013
10.8858,10.8858,10.8858,19-Mar-2013
10.8734,10.8734,10.8734,20-Mar-2013
10.8718,10.8718,10.8718,21-Mar-2013
10.8601,10.8601,10.8601,22-Mar-2013
10.8701,10.8701,10.8701,25-Mar-2013
