Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
DSP Mutual Fund,,,
DSP Government Securities Fund,,,
DSP Government Securities Fund - Direct Plan - Growth,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
37.6335,37.5959,37.6335,02-Jan-2013
37.7471,37.7094,37.7471,03-Jan-2013
37.8617,37.8238,37.8617,04-Jan-2013
37.9997,37.9617,37.9997,07-Jan-2013
38.0118,37.9738,38.0118,08-Jan-2013
38.0507,38.0126,38.0507,09-Jan-2013
38.1171,38.079,38.1171,10-Jan-2013
38.1753,38.1371,38.1753,11-Jan-2013
38.3965,38.3581,38.3965,14-Jan-2013
38.3164,38.2781,38.3164,15-Jan-2013
38.1438,38.1057,38.1438,16-Jan-2013
38.2463,38.2081,38.2463,17-Jan-2013
38.2159,38.1777,38.2159,18-Jan-2013
38.2098,38.1716,38.2098,21-Jan-2013
38.2174,38.1792,38.2174,22-Jan-2013
38.1575,38.1193,38.1575,23-Jan-2013
38.116,38.0779,38.116,24-Jan-2013
38.1882,38.15,38.1882,28-Jan-2013
38.2041,38.1659,38.2041,29-Jan-2013
38.1064,38.0683,38.1064,30-Jan-2013
38.0469,38.0089,38.0469,31-Jan-2013
38.0763,38.0382,38.0763,01-Feb-2013
38.0208,37.9828,38.0208,04-Feb-2013
38.054,38.0159,38.054,05-Feb-2013
38.114,38.0759,38.114,06-Feb-2013
38.2435,38.2053,38.2435,07-Feb-2013
38.3416,38.3033,38.3416,08-Feb-2013
38.3374,38.2991,38.3374,11-Feb-2013
38.3037,38.2654,38.3037,12-Feb-2013
38.3872,38.3488,38.3872,13-Feb-2013
38.4506,38.4121,38.4506,14-Feb-2013
38.4281,38.3897,38.4281,15-Feb-2013
38.4498,38.4114,38.4498,18-Feb-2013
38.5116,38.4731,38.5116,20-Feb-2013
38.4929,38.4544,38.4929,21-Feb-2013
38.5247,38.4862,38.5247,22-Feb-2013
38.534,38.4955,38.534,25-Feb-2013
38.5024,38.4639,38.5024,26-Feb-2013
38.5274,38.4889,38.5274,27-Feb-2013
38.3698,38.3314,38.3698,28-Feb-2013
38.3141,38.2758,38.3141,01-Mar-2013
38.388,38.3496,38.388,04-Mar-2013
38.4178,38.3794,38.4178,05-Mar-2013
38.4631,38.4246,38.4631,06-Mar-2013
38.4655,38.427,38.4655,07-Mar-2013
38.5079,38.4694,38.5079,08-Mar-2013
38.5176,38.4791,38.5176,11-Mar-2013
38.4449,38.4065,38.4449,12-Mar-2013
38.4279,38.3895,38.4279,13-Mar-2013
38.4919,38.4534,38.4919,14-Mar-2013
38.5025,38.464,38.5025,15-Mar-2013
38.4802,38.4417,38.4802,18-Mar-2013
38.4398,38.4014,38.4398,19-Mar-2013
38.4006,38.3622,38.4006,20-Mar-2013
38.398,38.3596,38.398,21-Mar-2013
38.3615,38.3231,38.3615,22-Mar-2013
38.3893,38.3509,38.3893,25-Mar-2013
38.3547,38.3163,38.3547,26-Mar-2013
38.4047,38.3663,38.4047,28-Mar-2013
38.4018,38.3634,38.4018,02-Apr-2013
38.4624,38.4239,38.4624,03-Apr-2013
38.4715,38.433,38.4715,04-Apr-2013
38.5352,38.4967,38.5352,05-Apr-2013
38.6277,38.5891,38.6277,08-Apr-2013
38.6904,38.6517,38.6904,09-Apr-2013
38.6903,38.6516,38.6903,10-Apr-2013
38.7777,38.7389,38.7777,12-Apr-2013
38.8894,38.8505,38.8894,15-Apr-2013
38.9361,38.8972,38.9361,16-Apr-2013
39.0151,38.9761,39.0151,17-Apr-2013
39.0782,39.0391,39.0782,18-Apr-2013
39.1835,39.1443,39.1835,22-Apr-2013
39.2316,39.1924,39.2316,23-Apr-2013
39.1764,39.1372,39.1764,25-Apr-2013
39.2426,39.2034,39.2426,26-Apr-2013
39.2427,39.2035,39.2427,29-Apr-2013
39.3015,39.2622,39.3015,30-Apr-2013
39.3468,39.3075,39.3468,02-May-2013
39.3303,39.291,39.3303,03-May-2013
39.3289,39.2896,39.3289,06-May-2013
39.3686,39.3292,39.3686,07-May-2013
39.5081,39.4686,39.5081,08-May-2013
39.7706,39.7308,39.7706,09-May-2013
39.7934,39.7536,39.7934,10-May-2013
39.8274,39.7876,39.8274,13-May-2013
40.0945,40.0544,40.0945,14-May-2013
40.2207,40.1805,40.2207,15-May-2013
40.3343,40.294,40.3343,16-May-2013
40.3182,40.2779,40.3182,17-May-2013
40.4484,40.408,40.4484,20-May-2013
40.4667,40.4262,40.4667,21-May-2013
40.4423,40.4019,40.4423,22-May-2013
40.4455,40.4051,40.4455,23-May-2013
40.5303,40.4898,40.5303,24-May-2013
40.5788,40.5382,40.5788,27-May-2013
40.5659,40.5253,40.5659,28-May-2013
40.4785,40.438,40.4785,29-May-2013
40.3832,40.3428,40.3832,30-May-2013
40.3398,40.2995,40.3398,31-May-2013
40.3393,40.299,40.3393,03-Jun-2013
40.5297,40.4892,40.5297,04-Jun-2013
40.4754,40.4349,40.4754,05-Jun-2013
40.491,40.4505,40.491,06-Jun-2013
40.4379,40.3975,40.4379,07-Jun-2013
40.3055,40.2652,40.3055,10-Jun-2013
40.2322,40.192,40.2322,11-Jun-2013
40.2602,40.2199,40.2602,12-Jun-2013
40.2068,40.1666,40.2068,13-Jun-2013
40.2487,40.2085,40.2487,14-Jun-2013
40.4212,40.3808,40.4212,17-Jun-2013
40.3535,40.3131,40.3535,18-Jun-2013
40.3808,40.3404,40.3808,19-Jun-2013
39.9665,39.9265,39.9665,20-Jun-2013
40.012,39.972,40.012,21-Jun-2013
39.904,39.8641,39.904,24-Jun-2013
