Historical NAV for a period From 01-Nov-2016 to 31-Dec-2020,,,
Edelweiss Mutual Fund,,,
Edelweiss Government Securities Fund,,,
Edelweiss Government Securities Fund - Direct Plan - Growth Option,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
13.8149,13.6768,13.8149,28-Nov-2016
13.8177,13.6795,13.8177,29-Nov-2016
13.837,13.6986,13.837,30-Nov-2016
13.8508,13.7123,13.8508,01-Dec-2016
13.8378,13.6994,13.8378,02-Dec-2016
13.8571,13.7185,13.8571,05-Dec-2016
13.8644,13.7258,13.8644,06-Dec-2016
13.7905,13.6526,13.7905,07-Dec-2016
13.78,13.6422,13.78,08-Dec-2016
13.7698,13.6321,13.7698,09-Dec-2016
13.7833,13.6455,13.7833,13-Dec-2016
13.7898,13.6519,13.7898,14-Dec-2016
13.7414,13.604,13.7414,15-Dec-2016
13.7426,13.6052,13.7426,16-Dec-2016
13.7391,13.6017,13.7391,19-Dec-2016
13.7477,13.6102,13.7477,20-Dec-2016
13.7576,13.62,13.7576,21-Dec-2016
13.7406,13.6032,13.7406,22-Dec-2016
13.7349,13.5976,13.7349,23-Dec-2016
13.7182,13.581,13.7182,26-Dec-2016
13.7146,13.5775,13.7146,27-Dec-2016
13.7233,13.5861,13.7233,28-Dec-2016
13.7665,13.6288,13.7665,29-Dec-2016
13.766,13.6283,13.766,30-Dec-2016
13.8483,13.7098,13.8483,02-Jan-2017
13.8249,13.6867,13.8249,03-Jan-2017
13.8584,13.7198,13.8584,04-Jan-2017
13.8526,13.7141,13.8526,05-Jan-2017
13.8501,13.7116,13.8501,06-Jan-2017
13.8556,13.717,13.8556,09-Jan-2017
13.8571,13.7185,13.8571,10-Jan-2017
13.8606,13.722,13.8606,11-Jan-2017
13.8752,13.7364,13.8752,12-Jan-2017
13.8608,13.7222,13.8608,13-Jan-2017
13.8606,13.722,13.8606,16-Jan-2017
13.8674,13.7287,13.8674,17-Jan-2017
13.8604,13.7218,13.8604,18-Jan-2017
13.8513,13.7128,13.8513,19-Jan-2017
13.8554,13.7168,13.8554,20-Jan-2017
13.8678,13.7291,13.8678,23-Jan-2017
13.8778,13.739,13.8778,24-Jan-2017
13.8858,13.7469,13.8858,25-Jan-2017
13.8949,13.756,13.8949,27-Jan-2017
13.8967,13.7577,13.8967,30-Jan-2017
13.8986,13.7596,13.8986,31-Jan-2017
13.9019,13.7629,13.9019,01-Feb-2017
13.9154,13.7762,13.9154,02-Feb-2017
13.9175,13.7783,13.9175,03-Feb-2017
13.9177,13.7785,13.9177,06-Feb-2017
13.9175,13.7783,13.9175,07-Feb-2017
13.8022,13.6642,13.8022,08-Feb-2017
13.7619,13.6243,13.7619,09-Feb-2017
13.7816,13.6438,13.7816,10-Feb-2017
13.7891,13.6512,13.7891,13-Feb-2017
13.7886,13.6507,13.7886,14-Feb-2017
13.795,13.6571,13.795,15-Feb-2017
13.8039,13.6659,13.8039,16-Feb-2017
13.8034,13.6654,13.8034,17-Feb-2017
13.7964,13.7964,13.7964,20-Feb-2017
13.7917,13.7917,13.7917,22-Feb-2017
13.7984,13.7984,13.7984,23-Feb-2017
13.8096,13.8096,13.8096,27-Feb-2017
13.8163,13.8163,13.8163,28-Feb-2017
13.8045,13.8045,13.8045,01-Mar-2017
13.8114,13.8114,13.8114,02-Mar-2017
13.8157,13.8157,13.8157,03-Mar-2017
13.812,13.812,13.812,06-Mar-2017
13.8086,13.8086,13.8086,07-Mar-2017
13.8035,13.8035,13.8035,08-Mar-2017
13.8059,13.8059,13.8059,09-Mar-2017
13.8007,13.8007,13.8007,10-Mar-2017
13.8031,13.8031,13.8031,14-Mar-2017
13.8166,13.8166,13.8166,15-Mar-2017
13.8175,13.8175,13.8175,16-Mar-2017
13.8264,13.8264,13.8264,17-Mar-2017
13.8297,13.8297,13.8297,20-Mar-2017
13.8341,13.8341,13.8341,21-Mar-2017
13.8505,13.8505,13.8505,22-Mar-2017
13.8571,13.8571,13.8571,23-Mar-2017
13.8616,13.8616,13.8616,24-Mar-2017
13.8847,13.8847,13.8847,27-Mar-2017
13.8782,13.8782,13.8782,29-Mar-2017
13.8849,13.8849,13.8849,30-Mar-2017
13.8808,13.8808,13.8808,31-Mar-2017
13.8856,13.8856,13.8856,03-Apr-2017
13.8865,13.8865,13.8865,05-Apr-2017
13.8614,13.8614,13.8614,06-Apr-2017
13.8585,13.8585,13.8585,07-Apr-2017
13.8644,13.8644,13.8644,10-Apr-2017
13.8799,13.8799,13.8799,11-Apr-2017
13.8845,13.8845,13.8845,12-Apr-2017
13.8944,13.8944,13.8944,13-Apr-2017
13.8885,13.8885,13.8885,17-Apr-2017
13.8932,13.8932,13.8932,18-Apr-2017
13.8984,13.8984,13.8984,19-Apr-2017
13.9019,13.9019,13.9019,20-Apr-2017
13.895,13.895,13.895,21-Apr-2017
13.897,13.897,13.897,24-Apr-2017
13.8999,13.8999,13.8999,25-Apr-2017
13.8951,13.8951,13.8951,26-Apr-2017
13.8964,13.8964,13.8964,27-Apr-2017
13.8971,13.8971,13.8971,28-Apr-2017
13.9026,13.9026,13.9026,02-May-2017
13.907,13.907,13.907,03-May-2017
13.9106,13.9106,13.9106,04-May-2017
13.9218,13.9218,13.9218,05-May-2017
13.9299,13.9299,13.9299,08-May-2017
13.9279,13.9279,13.9279,09-May-2017
13.9289,13.9289,13.9289,11-May-2017
13.9364,13.9364,13.9364,12-May-2017
13.9519,13.9519,13.9519,15-May-2017
13.951,13.951,13.951,16-May-2017
13.9526,13.9526,13.9526,17-May-2017
13.9544,13.9544,13.9544,18-May-2017
13.9586,13.9586,13.9586,19-May-2017
13.9673,13.9673,13.9673,22-May-2017
13.9713,13.9713,13.9713,23-May-2017
13.9741,13.9741,13.9741,24-May-2017
13.9769,13.9769,13.9769,25-May-2017
13.9839,13.9839,13.9839,26-May-2017
13.9854,13.9854,13.9854,29-May-2017
13.9889,13.9889,13.9889,30-May-2017
13.9934,13.9934,13.9934,31-May-2017
14.005,14.005,14.005,01-Jun-2017
14.0083,14.0083,14.0083,02-Jun-2017
14.0152,14.0152,14.0152,05-Jun-2017
14.0205,14.0205,14.0205,06-Jun-2017
14.0403,14.0403,14.0403,07-Jun-2017
14.0506,14.0506,14.0506,08-Jun-2017
14.0552,14.0552,14.0552,09-Jun-2017
14.0614,14.0614,14.0614,12-Jun-2017
14.066,14.066,14.066,13-Jun-2017
14.0695,14.0695,14.0695,14-Jun-2017
14.0731,14.0731,14.0731,15-Jun-2017
14.0734,14.0734,14.0734,16-Jun-2017
14.0813,14.0813,14.0813,19-Jun-2017
14.0837,14.0837,14.0837,20-Jun-2017
14.0882,14.0882,14.0882,21-Jun-2017
14.087,14.087,14.087,22-Jun-2017
14.0893,14.0893,14.0893,23-Jun-2017
14.0963,14.0963,14.0963,27-Jun-2017
14.0966,14.0966,14.0966,28-Jun-2017
14.0964,14.0964,14.0964,29-Jun-2017
14.0978,14.0978,14.0978,30-Jun-2017
14.0985,14.0985,14.0985,03-Jul-2017
14.1017,14.1017,14.1017,04-Jul-2017
14.1046,14.1046,14.1046,05-Jul-2017
14.1082,14.1082,14.1082,06-Jul-2017
14.111,14.111,14.111,07-Jul-2017
14.123,14.123,14.123,10-Jul-2017
14.1231,14.1231,14.1231,11-Jul-2017
14.127,14.127,14.127,12-Jul-2017
14.1306,14.1306,14.1306,13-Jul-2017
14.1345,14.1345,14.1345,14-Jul-2017
14.1426,14.1426,14.1426,17-Jul-2017
14.1457,14.1457,14.1457,18-Jul-2017
14.1506,14.1506,14.1506,19-Jul-2017
14.1536,14.1536,14.1536,20-Jul-2017
14.1581,14.1581,14.1581,21-Jul-2017
14.1646,14.1646,14.1646,24-Jul-2017
14.1655,14.1655,14.1655,25-Jul-2017
14.1662,14.1662,14.1662,26-Jul-2017
14.1682,14.1682,14.1682,27-Jul-2017
14.1703,14.1703,14.1703,28-Jul-2017
14.1749,14.1749,14.1749,31-Jul-2017
14.1796,14.1796,14.1796,01-Aug-2017
14.1863,14.1863,14.1863,02-Aug-2017
14.1982,14.1982,14.1982,03-Aug-2017
14.1998,14.1998,14.1998,04-Aug-2017
14.2039,14.2039,14.2039,07-Aug-2017
14.2064,14.2064,14.2064,08-Aug-2017
