Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
HDFC Mutual Fund,,,
HDFC Gilt Fund,,,
HDFC Gilt Fund - Growth Option - Direct Plan,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
22.9789,22.9215,22.9789,01-Jan-2013
22.9928,22.9353,22.9928,02-Jan-2013
23.0594,23.0018,23.0594,03-Jan-2013
23.1176,23.0598,23.1176,04-Jan-2013
23.1895,23.1315,23.1895,07-Jan-2013
23.195,23.137,23.195,08-Jan-2013
23.2164,23.1584,23.2164,09-Jan-2013
23.2548,23.1967,23.2548,10-Jan-2013
23.2816,23.2234,23.2816,11-Jan-2013
23.4176,23.3591,23.4176,14-Jan-2013
23.3744,23.316,23.3744,15-Jan-2013
23.2825,23.2243,23.2825,16-Jan-2013
23.3388,23.2805,23.3388,17-Jan-2013
23.3218,23.2635,23.3218,18-Jan-2013
23.3213,23.263,23.3213,21-Jan-2013
23.3265,23.2682,23.3265,22-Jan-2013
23.2928,23.2346,23.2928,23-Jan-2013
23.2742,23.216,23.2742,24-Jan-2013
23.3175,23.2592,23.3175,28-Jan-2013
23.3273,23.269,23.3273,29-Jan-2013
23.2758,23.2176,23.2758,30-Jan-2013
23.2473,23.1892,23.2473,31-Jan-2013
23.2621,23.2039,23.2621,01-Feb-2013
23.2325,23.1744,23.2325,04-Feb-2013
23.2581,23.2,23.2581,05-Feb-2013
23.29,23.2318,23.29,06-Feb-2013
23.3595,23.3011,23.3595,07-Feb-2013
23.4025,23.344,23.4025,08-Feb-2013
23.4011,23.3426,23.4011,11-Feb-2013
23.3826,23.3241,23.3826,12-Feb-2013
23.4294,23.3708,23.4294,13-Feb-2013
23.4643,23.4056,23.4643,14-Feb-2013
23.4547,23.3961,23.4547,15-Feb-2013
23.4676,23.4089,23.4676,18-Feb-2013
23.5086,23.4498,23.5086,20-Feb-2013
23.497,23.4383,23.497,21-Feb-2013
23.5172,23.4584,23.5172,22-Feb-2013
23.5267,23.4679,23.5267,25-Feb-2013
23.5056,23.4468,23.5056,26-Feb-2013
23.5211,23.4623,23.5211,27-Feb-2013
23.4321,23.3735,23.4321,28-Feb-2013
23.3961,23.3376,23.3961,01-Mar-2013
23.4443,23.3857,23.4443,04-Mar-2013
23.4629,23.4042,23.4629,05-Mar-2013
23.4857,23.427,23.4857,06-Mar-2013
