Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
ICICI Prudential Mutual Fund,,,
ICICI Prudential Gilt Fund,,,
ICICI Prudential Gilt Fund - Direct Plan - Growth,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
38.9982,38.9982,38.9982,02-Jan-2013
39.0894,39.0894,39.0894,03-Jan-2013
39.1861,39.1861,39.1861,04-Jan-2013
39.2755,39.2755,39.2755,07-Jan-2013
39.3055,39.3055,39.3055,08-Jan-2013
39.3469,39.3469,39.3469,09-Jan-2013
39.4204,39.4204,39.4204,10-Jan-2013
39.4711,39.4711,39.4711,11-Jan-2013
39.7048,39.7048,39.7048,14-Jan-2013
39.6288,39.6288,39.6288,15-Jan-2013
39.4892,39.4892,39.4892,16-Jan-2013
39.5922,39.5922,39.5922,17-Jan-2013
39.5599,39.5599,39.5599,18-Jan-2013
39.5525,39.5525,39.5525,21-Jan-2013
39.5627,39.5627,39.5627,22-Jan-2013
39.5111,39.5111,39.5111,23-Jan-2013
39.4633,39.4633,39.4633,24-Jan-2013
39.5405,39.5405,39.5405,28-Jan-2013
39.5493,39.5493,39.5493,29-Jan-2013
39.4608,39.4608,39.4608,30-Jan-2013
39.4148,39.4148,39.4148,31-Jan-2013
39.4294,39.4294,39.4294,01-Feb-2013
39.3811,39.3811,39.3811,04-Feb-2013
39.4362,39.4362,39.4362,05-Feb-2013
39.4862,39.4862,39.4862,06-Feb-2013
39.571,39.571,39.571,07-Feb-2013
39.6755,39.6755,39.6755,08-Feb-2013
39.6733,39.6733,39.6733,11-Feb-2013
39.6503,39.6503,39.6503,12-Feb-2013
39.7238,39.7238,39.7238,13-Feb-2013
39.777,39.777,39.777,14-Feb-2013
39.7645,39.7645,39.7645,15-Feb-2013
39.8045,39.8045,39.8045,18-Feb-2013
39.9007,39.9007,39.9007,20-Feb-2013
39.8824,39.8824,39.8824,21-Feb-2013
39.9044,39.9044,39.9044,22-Feb-2013
39.9278,39.9278,39.9278,25-Feb-2013
39.8925,39.8925,39.8925,26-Feb-2013
39.9093,39.9093,39.9093,27-Feb-2013
39.7391,39.7391,39.7391,28-Feb-2013
39.5694,39.5694,39.5694,01-Mar-2013
39.6694,39.6694,39.6694,04-Mar-2013
