Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Nippon India Mutual Fund,,,
Nippon India Gilt Securities Fund-,,,
Nippon India Gilt Securities Fund - Direct Plan Growth Plan - Growth Option,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
14.3891,14.3891,14.3891,02-Jan-2013
14.4319,14.4319,14.4319,03-Jan-2013
14.4764,14.4764,14.4764,04-Jan-2013
14.5234,14.5234,14.5234,07-Jan-2013
14.5309,14.5309,14.5309,08-Jan-2013
14.5456,14.5456,14.5456,09-Jan-2013
14.5726,14.5726,14.5726,10-Jan-2013
14.5929,14.5929,14.5929,11-Jan-2013
14.6825,14.6825,14.6825,14-Jan-2013
14.6578,14.6578,14.6578,15-Jan-2013
14.5984,14.5984,14.5984,16-Jan-2013
14.6276,14.6276,14.6276,17-Jan-2013
14.619,14.619,14.619,18-Jan-2013
14.6142,14.6142,14.6142,21-Jan-2013
14.6178,14.6178,14.6178,22-Jan-2013
14.6049,14.6049,14.6049,23-Jan-2013
14.587,14.587,14.587,24-Jan-2013
14.6131,14.6131,14.6131,28-Jan-2013
14.6277,14.6277,14.6277,29-Jan-2013
14.5983,14.5983,14.5983,30-Jan-2013
14.5817,14.5817,14.5817,31-Jan-2013
14.5905,14.5905,14.5905,01-Feb-2013
14.5742,14.5742,14.5742,04-Feb-2013
14.581,14.581,14.581,05-Feb-2013
14.5984,14.5984,14.5984,06-Feb-2013
14.6372,14.6372,14.6372,07-Feb-2013
14.6724,14.6724,14.6724,08-Feb-2013
14.6727,14.6727,14.6727,11-Feb-2013
14.6595,14.6595,14.6595,12-Feb-2013
14.6897,14.6897,14.6897,13-Feb-2013
14.716,14.716,14.716,14-Feb-2013
14.7127,14.7127,14.7127,15-Feb-2013
14.7179,14.7179,14.7179,18-Feb-2013
14.7487,14.7487,14.7487,20-Feb-2013
14.7411,14.7411,14.7411,21-Feb-2013
14.7556,14.7556,14.7556,22-Feb-2013
14.7625,14.7625,14.7625,25-Feb-2013
14.7503,14.7503,14.7503,26-Feb-2013
14.7591,14.7591,14.7591,27-Feb-2013
14.7052,14.7052,14.7052,28-Feb-2013
14.6892,14.6892,14.6892,01-Mar-2013
14.7146,14.7146,14.7146,04-Mar-2013
14.7297,14.7297,14.7297,05-Mar-2013
14.7423,14.7423,14.7423,06-Mar-2013
14.7485,14.7485,14.7485,07-Mar-2013
14.7666,14.7666,14.7666,08-Mar-2013
14.7718,14.7718,14.7718,11-Mar-2013
14.7366,14.7366,14.7366,12-Mar-2013
14.7265,14.7265,14.7265,13-Mar-2013
14.7559,14.7559,14.7559,14-Mar-2013
14.7586,14.7586,14.7586,15-Mar-2013
14.7525,14.7525,14.7525,18-Mar-2013
14.7299,14.7299,14.7299,19-Mar-2013
