Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
SBI Mutual Fund,,,
SBI MAGNUM GILT FUND,,,
SBI MAGNUM GILT FUND - DIRECT PLAN - GROWTH,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
23.1968,23.1388,23.1968,03-Jan-2013
23.266,23.2078,23.266,04-Jan-2013
23.356,23.2976,23.356,07-Jan-2013
23.369,23.3106,23.369,08-Jan-2013
23.3922,23.3337,23.3922,09-Jan-2013
23.4308,23.3722,23.4308,10-Jan-2013
23.4699,23.4112,23.4699,11-Jan-2013
23.6227,23.5636,23.6227,14-Jan-2013
23.5656,23.5067,23.5656,15-Jan-2013
23.4474,23.3888,23.4474,16-Jan-2013
23.5183,23.4595,23.5183,17-Jan-2013
23.5069,23.4481,23.5069,18-Jan-2013
23.4972,23.4385,23.4972,21-Jan-2013
23.5001,23.4413,23.5001,22-Jan-2013
23.4601,23.4014,23.4601,23-Jan-2013
23.4309,23.3723,23.4309,24-Jan-2013
23.4771,23.4184,23.4771,28-Jan-2013
23.4853,23.4266,23.4853,29-Jan-2013
23.4278,23.3692,23.4278,30-Jan-2013
23.3909,23.3324,23.3909,31-Jan-2013
23.4125,23.354,23.4125,01-Feb-2013
23.3823,23.3238,23.3823,04-Feb-2013
23.4158,23.3573,23.4158,05-Feb-2013
23.4555,23.3969,23.4555,06-Feb-2013
23.5343,23.4755,23.5343,07-Feb-2013
23.5858,23.5268,23.5858,08-Feb-2013
23.5787,23.5198,23.5787,11-Feb-2013
23.5563,23.4974,23.5563,12-Feb-2013
23.6107,23.5517,23.6107,13-Feb-2013
23.6525,23.5934,23.6525,14-Feb-2013
23.6361,23.577,23.6361,15-Feb-2013
23.6488,23.5897,23.6488,18-Feb-2013
23.7001,23.6408,23.7001,20-Feb-2013
23.6851,23.6259,23.6851,21-Feb-2013
23.7034,23.6441,23.7034,22-Feb-2013
23.7112,23.6519,23.7112,25-Feb-2013
23.6962,23.637,23.6962,26-Feb-2013
23.7117,23.6524,23.7117,27-Feb-2013
23.6286,23.5695,23.6286,28-Feb-2013
23.6319,23.5728,23.6319,01-Mar-2013
23.6582,23.5991,23.6582,04-Mar-2013
23.6742,23.615,23.6742,05-Mar-2013
23.6944,23.6352,23.6944,06-Mar-2013
23.7042,23.6449,23.7042,07-Mar-2013
23.7251,23.6658,23.7251,08-Mar-2013
23.7365,23.6772,23.7365,11-Mar-2013
23.7147,23.6554,23.7147,12-Mar-2013
23.7144,23.6551,23.7144,13-Mar-2013
23.7446,23.6852,23.7446,14-Mar-2013
23.7545,23.6951,23.7545,15-Mar-2013
23.7458,23.6864,23.7458,18-Mar-2013
23.7323,23.673,23.7323,19-Mar-2013
23.7157,23.6564,23.7157,20-Mar-2013
23.7111,23.6518,23.7111,21-Mar-2013
23.7009,23.6416,23.7009,22-Mar-2013
23.7088,23.6495,23.7088,25-Mar-2013
23.726,23.6667,23.726,26-Mar-2013
23.7536,23.6942,23.7536,28-Mar-2013
23.7685,N.A.,N.A.,31-Mar-2013
23.753,23.6936,23.753,02-Apr-2013
23.7661,23.7067,23.7661,03-Apr-2013
23.7787,23.7193,23.7787,04-Apr-2013
23.7893,23.7298,23.7893,05-Apr-2013
23.8119,23.7524,23.8119,08-Apr-2013
23.821,23.7614,23.821,09-Apr-2013
23.8344,23.7748,23.8344,10-Apr-2013
23.8587,23.7991,23.8587,12-Apr-2013
23.9473,23.8874,23.9473,15-Apr-2013
23.9756,23.9157,23.9756,16-Apr-2013
24.0324,23.9723,24.0324,17-Apr-2013
24.1048,24.0445,24.1048,18-Apr-2013
24.1721,24.1117,24.1721,22-Apr-2013
24.244,24.1834,24.244,23-Apr-2013
24.2165,24.156,24.2165,25-Apr-2013
24.2485,24.1879,24.2485,26-Apr-2013
24.2489,24.1883,24.2489,29-Apr-2013
24.2723,24.2116,24.2723,30-Apr-2013
24.301,24.2402,24.301,02-May-2013
24.283,24.2223,24.283,03-May-2013
24.2841,24.2234,24.2841,06-May-2013
24.3487,24.2878,24.3487,07-May-2013
24.4414,24.3803,24.4414,08-May-2013
24.632,24.5704,24.632,09-May-2013
24.688,24.6263,24.688,10-May-2013
24.7274,24.6656,24.7274,13-May-2013
24.9188,24.8565,24.9188,14-May-2013
25.0295,24.9669,25.0295,15-May-2013
25.1704,25.1075,25.1704,16-May-2013
25.2155,25.1525,25.2155,17-May-2013
25.3026,25.2393,25.3026,20-May-2013
25.331,25.2677,25.331,21-May-2013
25.3171,25.2538,25.3171,22-May-2013
25.315,25.2517,25.315,23-May-2013
25.374,25.3106,25.374,24-May-2013
25.4043,25.3408,25.4043,27-May-2013
25.4019,25.3384,25.4019,28-May-2013
25.3585,25.2951,25.3585,29-May-2013
25.2847,25.2215,25.2847,30-May-2013
25.2642,25.201,25.2642,31-May-2013
25.2665,25.2033,25.2665,03-Jun-2013
25.3806,25.3171,25.3806,04-Jun-2013
25.3548,25.2914,25.3548,05-Jun-2013
25.3647,25.3013,25.3647,06-Jun-2013
25.3294,25.2661,25.3294,07-Jun-2013
25.2459,25.1828,25.2459,10-Jun-2013
25.1902,25.1272,25.1902,11-Jun-2013
25.2132,25.1502,25.2132,12-Jun-2013
25.1699,25.107,25.1699,13-Jun-2013
25.1914,25.1284,25.1914,14-Jun-2013
25.3059,25.2426,25.3059,17-Jun-2013
25.2701,25.2069,25.2701,18-Jun-2013
25.2856,25.2224,25.2856,19-Jun-2013
25.0841,25.0214,25.0841,20-Jun-2013
25.1252,25.0624,25.1252,21-Jun-2013
25.0335,24.9709,25.0335,24-Jun-2013
25.0412,24.9786,25.0412,25-Jun-2013
24.9655,24.9031,24.9655,26-Jun-2013
25.0081,24.9456,25.0081,27-Jun-2013
25.1261,25.0633,25.1261,28-Jun-2013
25.1149,25.0521,25.1149,02-Jul-2013
25.0768,25.0141,25.0768,03-Jul-2013
25.188,25.125,25.188,04-Jul-2013
25.146,25.0831,25.146,05-Jul-2013
25.0979,25.0352,25.0979,08-Jul-2013
25.1347,25.0719,25.1347,09-Jul-2013
25.164,25.1011,25.164,10-Jul-2013
25.2495,25.1864,25.2495,11-Jul-2013
25.2019,25.1389,25.2019,12-Jul-2013
25.2162,25.1532,25.2162,15-Jul-2013
24.6202,24.5586,24.6202,16-Jul-2013
24.6482,24.5866,24.6482,17-Jul-2013
24.7384,24.6766,24.7384,18-Jul-2013
24.7722,24.7103,24.7722,19-Jul-2013
24.5789,24.5175,24.5789,22-Jul-2013
24.4828,24.4216,24.4828,23-Jul-2013
24.2062,24.1457,24.2062,24-Jul-2013
24.4867,24.4255,24.4867,25-Jul-2013
24.5095,24.4482,24.5095,26-Jul-2013
24.5411,24.4797,24.5411,29-Jul-2013
24.3846,24.3236,24.3846,30-Jul-2013
24.4731,24.4119,24.4731,31-Jul-2013
24.6122,24.5507,24.6122,01-Aug-2013
24.3554,24.2945,24.3554,02-Aug-2013
24.4618,24.4006,24.4618,05-Aug-2013
24.4726,24.4114,24.4726,06-Aug-2013
24.5511,24.4897,24.5511,07-Aug-2013
24.5912,24.5297,24.5912,08-Aug-2013
24.3155,24.2547,24.3155,12-Aug-2013
24.1486,24.0882,24.1486,13-Aug-2013
24.0288,23.9687,24.0288,14-Aug-2013
23.4629,23.4042,23.4629,16-Aug-2013
22.9889,22.9314,22.9889,19-Aug-2013
23.4871,23.4284,23.4871,20-Aug-2013
24.2664,24.2057,24.2664,21-Aug-2013
24.5466,24.4852,24.5466,22-Aug-2013
24.488,24.4268,24.488,23-Aug-2013
24.4256,24.3645,24.4256,26-Aug-2013
23.7939,23.7344,23.7939,27-Aug-2013
23.5409,23.482,23.5409,28-Aug-2013
23.8213,23.7617,23.8213,29-Aug-2013
23.9592,23.8993,23.9592,30-Aug-2013
24.2845,24.2238,24.2845,02-Sep-2013
24.0902,24.03,24.0902,03-Sep-2013
24.3211,24.2603,24.3211,04-Sep-2013
24.2948,24.2341,24.2948,05-Sep-2013
24.0341,23.974,24.0341,06-Sep-2013
24.2123,24.1518,24.2123,10-Sep-2013
24.2311,24.1705,24.2311,11-Sep-2013
24.1944,24.1339,24.1944,12-Sep-2013
24.2141,24.1536,24.2141,13-Sep-2013
24.2868,24.2261,24.2868,16-Sep-2013
24.2907,24.23,24.2907,17-Sep-2013
24.4238,24.3627,24.4238,18-Sep-2013
24.7937,24.7317,24.7937,19-Sep-2013
24.2629,24.2022,24.2629,20-Sep-2013
24.0192,23.9592,24.0192,23-Sep-2013
24.008,23.948,24.008,24-Sep-2013
24.0008,23.9408,24.0008,25-Sep-2013
24.0628,24.0026,24.0628,26-Sep-2013
24.1003,24.04,24.1003,27-Sep-2013
24.0765,24.0163,24.0765,30-Sep-2013
24.1606,24.1002,24.1606,01-Oct-2013
24.3168,24.256,24.3168,03-Oct-2013
24.3755,24.3146,24.3755,04-Oct-2013
24.3419,24.281,24.3419,07-Oct-2013
24.6543,24.5927,24.6543,08-Oct-2013
24.7187,24.6569,24.7187,09-Oct-2013
24.7556,24.6937,24.7556,10-Oct-2013
24.7083,24.6465,24.7083,11-Oct-2013
24.6141,24.5526,24.6141,14-Oct-2013
24.4754,24.4142,24.4754,15-Oct-2013
24.5932,24.5317,24.5932,17-Oct-2013
24.6866,24.6249,24.6866,18-Oct-2013
24.6357,24.5741,24.6357,21-Oct-2013
24.62,24.5585,24.62,22-Oct-2013
24.5867,24.5252,24.5867,23-Oct-2013
24.6522,24.5906,24.6522,24-Oct-2013
24.6504,24.5888,24.6504,25-Oct-2013
24.5537,24.4923,24.5537,28-Oct-2013
24.7493,24.6874,24.7493,29-Oct-2013
24.74,24.6782,24.74,30-Oct-2013
24.6883,24.6266,24.6883,31-Oct-2013
24.6147,24.5532,24.6147,01-Nov-2013
24.5977,24.5362,24.5977,05-Nov-2013
24.4849,24.4237,24.4849,06-Nov-2013
24.4461,24.385,24.4461,07-Nov-2013
24.2782,24.2175,24.2782,08-Nov-2013
24.3319,24.2711,24.3319,11-Nov-2013
24.2055,24.145,24.2055,12-Nov-2013
24.4271,24.366,24.4271,13-Nov-2013
24.3009,24.2401,24.3009,14-Nov-2013
24.4124,24.3514,24.4124,18-Nov-2013
24.3873,24.3263,24.3873,19-Nov-2013
24.3642,24.3033,24.3642,20-Nov-2013
24.3149,24.2541,24.3149,21-Nov-2013
24.2958,24.2351,24.2958,22-Nov-2013
24.3239,24.2631,24.3239,25-Nov-2013
24.3617,24.3008,24.3617,26-Nov-2013
24.4424,24.3813,24.4424,27-Nov-2013
24.4317,24.3706,24.4317,28-Nov-2013
24.4009,24.3399,24.4009,29-Nov-2013
24.4352,24.3741,24.4352,02-Dec-2013
24.4212,24.3601,24.4212,03-Dec-2013
24.415,24.354,24.415,04-Dec-2013
24.4226,24.3615,24.4226,05-Dec-2013
24.3531,24.2922,24.3531,06-Dec-2013
24.2793,24.2186,24.2793,09-Dec-2013
24.3404,24.2795,24.3404,10-Dec-2013
24.3417,24.2808,24.3417,11-Dec-2013
24.3425,24.2816,24.3425,12-Dec-2013
24.2655,24.2048,24.2655,13-Dec-2013
24.3153,24.2545,24.3153,16-Dec-2013
24.2661,24.2054,24.2661,17-Dec-2013
24.4311,24.37,24.4311,18-Dec-2013
24.5346,24.4733,24.5346,19-Dec-2013
24.4878,24.4266,24.4878,20-Dec-2013
24.4429,24.3818,24.4429,23-Dec-2013
24.3969,24.3359,24.3969,24-Dec-2013
24.4144,24.3534,24.4144,26-Dec-2013
24.3363,24.2755,24.3363,27-Dec-2013
24.4577,24.3966,24.4577,30-Dec-2013
24.5117,24.4504,24.5117,31-Dec-2013
24.4822,24.421,24.4822,01-Jan-2014
24.4892,24.428,24.4892,02-Jan-2014
24.504,24.4427,24.504,03-Jan-2014
24.5881,24.5266,24.5881,06-Jan-2014
24.5812,24.5197,24.5812,07-Jan-2014
24.5614,24.5,24.5614,08-Jan-2014
24.6163,24.5548,24.6163,09-Jan-2014
24.6624,24.6007,24.6624,10-Jan-2014
24.746,24.6841,24.746,13-Jan-2014
24.8626,24.8004,24.8626,15-Jan-2014
24.9058,24.8435,24.9058,16-Jan-2014
24.9125,24.8502,24.9125,17-Jan-2014
25.0942,25.0315,25.0942,20-Jan-2014
25.0402,24.9776,25.0402,21-Jan-2014
24.9663,24.9039,24.9663,22-Jan-2014
24.91,24.8477,24.91,23-Jan-2014
24.7925,24.7305,24.7925,24-Jan-2014
24.7543,24.6924,24.7543,27-Jan-2014
24.7576,24.6957,24.7576,28-Jan-2014
24.7293,24.6675,24.7293,29-Jan-2014
24.6751,24.6134,24.6751,30-Jan-2014
24.7519,24.69,24.7519,31-Jan-2014
24.7981,24.7361,24.7981,03-Feb-2014
24.8666,24.8044,24.8666,04-Feb-2014
24.8498,24.7877,24.8498,05-Feb-2014
24.8439,24.7818,24.8439,06-Feb-2014
24.8405,24.7784,24.8405,07-Feb-2014
24.8736,24.8114,24.8736,10-Feb-2014
24.8035,24.7415,24.8035,11-Feb-2014
24.7149,24.6531,24.7149,12-Feb-2014
24.662,24.6003,24.662,13-Feb-2014
24.7245,24.6627,24.7245,14-Feb-2014
24.7384,24.6766,24.7384,17-Feb-2014
24.7782,24.7163,24.7782,18-Feb-2014
24.7678,24.7059,24.7678,20-Feb-2014
24.7672,24.7053,24.7672,21-Feb-2014
24.6744,24.6127,24.6744,24-Feb-2014
