Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Axis Mutual Fund,,,
Axis Bluechip Fund,,,
Axis Bluechip Fund - Direct Plan - Growth,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
12.28,11.91,12.28,02-Jan-2013
12.32,11.95,12.32,03-Jan-2013
12.35,11.98,12.35,04-Jan-2013
12.28,11.91,12.28,07-Jan-2013
12.34,11.97,12.34,08-Jan-2013
12.28,11.91,12.28,09-Jan-2013
12.29,11.92,12.29,10-Jan-2013
12.25,11.88,12.25,11-Jan-2013
12.37,12,12.37,14-Jan-2013
12.41,12.04,12.41,15-Jan-2013
12.28,11.91,12.28,16-Jan-2013
12.33,11.96,12.33,17-Jan-2013
12.4,12.03,12.4,18-Jan-2013
12.39,12.02,12.39,21-Jan-2013
12.33,11.96,12.33,22-Jan-2013
12.33,11.96,12.33,23-Jan-2013
12.26,11.89,12.26,24-Jan-2013
12.39,12.02,12.39,25-Jan-2013
12.39,12.02,12.39,28-Jan-2013
12.34,11.97,12.34,29-Jan-2013
12.36,11.99,12.36,30-Jan-2013
12.33,11.96,12.33,31-Jan-2013
12.28,11.91,12.28,01-Feb-2013
12.3,11.93,12.3,04-Feb-2013
12.24,11.87,12.24,05-Feb-2013
12.25,11.88,12.25,06-Feb-2013
12.22,11.85,12.22,07-Feb-2013
12.19,11.82,12.19,08-Feb-2013
12.14,11.78,12.14,11-Feb-2013
12.19,11.82,12.19,12-Feb-2013
12.24,11.87,12.24,13-Feb-2013
12.21,11.84,12.21,14-Feb-2013
12.23,11.86,12.23,15-Feb-2013
12.23,11.86,12.23,18-Feb-2013
12.28,11.91,12.28,19-Feb-2013
12.3,11.93,12.3,20-Feb-2013
12.19,11.82,12.19,21-Feb-2013
12.16,11.8,12.16,22-Feb-2013
12.18,11.81,12.18,25-Feb-2013
12.06,11.7,12.06,26-Feb-2013
12.1,11.74,12.1,27-Feb-2013
11.96,11.6,11.96,28-Feb-2013
12.02,11.66,12.02,01-Mar-2013
12,11.64,12,04-Mar-2013
12.13,11.77,12.13,05-Mar-2013
12.18,11.81,12.18,06-Mar-2013
12.26,11.89,12.26,07-Mar-2013
12.4,12.03,12.4,08-Mar-2013
12.42,12.05,12.42,11-Mar-2013
12.38,12.01,12.38,12-Mar-2013
12.27,11.9,12.27,13-Mar-2013
12.37,12,12.37,14-Mar-2013
12.32,11.95,12.32,15-Mar-2013
12.27,11.9,12.27,18-Mar-2013
12.16,11.8,12.16,19-Mar-2013
12.04,11.68,12.04,20-Mar-2013
12.01,11.65,12.01,21-Mar-2013
11.96,11.6,11.96,22-Mar-2013
11.96,11.6,11.96,25-Mar-2013
12.04,11.68,12.04,26-Mar-2013
12.14,11.78,12.14,28-Mar-2013
12.16,11.8,12.16,01-Apr-2013
12.27,11.9,12.27,02-Apr-2013
12.19,11.82,12.19,03-Apr-2013
12.01,11.65,12.01,04-Apr-2013
11.98,11.62,11.98,05-Apr-2013
0,0,0,07-Apr-2013
11.97,11.61,11.97,08-Apr-2013
11.91,11.55,11.91,09-Apr-2013
12.02,11.66,12.02,10-Apr-2013
12.11,11.75,12.11,11-Apr-2013
12,11.64,12,12-Apr-2013
12.04,11.68,12.04,15-Apr-2013
12.3,11.93,12.3,16-Apr-2013
12.31,11.94,12.31,17-Apr-2013
12.49,12.12,12.49,18-Apr-2013
12.64,12.26,12.64,22-Apr-2013
12.61,12.23,12.61,23-Apr-2013
12.77,12.39,12.77,25-Apr-2013
12.67,12.29,12.67,26-Apr-2013
