Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Canara Robeco Mutual Fund,,,
Canara Robeco Bluechip Equity Fund,,,
CANARA ROBECO BLUE CHIP EQUITY FUND - DIRECT PLAN - GROWTH OPTION,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
12.11,12.11,12.11,02-Jan-2013
12.12,12.12,12.12,03-Jan-2013
12.14,12.14,12.14,04-Jan-2013
12.1,12.1,12.1,07-Jan-2013
12.1,12.1,12.1,08-Jan-2013
12.06,12.06,12.06,09-Jan-2013
12.05,12.05,12.05,10-Jan-2013
11.99,11.99,11.99,11-Jan-2013
12.12,12.12,12.12,14-Jan-2013
12.18,12.18,12.18,15-Jan-2013
12.05,12.05,12.05,16-Jan-2013
12.12,12.12,12.12,17-Jan-2013
12.19,12.19,12.19,18-Jan-2013
12.23,12.23,12.23,21-Jan-2013
12.16,12.16,12.16,22-Jan-2013
12.15,12.15,12.15,23-Jan-2013
12.06,12.06,12.06,24-Jan-2013
12.16,12.16,12.16,25-Jan-2013
12.15,12.15,12.15,28-Jan-2013
12.09,12.09,12.09,29-Jan-2013
12.1,12.1,12.1,30-Jan-2013
12.07,12.07,12.07,31-Jan-2013
12.02,12.02,12.02,01-Feb-2013
11.98,11.98,11.98,04-Feb-2013
11.92,11.92,11.92,05-Feb-2013
11.92,11.92,11.92,06-Feb-2013
11.87,11.87,11.87,07-Feb-2013
11.79,11.79,11.79,08-Feb-2013
11.77,11.77,11.77,11-Feb-2013
11.84,11.84,11.84,12-Feb-2013
11.85,11.85,11.85,13-Feb-2013
11.74,11.74,11.74,14-Feb-2013
11.73,11.73,11.73,15-Feb-2013
11.75,11.75,11.75,18-Feb-2013
11.83,11.83,11.83,19-Feb-2013
11.84,11.84,11.84,20-Feb-2013
11.65,11.65,11.65,21-Feb-2013
11.66,11.66,11.66,22-Feb-2013
11.66,11.66,11.66,25-Feb-2013
11.47,11.47,11.47,26-Feb-2013
11.57,11.57,11.57,27-Feb-2013
11.35,11.35,11.35,28-Feb-2013
11.43,11.43,11.43,01-Mar-2013
11.39,11.39,11.39,04-Mar-2013
11.55,11.55,11.55,05-Mar-2013
11.62,11.62,11.62,06-Mar-2013
11.7,11.7,11.7,07-Mar-2013
11.85,11.85,11.85,08-Mar-2013
11.83,11.83,11.83,11-Mar-2013
11.78,11.78,11.78,12-Mar-2013
11.65,11.65,11.65,13-Mar-2013
11.77,11.77,11.77,14-Mar-2013
11.7,11.7,11.7,15-Mar-2013
11.64,11.64,11.64,18-Mar-2013
11.49,11.49,11.49,19-Mar-2013
11.37,11.37,11.37,20-Mar-2013
11.32,11.32,11.32,21-Mar-2013
11.29,11.29,11.29,22-Mar-2013
11.27,11.27,11.27,25-Mar-2013
11.29,11.29,11.29,26-Mar-2013
11.37,11.37,11.37,28-Mar-2013
11.41,11.41,11.41,01-Apr-2013
11.51,11.51,11.51,02-Apr-2013
11.38,11.38,11.38,03-Apr-2013
11.2,11.2,11.2,04-Apr-2013
11.17,11.17,11.17,05-Apr-2013
11.15,11.15,11.15,08-Apr-2013
11.07,11.07,11.07,09-Apr-2013
11.2,11.2,11.2,10-Apr-2013
11.28,11.28,11.28,11-Apr-2013
11.18,11.18,11.18,12-Apr-2013
11.28,11.28,11.28,15-Apr-2013
11.46,11.46,11.46,16-Apr-2013
11.46,11.46,11.46,17-Apr-2013
11.62,11.62,11.62,18-Apr-2013
11.71,11.71,11.71,22-Apr-2013
11.72,11.72,11.72,23-Apr-2013
11.84,11.84,11.84,25-Apr-2013
11.74,11.74,11.74,26-Apr-2013
11.81,11.81,11.81,29-Apr-2013
11.88,11.88,11.88,30-Apr-2013
12.03,12.03,12.03,02-May-2013
11.91,11.91,11.91,03-May-2013
11.96,11.96,11.96,06-May-2013
12.07,12.07,12.07,07-May-2013
12.13,12.13,12.13,08-May-2013
12.1,12.1,12.1,09-May-2013
12.19,12.19,12.19,10-May-2013
12,12,12,13-May-2013
12.03,12.03,12.03,14-May-2013
12.3,12.3,12.3,15-May-2013
12.36,12.36,12.36,16-May-2013
12.38,12.38,12.38,17-May-2013
12.29,12.29,12.29,20-May-2013
12.21,12.21,12.21,21-May-2013
12.16,12.16,12.16,22-May-2013
11.93,11.93,11.93,23-May-2013
11.97,11.97,11.97,24-May-2013
12.15,12.15,12.15,27-May-2013
12.2,12.2,12.2,28-May-2013
12.18,12.18,12.18,29-May-2013
12.21,12.21,12.21,30-May-2013
11.94,11.94,11.94,31-May-2013
11.88,11.88,11.88,03-Jun-2013
11.87,11.87,11.87,04-Jun-2013
11.87,11.87,11.87,05-Jun-2013
11.88,11.88,11.88,06-Jun-2013
11.8,11.8,11.8,07-Jun-2013
11.78,11.78,11.78,10-Jun-2013
11.6,11.6,11.6,11-Jun-2013
11.57,11.57,11.57,12-Jun-2013
11.43,11.43,11.43,13-Jun-2013
11.64,11.64,11.64,14-Jun-2013
11.7,11.7,11.7,17-Jun-2013
11.66,11.66,11.66,18-Jun-2013
11.69,11.69,11.69,19-Jun-2013
11.37,11.37,11.37,20-Jun-2013
11.37,11.37,11.37,21-Jun-2013
11.22,11.22,11.22,24-Jun-2013
11.23,11.23,11.23,25-Jun-2013
11.2,11.2,11.2,26-Jun-2013
11.38,11.38,11.38,27-Jun-2013
11.63,11.63,11.63,28-Jun-2013
11.77,11.77,11.77,01-Jul-2013
11.7,11.7,11.7,02-Jul-2013
11.56,11.56,11.56,03-Jul-2013
11.69,11.69,11.69,04-Jul-2013
11.71,11.71,11.71,05-Jul-2013
11.65,11.65,11.65,08-Jul-2013
11.75,11.75,11.75,09-Jul-2013
11.69,11.69,11.69,10-Jul-2013
11.85,11.85,11.85,11-Jul-2013
12,12,12,12-Jul-2013
12.06,12.06,12.06,15-Jul-2013
11.97,11.97,11.97,16-Jul-2013
11.97,11.97,11.97,17-Jul-2013
12.07,12.07,12.07,18-Jul-2013
12.04,12.04,12.04,19-Jul-2013
12.04,12.04,12.04,22-Jul-2013
12.09,12.09,12.09,23-Jul-2013
11.99,11.99,11.99,24-Jul-2013
11.91,11.91,11.91,25-Jul-2013
11.9,11.9,11.9,26-Jul-2013
11.84,11.84,11.84,29-Jul-2013
11.7,11.7,11.7,30-Jul-2013
11.73,11.73,11.73,31-Jul-2013
11.68,11.68,11.68,01-Aug-2013
11.6,11.6,11.6,02-Aug-2013
11.63,11.63,11.63,05-Aug-2013
11.4,11.4,11.4,06-Aug-2013
11.32,11.32,11.32,07-Aug-2013
11.39,11.39,11.39,08-Aug-2013
11.48,11.48,11.48,12-Aug-2013
11.65,11.65,11.65,13-Aug-2013
11.73,11.73,11.73,14-Aug-2013
11.39,11.39,11.39,16-Aug-2013
11.22,11.22,11.22,19-Aug-2013
11.17,11.17,11.17,20-Aug-2013
10.97,10.97,10.97,21-Aug-2013
11.12,11.12,11.12,22-Aug-2013
11.2,11.2,11.2,23-Aug-2013
11.24,11.24,11.24,26-Aug-2013
10.95,10.95,10.95,27-Aug-2013
10.94,10.94,10.94,28-Aug-2013
11.15,11.15,11.15,29-Aug-2013
11.29,11.29,11.29,30-Aug-2013
11.41,11.41,11.41,02-Sep-2013
11.09,11.09,11.09,03-Sep-2013
11.27,11.27,11.27,04-Sep-2013
11.43,11.43,11.43,05-Sep-2013
11.57,11.57,11.57,06-Sep-2013
11.92,11.92,11.92,10-Sep-2013
11.94,11.94,11.94,11-Sep-2013
11.82,11.82,11.82,12-Sep-2013
11.78,11.78,11.78,13-Sep-2013
11.77,11.77,11.77,16-Sep-2013
11.79,11.79,11.79,17-Sep-2013
11.87,11.87,11.87,18-Sep-2013
12.17,12.17,12.17,19-Sep-2013
12.03,12.03,12.03,20-Sep-2013
11.86,11.86,11.86,23-Sep-2013
11.87,11.87,11.87,24-Sep-2013
11.86,11.86,11.86,25-Sep-2013
11.87,11.87,11.87,26-Sep-2013
11.84,11.84,11.84,27-Sep-2013
11.69,11.69,11.69,30-Sep-2013
11.77,11.77,11.77,01-Oct-2013
11.99,11.99,11.99,03-Oct-2013
11.99,11.99,11.99,04-Oct-2013
12,12,12,07-Oct-2013
12.04,12.04,12.04,08-Oct-2013
12.18,12.18,12.18,09-Oct-2013
12.21,12.21,12.21,10-Oct-2013
12.34,12.34,12.34,11-Oct-2013
12.4,12.4,12.4,14-Oct-2013
12.35,12.35,12.35,15-Oct-2013
12.27,12.27,12.27,17-Oct-2013
12.53,12.53,12.53,18-Oct-2013
12.55,12.55,12.55,21-Oct-2013
12.56,12.56,12.56,22-Oct-2013
12.51,12.51,12.51,23-Oct-2013
12.45,12.45,12.45,24-Oct-2013
12.43,12.43,12.43,25-Oct-2013
12.33,12.33,12.33,28-Oct-2013
12.55,12.55,12.55,29-Oct-2013
12.62,12.62,12.62,30-Oct-2013
12.68,12.68,12.68,31-Oct-2013
12.67,12.67,12.67,01-Nov-2013
12.54,12.54,12.54,05-Nov-2013
12.49,12.49,12.49,06-Nov-2013
12.44,12.44,12.44,07-Nov-2013
12.36,12.36,12.36,08-Nov-2013
12.26,12.26,12.26,11-Nov-2013
12.16,12.16,12.16,12-Nov-2013
12.11,12.11,12.11,13-Nov-2013
12.26,12.26,12.26,14-Nov-2013
12.48,12.48,12.48,18-Nov-2013
12.51,12.51,12.51,19-Nov-2013
12.34,12.34,12.34,20-Nov-2013
12.1,12.1,12.1,21-Nov-2013
12.09,12.09,12.09,22-Nov-2013
12.28,12.28,12.28,25-Nov-2013
12.19,12.19,12.19,26-Nov-2013
12.19,12.19,12.19,27-Nov-2013
12.23,12.23,12.23,28-Nov-2013
12.35,12.35,12.35,29-Nov-2013
12.43,12.43,12.43,02-Dec-2013
12.38,12.38,12.38,03-Dec-2013
12.31,12.31,12.31,04-Dec-2013
12.45,12.45,12.45,05-Dec-2013
12.49,12.49,12.49,06-Dec-2013
12.7,12.7,12.7,09-Dec-2013
12.68,12.68,12.68,10-Dec-2013
12.62,12.62,12.62,11-Dec-2013
12.48,12.48,12.48,12-Dec-2013
12.34,12.34,12.34,13-Dec-2013
12.34,12.34,12.34,16-Dec-2013
12.36,12.36,12.36,17-Dec-2013
12.49,12.49,12.49,18-Dec-2013
12.43,12.43,12.43,19-Dec-2013
12.62,12.62,12.62,20-Dec-2013
12.62,12.62,12.62,23-Dec-2013
12.57,12.57,12.57,24-Dec-2013
12.57,12.57,12.57,26-Dec-2013
12.64,12.64,12.64,27-Dec-2013
12.59,12.59,12.59,30-Dec-2013
12.61,12.61,12.61,31-Dec-2013
12.61,12.61,12.61,01-Jan-2014
12.46,12.46,12.46,02-Jan-2014
12.51,12.51,12.51,03-Jan-2014
12.48,12.48,12.48,06-Jan-2014
12.45,12.45,12.45,07-Jan-2014
12.46,12.46,12.46,08-Jan-2014
12.43,12.43,12.43,09-Jan-2014
12.46,12.46,12.46,10-Jan-2014
12.63,12.63,12.63,13-Jan-2014
12.58,12.58,12.58,14-Jan-2014
12.7,12.7,12.7,15-Jan-2014
12.63,12.63,12.63,16-Jan-2014
12.48,12.48,12.48,17-Jan-2014
12.58,12.58,12.58,20-Jan-2014
12.59,12.59,12.59,21-Jan-2014
12.66,12.66,12.66,22-Jan-2014
12.66,12.66,12.66,23-Jan-2014
12.52,12.52,12.52,24-Jan-2014
12.23,12.23,12.23,27-Jan-2014
12.16,12.16,12.16,28-Jan-2014
12.16,12.16,12.16,29-Jan-2014
12.04,12.04,12.04,30-Jan-2014
