Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Edelweiss Mutual Fund,,,
Edelweiss Large Cap Fund,,,
Edelweiss Large Cap Fund - Direct Plan-Growth option,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
16.36,15.87,16.36,08-Jan-2013
16.28,15.79,16.28,09-Jan-2013
16.27,15.78,16.27,10-Jan-2013
16.08,15.6,16.08,11-Jan-2013
16.27,15.78,16.27,14-Jan-2013
16.33,15.84,16.33,15-Jan-2013
16.16,15.68,16.16,16-Jan-2013
16.26,15.77,16.26,17-Jan-2013
16.3,15.81,16.3,18-Jan-2013
16.33,15.84,16.33,21-Jan-2013
16.23,15.74,16.23,22-Jan-2013
16.13,15.65,16.13,23-Jan-2013
16.01,15.53,16.01,24-Jan-2013
16.22,15.73,16.22,25-Jan-2013
16.23,15.74,16.23,28-Jan-2013
16.19,15.7,16.19,29-Jan-2013
16.2,15.71,16.2,30-Jan-2013
16.17,15.68,16.17,31-Jan-2013
16.09,15.61,16.09,01-Feb-2013
16.03,15.55,16.03,04-Feb-2013
15.94,15.46,15.94,05-Feb-2013
15.95,15.47,15.95,06-Feb-2013
15.91,15.43,15.91,07-Feb-2013
15.83,15.36,15.83,08-Feb-2013
15.82,15.35,15.82,11-Feb-2013
15.89,15.41,15.89,12-Feb-2013
15.93,15.45,15.93,13-Feb-2013
15.84,15.36,15.84,14-Feb-2013
15.85,15.37,15.85,15-Feb-2013
15.85,15.37,15.85,18-Feb-2013
16,15.52,16,19-Feb-2013
16.06,15.58,16.06,20-Feb-2013
15.83,15.36,15.83,21-Feb-2013
15.81,15.34,15.81,22-Feb-2013
15.79,15.32,15.79,25-Feb-2013
15.58,15.11,15.58,26-Feb-2013
15.68,15.21,15.68,27-Feb-2013
15.39,14.93,15.39,28-Feb-2013
15.4,14.94,15.4,01-Mar-2013
15.34,14.88,15.34,04-Mar-2013
15.58,15.11,15.58,05-Mar-2013
15.64,15.17,15.64,06-Mar-2013
15.77,15.3,15.77,07-Mar-2013
15.97,15.49,15.97,08-Mar-2013
16.01,15.53,16.01,11-Mar-2013
15.95,15.47,15.95,12-Mar-2013
15.77,15.3,15.77,13-Mar-2013
15.91,15.43,15.91,14-Mar-2013
15.86,15.38,15.86,15-Mar-2013
15.79,15.32,15.79,18-Mar-2013
15.56,15.09,15.56,19-Mar-2013
15.42,14.96,15.42,20-Mar-2013
15.39,14.93,15.39,21-Mar-2013
15.33,14.87,15.33,22-Mar-2013
15.25,14.79,15.25,25-Mar-2013
15.27,14.81,15.27,26-Mar-2013
15.43,14.97,15.43,28-Mar-2013
15.51,15.04,15.51,01-Apr-2013
15.61,15.14,15.61,02-Apr-2013
15.47,15.01,15.47,03-Apr-2013
15.23,14.77,15.23,04-Apr-2013
15.18,14.72,15.18,05-Apr-2013
15.13,14.68,15.13,08-Apr-2013
14.99,14.54,14.99,09-Apr-2013
15.1,14.65,15.1,10-Apr-2013
15.24,14.78,15.24,11-Apr-2013
15.19,14.73,15.19,12-Apr-2013
15.25,14.79,15.25,15-Apr-2013
15.53,15.06,15.53,16-Apr-2013
15.59,15.12,15.59,17-Apr-2013
15.8,15.33,15.8,18-Apr-2013
15.95,15.47,15.95,22-Apr-2013
15.96,15.48,15.96,23-Apr-2013
16.15,15.67,16.15,25-Apr-2013
15.98,15.5,15.98,26-Apr-2013
16.12,15.64,16.12,29-Apr-2013
16.29,15.8,16.29,30-Apr-2013
16.5,16.01,16.5,02-May-2013
16.4,15.91,16.4,03-May-2013
16.47,15.98,16.47,06-May-2013
16.69,16.19,16.69,07-May-2013
16.82,16.32,16.82,08-May-2013
16.77,16.27,16.77,09-May-2013
16.91,16.4,16.91,10-May-2013
16.69,16.19,16.69,13-May-2013
16.74,16.24,16.74,14-May-2013
17.07,16.56,17.07,15-May-2013
17.11,16.6,17.11,16-May-2013
17.09,16.58,17.09,17-May-2013
17,16.49,17,20-May-2013
16.93,16.42,16.93,21-May-2013
16.95,16.44,16.95,22-May-2013
16.73,16.23,16.73,23-May-2013
16.8,16.3,16.8,24-May-2013
17.05,16.54,17.05,27-May-2013
17.1,16.59,17.1,28-May-2013
17.1,16.59,17.1,29-May-2013
17.15,16.64,17.15,30-May-2013
16.88,16.37,16.88,31-May-2013
16.8,16.3,16.8,03-Jun-2013
16.73,16.23,16.73,04-Jun-2013
16.72,16.22,16.72,05-Jun-2013
16.7,16.2,16.7,06-Jun-2013
16.65,16.15,16.65,07-Jun-2013
16.57,16.07,16.57,10-Jun-2013
16.3,15.81,16.3,11-Jun-2013
16.22,15.73,16.22,12-Jun-2013
16.05,15.57,16.05,13-Jun-2013
16.26,15.77,16.26,14-Jun-2013
16.39,15.9,16.39,17-Jun-2013
16.31,15.82,16.31,18-Jun-2013
16.35,15.86,16.35,19-Jun-2013
15.94,15.46,15.94,20-Jun-2013
15.98,15.5,15.98,21-Jun-2013
