Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
HDFC Mutual Fund,,,
HDFC Index Fund-Nifty 50 Plan,,,
HDFC Index Fund-NIFTY 50 Plan - Direct Plan,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
51.3793,50.8655,51.3793,01-Jan-2013
51.7411,51.2237,51.7411,02-Jan-2013
51.8788,51.36,51.8788,03-Jan-2013
51.9355,51.4161,51.9355,04-Jan-2013
51.6972,51.1802,51.6972,07-Jan-2013
51.8114,51.2933,51.8114,08-Jan-2013
51.5483,51.0328,51.5483,09-Jan-2013
51.5226,51.0074,51.5226,10-Jan-2013
51.3721,50.8584,51.3721,11-Jan-2013
51.9953,51.4753,51.9953,14-Jan-2013
52.273,51.7503,52.273,15-Jan-2013
51.801,51.283,51.801,16-Jan-2013
52.1219,51.6007,52.1219,17-Jan-2013
52.3379,51.8145,52.3379,18-Jan-2013
52.4919,51.967,52.4919,21-Jan-2013
52.1994,51.6774,52.1994,22-Jan-2013
52.2546,51.7321,52.2546,23-Jan-2013
51.9476,51.4281,51.9476,24-Jan-2013
52.4268,51.9025,52.4268,25-Jan-2013
52.425,51.9008,52.425,28-Jan-2013
52.2066,51.6845,52.2066,29-Jan-2013
52.2563,51.7337,52.2563,30-Jan-2013
52.0753,51.5545,52.0753,31-Jan-2013
51.7715,51.2538,51.7715,01-Feb-2013
51.6644,51.1478,51.6644,04-Feb-2013
51.4068,50.8927,51.4068,05-Feb-2013
51.4259,50.9116,51.4259,06-Feb-2013
51.2485,50.736,51.2485,07-Feb-2013
50.9431,50.4337,50.9431,08-Feb-2013
50.8923,50.3834,50.8923,11-Feb-2013
51.101,50.59,51.101,12-Feb-2013
51.1873,50.6754,51.1873,13-Feb-2013
50.8746,50.3659,50.8746,14-Feb-2013
50.7969,50.2889,50.7969,15-Feb-2013
50.8994,50.3904,50.8994,18-Feb-2013
51.2553,50.7427,51.2553,19-Feb-2013
51.2837,50.7709,51.2837,20-Feb-2013
50.5029,49.9979,50.5029,21-Feb-2013
50.4863,49.9814,50.4863,22-Feb-2013
50.5238,50.0186,50.5238,25-Feb-2013
49.7258,49.2285,49.7258,26-Feb-2013
50.0268,49.5265,50.0268,27-Feb-2013
49.1318,48.6405,49.1318,28-Feb-2013
49.3741,48.8804,49.3741,01-Mar-2013
49.188,48.6961,49.188,04-Mar-2013
49.9235,49.4243,49.9235,05-Mar-2013
50.2177,49.7155,50.2177,06-Mar-2013
50.5986,50.0926,50.5986,07-Mar-2013
51.3019,50.7889,51.3019,08-Mar-2013
51.2695,50.7568,51.2695,11-Mar-2013
51.0282,50.5179,51.0282,12-Mar-2013
50.4832,49.9784,50.4832,13-Mar-2013
50.9825,50.4727,50.9825,14-Mar-2013
50.6677,50.161,50.6677,15-Mar-2013
50.3577,49.8541,50.3577,18-Mar-2013
49.5867,49.0908,49.5867,19-Mar-2013
49.1495,48.658,49.1495,20-Mar-2013
48.8496,48.3611,48.8496,21-Mar-2013
48.8018,48.3138,48.8018,22-Mar-2013
48.6416,48.1552,48.6416,25-Mar-2013
48.7073,48.2202,48.7073,26-Mar-2013
49.0444,48.554,49.0444,28-Mar-2013
49.2056,48.7135,49.2056,01-Apr-2013
49.5792,49.0834,49.5792,02-Apr-2013
48.9326,48.4433,48.9326,03-Apr-2013
48.0822,47.6014,48.0822,04-Apr-2013
47.8952,47.4162,47.8952,05-Apr-2013
47.8062,47.3281,47.8062,08-Apr-2013
47.3985,46.9245,47.3985,09-Apr-2013
47.9367,47.4573,47.9367,10-Apr-2013
48.2361,47.7537,48.2361,11-Apr-2013
47.6679,47.1912,47.6679,12-Apr-2013
48.0088,47.5287,48.0088,15-Apr-2013
49.0349,48.5446,49.0349,16-Apr-2013
49.0335,48.5432,49.0335,17-Apr-2013
49.8416,49.3432,49.8416,18-Apr-2013
50.2768,49.774,50.2768,22-Apr-2013
50.2964,49.7934,50.2964,23-Apr-2013
50.9781,50.4683,50.9781,25-Apr-2013
50.5903,50.0844,50.5903,26-Apr-2013
50.8684,50.3597,50.8684,29-Apr-2013
51.1015,50.5905,51.1015,30-Apr-2013
51.7231,51.2059,51.7231,02-May-2013
51.2461,50.7336,51.2461,03-May-2013
51.4799,50.9651,51.4799,06-May-2013
52.1019,51.5809,52.1019,07-May-2013
52.3181,51.7949,52.3181,08-May-2013
52.1528,51.6313,52.1528,09-May-2013
52.5736,52.0479,52.5736,10-May-2013
51.5889,51.073,51.5889,13-May-2013
51.7179,51.2007,51.7179,14-May-2013
53.0095,52.4794,53.0095,15-May-2013
53.2067,52.6746,53.2067,16-May-2013
53.3561,52.8225,53.3561,17-May-2013
53.0944,52.5635,53.0944,20-May-2013
52.724,52.1968,52.724,21-May-2013
52.5566,52.031,52.5566,22-May-2013
51.4604,50.9458,51.4604,23-May-2013
51.5991,51.0831,51.5991,24-May-2013
52.4477,51.9232,52.4477,27-May-2013
52.7148,52.1877,52.7148,28-May-2013
52.6537,52.1272,52.6537,29-May-2013
52.9141,52.385,52.9141,30-May-2013
51.811,51.2929,51.811,31-May-2013
51.4105,50.8964,51.4105,03-Jun-2013
51.2396,50.7272,51.2396,04-Jun-2013
51.2771,50.7643,51.2771,05-Jun-2013
51.2759,50.7631,51.2759,06-Jun-2013
50.9332,50.4239,50.9332,07-Jun-2013
50.9034,50.3944,50.9034,10-Jun-2013
50.1494,49.6479,50.1494,11-Jun-2013
49.906,49.4069,49.906,12-Jun-2013
49.4412,48.9468,49.4412,13-Jun-2013
50.352,49.8485,50.352,14-Jun-2013
50.71,50.2029,50.71,17-Jun-2013
50.4016,49.8976,50.4016,18-Jun-2013
50.4748,49.9701,50.4748,19-Jun-2013
49.0586,48.568,49.0586,20-Jun-2013
49.1525,48.661,49.1525,21-Jun-2013
48.4919,48.007,48.4919,24-Jun-2013
48.6501,48.1636,48.6501,25-Jun-2013
48.4768,47.992,48.4768,26-Jun-2013
49.3207,48.8275,49.3207,27-Jun-2013
50.7075,50.2004,50.7075,28-Jun-2013
51.1922,50.6803,51.1922,01-Jul-2013
50.8387,50.3303,50.8387,02-Jul-2013
50.091,49.5901,50.091,03-Jul-2013
50.6792,50.1724,50.6792,04-Jul-2013
50.9517,50.4422,50.9517,05-Jul-2013
50.5055,50.0004,50.5055,08-Jul-2013
50.9114,50.4023,50.9114,09-Jul-2013
50.5685,50.0628,50.5685,10-Jul-2013
51.5882,51.0723,51.5882,11-Jul-2013
52.2332,51.7109,52.2332,12-Jul-2013
52.4366,51.9122,52.4366,15-Jul-2013
51.7811,51.2633,51.7811,16-Jul-2013
51.9417,51.4223,51.9417,17-Jul-2013
52.5239,51.9987,52.5239,18-Jul-2013
52.4499,51.9254,52.4499,19-Jul-2013
52.474,51.9493,52.474,22-Jul-2013
52.8684,52.3397,52.8684,23-Jul-2013
52.1207,51.5995,52.1207,24-Jul-2013
51.4007,50.8867,51.4007,25-Jul-2013
51.2276,50.7153,51.2276,26-Jul-2013
50.7506,50.2431,50.7506,29-Jul-2013
50.1089,49.6078,50.1089,30-Jul-2013
49.9914,49.4915,49.9914,31-Jul-2013
49.8694,49.3707,49.8694,01-Aug-2013
49.4421,48.9477,49.4421,02-Aug-2013
49.5025,49.0075,49.5025,05-Aug-2013
48.2726,47.7899,48.2726,06-Aug-2013
48.0759,47.5951,48.0759,07-Aug-2013
48.4745,47.9898,48.4745,08-Aug-2013
48.8786,48.3898,48.8786,12-Aug-2013
49.6583,49.1617,49.6583,13-Aug-2013
50.0315,49.5312,50.0315,14-Aug-2013
48.0063,47.5262,48.0063,16-Aug-2013
47.201,46.729,47.201,19-Aug-2013
47.0861,46.6152,47.0861,20-Aug-2013
46.2251,45.7628,46.2251,21-Aug-2013
47.1442,46.6728,47.1442,22-Aug-2013
47.69,47.2131,47.69,23-Aug-2013
47.7254,47.2481,47.7254,26-Aug-2013
46.0949,45.634,46.0949,27-Aug-2013
46.0776,45.6168,46.0776,28-Aug-2013
47.1322,46.6609,47.1322,29-Aug-2013
47.6402,47.1638,47.6402,30-Aug-2013
48.2625,47.7799,48.2625,02-Sep-2013
46.464,45.9994,46.464,03-Sep-2013
47.3934,46.9195,47.3934,04-Sep-2013
48.6605,48.1739,48.6605,05-Sep-2013
49.4425,48.9481,49.4425,06-Sep-2013
51.3127,50.7996,51.3127,10-Sep-2013
51.4505,50.936,51.4505,11-Sep-2013
50.9121,50.403,50.9121,12-Sep-2013
50.9104,50.4013,50.9104,13-Sep-2013
50.8398,50.3314,50.8398,16-Sep-2013
50.9203,50.4111,50.9203,17-Sep-2013
51.3524,50.8389,51.3524,18-Sep-2013
53.243,52.7106,53.243,19-Sep-2013
52.341,51.8176,52.341,20-Sep-2013
51.2789,50.7661,51.2789,23-Sep-2013
51.2927,50.7798,51.2927,24-Sep-2013
51.1319,50.6206,51.1319,25-Sep-2013
51.2036,50.6916,51.2036,26-Sep-2013
50.7766,50.2688,50.7766,27-Sep-2013
49.9309,49.4316,49.9309,30-Sep-2013
50.3177,49.8145,50.3177,01-Oct-2013
51.4335,50.9192,51.4335,03-Oct-2013
51.4118,50.8977,51.4118,04-Oct-2013
51.4032,50.8892,51.4032,07-Oct-2013
51.595,51.0791,51.595,08-Oct-2013
52.2751,51.7523,52.2751,09-Oct-2013
52.3892,51.8653,52.3892,10-Oct-2013
53.0421,52.5117,53.0421,11-Oct-2013
53.1819,52.6501,53.1819,14-Oct-2013
52.979,52.4492,52.979,15-Oct-2013
52.6268,52.1005,52.6268,17-Oct-2013
53.8542,53.3157,53.8542,18-Oct-2013
53.9878,53.4479,53.9878,21-Oct-2013
