Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
HDFC Mutual Fund,,,
HDFC Index Fund-Sensex Plan,,,
HDFC Index Fund-Sensex Plan - Direct Plan,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
163.6338,161.9975,163.6338,01-Jan-2013
164.7386,163.0912,164.7386,02-Jan-2013
165.1558,163.5042,165.1558,03-Jan-2013
165.3131,163.66,165.3131,04-Jan-2013
164.5376,162.8922,164.5376,07-Jan-2013
164.9539,163.3044,164.9539,08-Jan-2013
164.3239,162.6807,164.3239,09-Jan-2013
164.2936,162.6507,164.2936,10-Jan-2013
164.3046,162.6616,164.3046,11-Jan-2013
166.3083,164.6452,166.3083,14-Jan-2013
166.9794,165.3096,166.9794,15-Jan-2013
165.5729,163.9172,165.5729,16-Jan-2013
166.793,165.1251,166.793,17-Jan-2013
167.4054,165.7313,167.4054,18-Jan-2013
167.921,166.2418,167.921,21-Jan-2013
166.915,165.2459,166.915,22-Jan-2013
167.318,165.6448,167.318,23-Jan-2013
166.4637,164.7991,166.4637,24-Jan-2013
167.9549,166.2754,167.9549,25-Jan-2013
167.9428,166.2634,167.9428,28-Jan-2013
167.0051,165.335,167.0051,29-Jan-2013
167.1213,165.4501,167.1213,30-Jan-2013
166.2025,164.5405,166.2025,31-Jan-2013
165.2518,163.5993,165.2518,01-Feb-2013
164.993,163.3431,164.993,04-Feb-2013
164.2487,162.6062,164.2487,05-Feb-2013
164.0776,162.4368,164.0776,06-Feb-2013
163.5793,161.9435,163.5793,07-Feb-2013
162.7865,161.1586,162.7865,08-Feb-2013
162.5755,160.9497,162.5755,11-Feb-2013
163.4032,161.7692,163.4032,12-Feb-2013
163.7885,162.1506,163.7885,13-Feb-2013
162.8556,161.227,162.8556,14-Feb-2013
162.6162,160.99,162.6162,15-Feb-2013
162.8968,161.2678,162.8968,18-Feb-2013
164.0152,162.375,164.0152,19-Feb-2013
164.0713,162.4306,164.0713,20-Feb-2013
161.4255,159.8112,161.4255,21-Feb-2013
161.3645,159.7509,161.3645,22-Feb-2013
161.4794,159.8646,161.4794,25-Feb-2013
158.8412,157.2528,158.8412,26-Feb-2013
159.9772,158.3774,159.9772,27-Feb-2013
157.5783,156.0025,157.5783,28-Feb-2013
158.1065,156.5254,158.1065,01-Mar-2013
157.7606,156.183,157.7606,04-Mar-2013
159.9526,158.3531,159.9526,05-Mar-2013
160.8559,159.2473,160.8559,06-Mar-2013
