Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Kotak Mahindra Mutual Fund,,,
Kotak Bluechip Fund,,,
Kotak Bluechip Fund - Growth - Direct,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
111.733,110.616,111.733,02-Jan-2013
112.13,111.009,112.13,03-Jan-2013
112.702,111.575,112.702,04-Jan-2013
112.718,111.591,112.718,07-Jan-2013
112.841,111.713,112.841,08-Jan-2013
112.75,111.623,112.75,09-Jan-2013
112.648,111.522,112.648,10-Jan-2013
112.102,110.981,112.102,11-Jan-2013
113.235,112.103,113.235,14-Jan-2013
114.241,113.099,114.241,15-Jan-2013
113.389,112.255,113.389,16-Jan-2013
114.309,113.166,114.309,17-Jan-2013
115.112,113.961,115.112,18-Jan-2013
115.769,114.611,115.769,21-Jan-2013
115.207,114.055,115.207,22-Jan-2013
115.447,114.293,115.447,23-Jan-2013
114.434,113.29,114.434,24-Jan-2013
115.187,114.035,115.187,25-Jan-2013
115.034,113.884,115.034,28-Jan-2013
114.452,113.307,114.452,29-Jan-2013
114.564,113.418,114.564,30-Jan-2013
114.082,112.941,114.082,31-Jan-2013
113.885,112.746,113.885,01-Feb-2013
113.043,111.913,113.043,04-Feb-2013
112.097,110.976,112.097,05-Feb-2013
112.025,110.905,112.025,06-Feb-2013
111.265,110.152,111.265,07-Feb-2013
110.652,109.545,110.652,08-Feb-2013
110.502,109.397,110.502,11-Feb-2013
111.681,110.564,111.681,12-Feb-2013
111.897,110.778,111.897,13-Feb-2013
110.682,109.575,110.682,14-Feb-2013
110.463,109.358,110.463,15-Feb-2013
110.332,109.229,110.332,18-Feb-2013
111.128,110.017,111.128,19-Feb-2013
111.286,110.173,111.286,20-Feb-2013
109.575,108.479,109.575,21-Feb-2013
110.029,108.929,110.029,22-Feb-2013
109.737,108.64,109.737,25-Feb-2013
108.048,106.968,108.048,26-Feb-2013
108.885,107.796,108.885,27-Feb-2013
107.144,106.073,107.144,28-Feb-2013
107.864,106.785,107.864,01-Mar-2013
107.687,106.61,107.687,04-Mar-2013
109.15,108.059,109.15,05-Mar-2013
109.63,108.534,109.63,06-Mar-2013
110.512,109.407,110.512,07-Mar-2013
112.12,110.999,112.12,08-Mar-2013
111.974,110.854,111.974,11-Mar-2013
111.37,110.256,111.37,12-Mar-2013
110.124,109.023,110.124,13-Mar-2013
111.152,110.04,111.152,14-Mar-2013
110.406,109.302,110.406,15-Mar-2013
109.622,108.526,109.622,18-Mar-2013
107.822,106.744,107.822,19-Mar-2013
106.298,105.235,106.298,20-Mar-2013
106.169,105.107,106.169,21-Mar-2013
105.81,104.752,105.81,22-Mar-2013
105.749,104.692,105.749,25-Mar-2013
105.909,104.85,105.909,26-Mar-2013
106.864,105.795,106.864,28-Mar-2013
107.261,106.188,107.261,01-Apr-2013
108.145,107.064,108.145,02-Apr-2013
106.705,105.638,106.705,03-Apr-2013
105.076,104.025,105.076,04-Apr-2013
104.921,103.872,104.921,05-Apr-2013
105.052,104.001,105.052,08-Apr-2013
103.821,102.783,103.821,09-Apr-2013
104.989,103.939,104.989,10-Apr-2013
105.432,104.378,105.432,11-Apr-2013
105.044,103.994,105.044,12-Apr-2013
106.038,104.978,106.038,15-Apr-2013
108.256,107.173,108.256,16-Apr-2013
107.972,106.892,107.972,17-Apr-2013
109.54,108.445,109.54,18-Apr-2013
110.62,109.514,110.62,22-Apr-2013
110.687,109.58,110.687,23-Apr-2013
111.831,110.713,111.831,25-Apr-2013
111.319,110.206,111.319,26-Apr-2013
111.809,110.691,111.809,29-Apr-2013
112.086,110.965,112.086,30-Apr-2013
113.198,112.066,113.198,02-May-2013
112.065,110.944,112.065,03-May-2013
112.591,111.465,112.591,06-May-2013
113.706,112.569,113.706,07-May-2013
113.629,112.493,113.629,08-May-2013
113.295,112.162,113.295,09-May-2013
113.947,112.808,113.947,10-May-2013
112.095,110.974,112.095,13-May-2013
112.311,111.188,112.311,14-May-2013
114.871,113.722,114.871,15-May-2013
115.515,114.36,115.515,16-May-2013
115.609,114.453,115.609,17-May-2013
114.734,113.587,114.734,20-May-2013
114.055,112.914,114.055,21-May-2013
113.689,112.552,113.689,22-May-2013
111.14,110.029,111.14,23-May-2013
111.544,110.429,111.544,24-May-2013
113.479,112.344,113.479,27-May-2013
114.355,113.211,114.355,28-May-2013
113.991,112.851,113.991,29-May-2013
113.838,112.7,113.838,30-May-2013
111.618,110.502,111.618,31-May-2013
111.071,109.96,111.071,03-Jun-2013
111.011,109.901,111.011,04-Jun-2013
111.249,110.137,111.249,05-Jun-2013
111.223,110.111,111.223,06-Jun-2013
110.403,109.299,110.403,07-Jun-2013
109.991,108.891,109.991,10-Jun-2013
108.045,106.965,108.045,11-Jun-2013
107.703,106.626,107.703,12-Jun-2013
106.961,105.891,106.961,13-Jun-2013
108.813,107.725,108.813,14-Jun-2013
109.325,108.232,109.325,17-Jun-2013
108.722,107.635,108.722,18-Jun-2013
109.178,108.086,109.178,19-Jun-2013
105.89,104.831,105.89,20-Jun-2013
105.948,104.889,105.948,21-Jun-2013
