Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Motilal Oswal Mutual Fund,,,
Motilal Oswal Focused 25 Fund (MOF25),,,
Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
10.0708,10.0708,10.0708,15-May-2013
10.0636,10.0636,10.0636,16-May-2013
10.0719,10.0719,10.0719,17-May-2013
10.0222,10.0222,10.0222,20-May-2013
9.9544,9.9544,9.9544,21-May-2013
9.9199,9.9199,9.9199,22-May-2013
9.7936,9.7936,9.7936,23-May-2013
9.8067,9.8067,9.8067,24-May-2013
9.904,9.904,9.904,27-May-2013
9.9224,9.9224,9.9224,28-May-2013
9.92,9.92,9.92,29-May-2013
9.9346,9.9346,9.9346,30-May-2013
9.8005,9.8005,9.8005,31-May-2013
9.7334,9.7334,9.7334,03-Jun-2013
9.7599,9.7599,9.7599,04-Jun-2013
9.7626,9.7626,9.7626,05-Jun-2013
9.7413,9.7413,9.7413,06-Jun-2013
9.6899,9.6899,9.6899,07-Jun-2013
9.6584,9.6584,9.6584,10-Jun-2013
9.4865,9.4865,9.4865,11-Jun-2013
9.4233,9.4233,9.4233,12-Jun-2013
9.3543,9.3543,9.3543,13-Jun-2013
9.4809,9.4809,9.4809,14-Jun-2013
9.5666,9.5666,9.5666,17-Jun-2013
9.5228,9.5228,9.5228,18-Jun-2013
9.5813,9.5813,9.5813,19-Jun-2013
9.3835,9.3835,9.3835,20-Jun-2013
9.3696,9.3696,9.3696,21-Jun-2013
9.2544,9.2544,9.2544,24-Jun-2013
9.3161,9.3161,9.3161,25-Jun-2013
9.2522,9.2522,9.2522,26-Jun-2013
9.3237,9.3237,9.3237,27-Jun-2013
9.5109,9.5109,9.5109,28-Jun-2013
9.573,9.573,9.573,01-Jul-2013
9.5399,9.5399,9.5399,02-Jul-2013
9.443,9.443,9.443,03-Jul-2013
9.5397,9.5397,9.5397,04-Jul-2013
9.5685,9.5685,9.5685,05-Jul-2013
9.4734,9.4734,9.4734,08-Jul-2013
9.5486,9.5486,9.5486,09-Jul-2013
9.5115,9.5115,9.5115,10-Jul-2013
9.6634,9.6634,9.6634,11-Jul-2013
9.743,9.743,9.743,12-Jul-2013
9.8259,9.8259,9.8259,15-Jul-2013
9.7497,9.7497,9.7497,16-Jul-2013
9.7374,9.7374,9.7374,17-Jul-2013
9.7939,9.7939,9.7939,18-Jul-2013
9.8009,9.8009,9.8009,19-Jul-2013
9.8005,9.8005,9.8005,22-Jul-2013
9.8009,9.8009,9.8009,23-Jul-2013
