Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Mirae Asset Mutual Fund,,,
Mirae Asset Large Cap Fund,,,
Mirae Asset Large Cap Fund - Direct Plan - Growth,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
18.972,18.593,18.972,02-Jan-2013
19.011,18.631,19.011,03-Jan-2013
19.008,18.628,19.008,04-Jan-2013
18.95,18.571,18.95,07-Jan-2013
18.954,18.575,18.954,08-Jan-2013
18.94,18.561,18.94,09-Jan-2013
18.957,18.578,18.957,10-Jan-2013
18.948,18.569,18.948,11-Jan-2013
19.177,18.793,19.177,14-Jan-2013
19.272,18.887,19.272,15-Jan-2013
19.08,18.698,19.08,16-Jan-2013
19.189,18.805,19.189,17-Jan-2013
19.2,18.816,19.2,18-Jan-2013
19.236,18.851,19.236,21-Jan-2013
19.089,18.707,19.089,22-Jan-2013
19.088,18.706,19.088,23-Jan-2013
18.868,18.491,18.868,24-Jan-2013
19.098,18.716,19.098,25-Jan-2013
19.074,18.693,19.074,28-Jan-2013
19.001,18.621,19.001,29-Jan-2013
18.982,18.602,18.982,30-Jan-2013
18.913,18.535,18.913,31-Jan-2013
18.879,18.501,18.879,01-Feb-2013
18.795,18.419,18.795,04-Feb-2013
18.674,18.301,18.674,05-Feb-2013
18.678,18.304,18.678,06-Feb-2013
18.594,18.222,18.594,07-Feb-2013
18.487,18.117,18.487,08-Feb-2013
18.455,18.086,18.455,11-Feb-2013
18.52,18.15,18.52,12-Feb-2013
18.529,18.158,18.529,13-Feb-2013
18.365,17.998,18.365,14-Feb-2013
18.336,17.969,18.336,15-Feb-2013
18.358,17.991,18.358,18-Feb-2013
18.483,18.113,18.483,19-Feb-2013
18.453,18.084,18.453,20-Feb-2013
18.175,17.812,18.175,21-Feb-2013
18.172,17.809,18.172,22-Feb-2013
18.144,17.781,18.144,25-Feb-2013
17.873,17.516,17.873,26-Feb-2013
17.999,17.639,17.999,27-Feb-2013
17.723,17.369,17.723,28-Feb-2013
17.863,17.506,17.863,01-Mar-2013
17.791,17.435,17.791,04-Mar-2013
18.002,17.642,18.002,05-Mar-2013
18.097,17.735,18.097,06-Mar-2013
18.211,17.847,18.211,07-Mar-2013
18.435,18.066,18.435,08-Mar-2013
18.424,18.056,18.424,11-Mar-2013
18.33,17.963,18.33,12-Mar-2013
18.091,17.729,18.091,13-Mar-2013
18.245,17.88,18.245,14-Mar-2013
18.101,17.739,18.101,15-Mar-2013
18.022,17.662,18.022,18-Mar-2013
17.827,17.47,17.827,19-Mar-2013
17.55,17.199,17.55,20-Mar-2013
17.477,17.127,17.477,21-Mar-2013
17.453,17.104,17.453,22-Mar-2013
17.394,17.046,17.394,25-Mar-2013
17.434,17.085,17.434,26-Mar-2013
17.563,17.212,17.563,28-Mar-2013
17.678,17.324,17.678,01-Apr-2013
17.842,17.485,17.842,02-Apr-2013
17.613,17.261,17.613,03-Apr-2013
17.335,16.988,17.335,04-Apr-2013
17.275,16.93,17.275,05-Apr-2013
17.28,16.934,17.28,08-Apr-2013
17.106,16.764,17.106,09-Apr-2013
17.278,16.932,17.278,10-Apr-2013
17.391,17.043,17.391,11-Apr-2013
17.195,16.851,17.195,12-Apr-2013
17.268,16.923,17.268,15-Apr-2013
17.545,17.194,17.545,16-Apr-2013
17.605,17.253,17.605,17-Apr-2013
17.845,17.488,17.845,18-Apr-2013
18.061,17.7,18.061,22-Apr-2013
18.033,17.672,18.033,23-Apr-2013
18.213,17.849,18.213,25-Apr-2013
18.148,17.785,18.148,26-Apr-2013
18.221,17.857,18.221,29-Apr-2013
18.272,17.907,18.272,30-Apr-2013
18.426,18.057,18.426,02-May-2013
18.285,17.919,18.285,03-May-2013
18.41,18.042,18.41,06-May-2013
18.615,18.243,18.615,07-May-2013
18.735,18.36,18.735,08-May-2013
18.701,18.327,18.701,09-May-2013
18.851,18.474,18.851,10-May-2013
