Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017
Nippon India Mutual Fund
Nippon India Index Fund - Sensex Plan
Nippon India Index Fund - Sensex Plan - Direct Plan Growth Plan - Growth Option
Net Asset Value,Repurchase Price,Sale Price,NAV date
9.6577000000000002,9.5610999999999997,9.6577000000000002,02-Jan-2013
9.6809999999999992,9.5841999999999992,9.6809999999999992,03-Jan-2013
9.6900999999999993,9.5931999999999995,9.6900999999999993,04-Jan-2013
9.6462000000000003,9.5496999999999996,9.6462000000000003,07-Jan-2013
9.6699000000000002,9.5731999999999999,9.6699000000000002,08-Jan-2013
9.6334,9.5371000000000006,9.6334,09-Jan-2013
9.6315000000000008,9.5351999999999997,9.6315000000000008,10-Jan-2013
9.6320999999999994,9.5358000000000001,9.6320999999999994,11-Jan-2013
9.7477,9.6501999999999999,9.7477,14-Jan-2013
9.7859999999999996,9.6881000000000004,9.7859999999999996,15-Jan-2013
9.7044999999999995,9.6074999999999999,9.7044999999999995,16-Jan-2013
9.7746999999999993,9.6769999999999996,9.7746999999999993,17-Jan-2013
9.8106000000000009,9.7125000000000004,9.8106000000000009,18-Jan-2013
9.8420000000000005,9.7436000000000007,9.8420000000000005,21-Jan-2013
9.7849000000000004,9.6870999999999992,9.7849000000000004,22-Jan-2013
9.8078000000000003,9.7096999999999998,9.8078000000000003,23-Jan-2013
9.7588000000000008,9.6611999999999991,9.7588000000000008,24-Jan-2013
9.8437999999999999,9.7454000000000001,9.8437999999999999,25-Jan-2013
9.8434000000000008,9.7449999999999992,9.8434000000000008,28-Jan-2013
9.7903000000000002,9.6923999999999992,9.7903000000000002,29-Jan-2013
9.7967999999999993,9.6988000000000003,9.7967999999999993,30-Jan-2013
9.7447999999999997,9.6473999999999993,9.7447999999999997,31-Jan-2013
9.6913,9.5944000000000003,9.6913,01-Feb-2013
9.6762999999999995,9.5794999999999995,9.6762999999999995,04-Feb-2013
9.6343999999999994,9.5381,9.6343999999999994,05-Feb-2013
9.6247000000000007,9.5284999999999993,9.6247000000000007,06-Feb-2013
9.5962999999999994,9.5002999999999993,9.5962999999999994,07-Feb-2013
9.5505999999999993,9.4550999999999998,9.5505999999999993,08-Feb-2013
9.5385000000000009,9.4430999999999994,9.5385000000000009,11-Feb-2013
9.5856999999999992,9.4898000000000007,9.5856999999999992,12-Feb-2013
9.6073000000000004,9.5112000000000005,9.6073000000000004,13-Feb-2013
9.5542999999999996,9.4588000000000001,9.5542999999999996,14-Feb-2013
9.5401000000000007,9.4446999999999992,9.5401000000000007,15-Feb-2013
9.5564,9.4608000000000008,9.5564,18-Feb-2013
9.6202000000000005,9.5239999999999991,9.6202000000000005,19-Feb-2013
9.6249000000000002,9.5287000000000006,9.6249000000000002,20-Feb-2013
9.4742999999999995,9.3795999999999999,9.4742999999999995,21-Feb-2013
9.4705999999999992,9.3758999999999997,9.4705999999999992,22-Feb-2013
9.4773999999999994,9.3826000000000001,9.4773999999999994,25-Feb-2013
9.3277999999999999,9.2345000000000006,9.3277999999999999,26-Feb-2013
9.3926999999999996,9.2988,9.3926999999999996,27-Feb-2013
9.2547999999999995,9.1623000000000001,9.2547999999999995,28-Feb-2013
9.2858000000000001,9.1928999999999998,9.2858000000000001,01-Mar-2013
9.2657000000000007,9.173,9.2657000000000007,04-Mar-2013
9.3925000000000001,9.2986000000000004,9.3925000000000001,05-Mar-2013
9.4448000000000008,9.3504000000000005,9.4448000000000008,06-Mar-2013
9.5215999999999994,9.4263999999999992,9.5215999999999994,07-Mar-2013
9.6499000000000006,9.5533999999999999,9.6499000000000006,08-Mar-2013
9.6324000000000005,9.5360999999999994,9.6324000000000005,11-Mar-2013
9.5946999999999996,9.4987999999999992,9.5946999999999996,12-Mar-2013
9.4978999999999996,9.4029000000000007,9.4978999999999996,13-Mar-2013
9.5975000000000001,9.5015000000000001,9.5975000000000001,14-Mar-2013
9.5312000000000001,9.4359000000000002,9.5312000000000001,15-Mar-2013
9.4700000000000006,9.3752999999999993,9.4700000000000006,18-Mar-2013
9.3320000000000007,9.2386999999999997,9.3320000000000007,19-Mar-2013
9.2726000000000006,9.1798999999999999,9.2726000000000006,20-Mar-2013
9.2264999999999997,9.1341999999999999,9.2264999999999997,21-Mar-2013
9.2028999999999996,9.1109000000000009,9.2028999999999996,22-Mar-2013
9.1745999999999999,9.0829000000000004,9.1745999999999999,25-Mar-2013
9.1850000000000005,9.0931999999999995,9.1850000000000005,26-Mar-2013
9.2491000000000003,9.1565999999999992,9.2491000000000003,28-Mar-2013
9.2626000000000008,9.1699999999999999,9.2626000000000008,01-Apr-2013
9.3485999999999994,9.2551000000000005,9.3485999999999994,02-Apr-2013
9.2315000000000005,9.1392000000000007,9.2315000000000005,03-Apr-2013
9.0884999999999998,8.9976000000000003,9.0884999999999998,04-Apr-2013
9.0593000000000004,8.9687000000000001,9.0593000000000004,05-Apr-2013
9.0527999999999995,8.9623000000000008,9.0527999999999995,08-Apr-2013
8.9659999999999993,8.8763000000000005,8.9659999999999993,09-Apr-2013
9.0581999999999994,8.9675999999999991,9.0581999999999994,10-Apr-2013
9.1204999999999998,9.0292999999999992,9.1204999999999998,11-Apr-2013
8.9728999999999992,8.8832000000000004,8.9728999999999992,12-Apr-2013
9.0286000000000008,8.9382999999999999,9.0286000000000008,15-Apr-2013
9.2147000000000006,9.1226000000000003,9.2147000000000006,16-Apr-2013
9.2078000000000007,9.1157000000000004,9.2078000000000007,17-Apr-2013
9.3449000000000009,9.2515000000000001,9.3449000000000009,18-Apr-2013
9.4168000000000003,9.3225999999999996,9.4168000000000003,22-Apr-2013
9.4215999999999998,9.3274000000000008,9.4215999999999998,23-Apr-2013
9.5302000000000007,9.4349000000000007,9.5302000000000007,25-Apr-2013
9.4722000000000008,9.3774999999999995,9.4722000000000008,26-Apr-2013
9.5206999999999997,9.4254999999999995,9.5206999999999997,29-Apr-2013
9.5765999999999991,9.4808000000000003,9.5765999999999991,30-Apr-2013
9.6870999999999992,9.5901999999999994,9.6870999999999992,02-May-2013
9.6106999999999996,9.5145999999999997,9.6106999999999996,03-May-2013
9.6575000000000006,9.5609000000000002,9.6575000000000006,06-May-2013
9.7604000000000006,9.6628000000000007,9.7604000000000006,07-May-2013
9.8089999999999993,9.7109000000000005,9.8089999999999993,08-May-2013
9.7853999999999992,9.6875,9.7853999999999992,09-May-2013
9.8636999999999997,9.7651000000000003,9.8636999999999997,10-May-2013
9.6746999999999996,9.5779999999999994,9.6746999999999996,13-May-2013
9.6892999999999994,9.5923999999999996,9.6892999999999994,14-May-2013
9.9253999999999998,9.8261000000000003,9.9253999999999998,15-May-2013
9.9449000000000005,9.8454999999999995,9.9449000000000005,16-May-2013
9.9635999999999996,9.8640000000000008,9.9635999999999996,17-May-2013
9.9327000000000005,9.8333999999999993,9.9327000000000005,20-May-2013
9.8763000000000005,9.7774999999999999,9.8763000000000005,21-May-2013
9.8514999999999997,9.7530000000000001,9.8514999999999997,22-May-2013
9.6611999999999991,9.5646000000000004,9.6611999999999991,23-May-2013
9.6760999999999999,9.5792999999999999,9.6760999999999999,24-May-2013
9.8359000000000005,9.7375000000000007,9.8359000000000005,27-May-2013
9.9064999999999994,9.8073999999999995,9.9064999999999994,28-May-2013
9.8995999999999995,9.8005999999999993,9.8995999999999995,29-May-2013
9.9529999999999994,9.8535000000000004,9.9529999999999994,30-May-2013
9.7466000000000008,9.6491000000000007,9.7466000000000008,31-May-2013
9.6725999999999992,9.5759000000000007,9.6725999999999992,03-Jun-2013
9.6422000000000008,9.5457999999999998,9.6422000000000008,04-Jun-2013
9.6526999999999994,9.5562000000000005,9.6526999999999994,05-Jun-2013
9.6334,9.5371000000000006,9.6334,06-Jun-2013
9.5885999999999996,9.4926999999999992,9.5885999999999996,07-Jun-2013
9.5937999999999999,9.4978999999999996,9.5937999999999999,10-Jun-2013
9.4484999999999992,9.3539999999999992,9.4484999999999992,11-Jun-2013
9.3985000000000003,9.3045000000000009,9.3985000000000003,12-Jun-2013
9.2995999999999999,9.2065999999999999,9.2995999999999999,13-Jun-2013
9.4707000000000008,9.3759999999999994,9.4707000000000008,14-Jun-2013
9.5425000000000004,9.4471000000000007,9.5425000000000004,17-Jun-2013
9.4925999999999995,9.3977000000000004,9.4925999999999995,18-Jun-2013
9.5033999999999992,9.4084000000000003,9.5033999999999992,19-Jun-2013
9.2474000000000007,9.1548999999999996,9.2474000000000007,20-Jun-2013
9.2744,9.1816999999999993,9.2744,21-Jun-2013
9.1600000000000001,9.0684000000000005,9.1600000000000001,24-Jun-2013
9.2027999999999999,9.1107999999999993,9.2027999999999999,25-Jun-2013
9.1652000000000005,9.0734999999999992,9.1652000000000005,26-Jun-2013
9.3354999999999997,9.2421000000000006,9.3354999999999997,27-Jun-2013
9.5886999999999993,9.4928000000000008,9.5886999999999993,28-Jun-2013
9.6769999999999996,9.5801999999999996,9.6769999999999996,01-Jul-2013
9.6216000000000008,9.5253999999999994,9.6216000000000008,02-Jul-2013
9.4819999999999993,9.3872,9.4819999999999993,03-Jul-2013
9.5989000000000004,9.5029000000000003,9.5989000000000004,04-Jul-2013
9.6399000000000008,9.5434999999999999,9.6399000000000008,05-Jul-2013
9.5568000000000008,9.4611999999999998,9.5568000000000008,08-Jul-2013
9.6128,9.5167000000000002,9.6128,09-Jul-2013
9.5457999999999998,9.4503000000000004,9.5457999999999998,10-Jul-2013
9.7309000000000001,9.6335999999999995,9.7309000000000001,11-Jul-2013
9.8698999999999995,9.7712000000000003,9.8698999999999995,12-Jul-2013
9.9094999999999995,9.8103999999999996,9.9094999999999995,15-Jul-2013
9.8194999999999997,9.7212999999999994,9.8194999999999997,16-Jul-2013
9.8679000000000006,9.7691999999999997,9.8679000000000006,17-Jul-2013
9.9597999999999995,9.8602000000000007,9.9597999999999995,18-Jul-2013
9.9702999999999999,9.8705999999999996,9.9702999999999999,19-Jul-2013
9.9741,9.8743999999999996,9.9741,22-Jul-2013
10.043799999999999,9.9434000000000005,10.043799999999999,23-Jul-2013
9.9405999999999999,9.8412000000000006,9.9405999999999999,24-Jul-2013
9.8001000000000005,9.7020999999999997,9.8001000000000005,25-Jul-2013
