Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
PGIM India Mutual Fund,,,
PGIM India Large Cap Fund,,,
PGIM India Large Cap Fund - Direct Plan - Growth,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
120.55,119.34,120.55,08-Mar-2016
121.26,120.05,121.26,09-Mar-2016
120.72,119.51,120.72,10-Mar-2016
121.13,119.92,121.13,11-Mar-2016
121.55,120.33,121.55,14-Mar-2016
120.21,119.01,120.21,15-Mar-2016
120.86,119.65,120.86,16-Mar-2016
121.1,119.89,121.1,17-Mar-2016
122.55,121.32,122.55,18-Mar-2016
124.28,123.04,124.28,21-Mar-2016
124.56,123.31,124.56,22-Mar-2016
124.43,123.19,124.43,23-Mar-2016
122.79,121.56,122.79,28-Mar-2016
122.48,121.26,122.48,29-Mar-2016
124.61,123.36,124.61,30-Mar-2016
124.79,123.54,124.79,31-Mar-2016
124.3,123.06,124.3,01-Apr-2016
124.86,123.61,124.86,04-Apr-2016
122.57,121.34,122.57,05-Apr-2016
122.75,121.52,122.75,06-Apr-2016
121.57,120.35,121.57,07-Apr-2016
121.53,120.31,121.53,08-Apr-2016
123.02,121.79,123.02,11-Apr-2016
123.65,122.41,123.65,12-Apr-2016
125.84,124.58,125.84,13-Apr-2016
127.1,125.83,127.1,18-Apr-2016
127.17,125.9,127.17,20-Apr-2016
127.2,125.93,127.2,21-Apr-2016
127.02,125.75,127.02,22-Apr-2016
126.35,125.09,126.35,25-Apr-2016
128.07,126.79,128.07,26-Apr-2016
127.97,126.69,127.97,27-Apr-2016
125.82,124.56,125.82,28-Apr-2016
125.92,124.66,125.92,29-Apr-2016
125.32,124.07,125.32,02-May-2016
124.29,123.05,124.29,03-May-2016
123.62,122.38,123.62,04-May-2016
124.11,122.87,124.11,05-May-2016
123.87,122.63,123.87,06-May-2016
125.92,124.66,125.92,09-May-2016
126.32,125.06,126.32,10-May-2016
125.95,124.69,125.95,11-May-2016
127.04,125.77,127.04,12-May-2016
125.64,124.38,125.64,13-May-2016
126.16,124.9,126.16,16-May-2016
126.85,125.58,126.85,17-May-2016
126.43,125.17,126.43,18-May-2016
125.12,123.87,125.12,19-May-2016
124.44,123.2,124.44,20-May-2016
123.85,122.61,123.85,23-May-2016
124.21,122.97,124.21,24-May-2016
127.07,125.8,127.07,25-May-2016
129.1,127.81,129.1,26-May-2016
130.74,129.43,130.74,27-May-2016
131.02,129.71,131.02,30-May-2016
130.81,129.5,130.81,31-May-2016
130.93,129.62,130.93,01-Jun-2016
131.53,130.21,131.53,02-Jun-2016
131.65,130.33,131.65,03-Jun-2016
131.48,130.17,131.48,06-Jun-2016
132.61,131.28,132.61,07-Jun-2016
132.66,131.33,132.66,08-Jun-2016
131.81,130.49,131.81,09-Jun-2016
131.1,129.79,131.1,10-Jun-2016
130.22,128.92,130.22,13-Jun-2016
130.17,128.87,130.17,14-Jun-2016
131.66,130.34,131.66,15-Jun-2016
130.81,129.5,130.81,16-Jun-2016
131.06,129.75,131.06,17-Jun-2016
132.09,130.77,132.09,20-Jun-2016
131.85,130.53,131.85,21-Jun-2016
131.56,130.24,131.56,22-Jun-2016
132.7,131.37,132.7,23-Jun-2016
129.74,128.44,129.74,24-Jun-2016
129.84,128.54,129.84,27-Jun-2016
130.37,129.07,130.37,28-Jun-2016
131.95,130.63,131.95,29-Jun-2016
133.16,131.83,133.16,30-Jun-2016
133.72,132.38,133.72,01-Jul-2016
134.54,133.19,134.54,04-Jul-2016
134.06,132.72,134.06,05-Jul-2016
134.1,132.76,134.1,07-Jul-2016
134.07,132.73,134.07,08-Jul-2016
136.29,134.93,136.29,11-Jul-2016
137.15,135.78,137.15,12-Jul-2016
137.01,135.64,137.01,13-Jul-2016
137.66,136.28,137.66,14-Jul-2016
137.49,136.12,137.49,15-Jul-2016
137.05,135.68,137.05,18-Jul-2016
137.3,135.93,137.3,19-Jul-2016
137.78,136.4,137.78,20-Jul-2016
136.93,135.56,136.93,21-Jul-2016
137.52,136.14,137.52,22-Jul-2016
139.12,137.73,139.12,25-Jul-2016
138.65,137.26,138.65,26-Jul-2016
139.08,137.69,139.08,27-Jul-2016
139.89,138.49,139.89,28-Jul-2016
139.62,138.22,139.62,29-Jul-2016
139.66,138.26,139.66,01-Aug-2016
139.37,137.98,139.37,02-Aug-2016
138.1,136.72,138.1,03-Aug-2016
138.15,136.7685,138.15,04-Aug-2016
140.25,138.85,140.25,05-Aug-2016
140.8,139.39,140.8,08-Aug-2016
140.45,139.05,140.45,09-Aug-2016
138.76,137.37,138.76,10-Aug-2016
139.15,137.76,139.15,11-Aug-2016
140.28,138.88,140.28,12-Aug-2016
139.75,138.35,139.75,16-Aug-2016
139.31,137.92,139.31,17-Aug-2016
140.19,138.79,140.19,18-Aug-2016
140.12,138.72,140.12,19-Aug-2016
139.58,138.18,139.58,22-Aug-2016
139.54,138.14,139.54,23-Aug-2016
139.83,138.43,139.83,24-Aug-2016
138.97,137.58,138.97,25-Aug-2016
138.6,137.21,138.6,26-Aug-2016
139.29,137.9,139.29,29-Aug-2016
141.45,140.04,141.45,30-Aug-2016
142.3,140.88,142.3,31-Aug-2016
142.5,141.08,142.5,01-Sep-2016
142.97,141.54,142.97,02-Sep-2016
145.17,143.72,145.17,06-Sep-2016
144.76,143.31,144.76,07-Sep-2016
145.57,144.11,145.57,08-Sep-2016
144.19,142.75,144.19,09-Sep-2016
141.87,140.45,141.87,12-Sep-2016
141.97,140.55,141.97,14-Sep-2016
142.32,140.9,142.32,15-Sep-2016
