Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
quant Mutual Fund,,,
Quant Focused Fund,,,
quant Focused Fund - Growth Option-Direct Plan,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
12.6087,12.4826,12.6087,07-Jan-2013
12.5998,12.4738,12.5998,08-Jan-2013
12.6009,12.4749,12.6009,09-Jan-2013
12.5885,12.4626,12.5885,10-Jan-2013
12.3641,12.2405,12.3641,11-Jan-2013
12.5403,12.4149,12.5403,14-Jan-2013
12.4918,12.3669,12.4918,15-Jan-2013
12.383,12.2592,12.383,16-Jan-2013
12.4512,12.3267,12.4512,17-Jan-2013
12.4512,12.3267,12.4512,18-Jan-2013
12.5706,12.4449,12.5706,21-Jan-2013
12.38,12.2562,12.38,22-Jan-2013
12.2879,12.165,12.2879,23-Jan-2013
11.9463,11.8268,11.9463,24-Jan-2013
12.1331,12.0118,12.1331,25-Jan-2013
12.1182,11.997,12.1182,28-Jan-2013
12.0575,11.9369,12.0575,29-Jan-2013
12.1158,11.9946,12.1158,30-Jan-2013
12.1405,12.0191,12.1405,31-Jan-2013
12.2111,12.089,12.2111,01-Feb-2013
12.1029,11.9819,12.1029,04-Feb-2013
12.0569,11.9363,12.0569,05-Feb-2013
12.1257,12.0044,12.1257,06-Feb-2013
12.0038,11.8838,12.0038,07-Feb-2013
11.9394,11.82,11.9394,08-Feb-2013
11.9357,11.8163,11.9357,11-Feb-2013
11.9152,11.796,11.9152,12-Feb-2013
11.8825,11.7637,11.8825,13-Feb-2013
11.6847,11.5679,11.6847,14-Feb-2013
11.7205,11.6033,11.7205,15-Feb-2013
11.7524,11.6349,11.7524,18-Feb-2013
11.8692,11.7505,11.8692,19-Feb-2013
11.8449,11.7265,11.8449,20-Feb-2013
11.6663,11.5496,11.6663,21-Feb-2013
11.6801,11.5633,11.6801,22-Feb-2013
11.567,11.4513,11.567,25-Feb-2013
11.3509,11.2374,11.3509,26-Feb-2013
11.4991,11.3841,11.4991,27-Feb-2013
11.3023,11.1893,11.3023,28-Feb-2013
11.4185,11.3043,11.4185,01-Mar-2013
11.2979,11.1849,11.2979,04-Mar-2013
11.4914,11.3765,11.4914,05-Mar-2013
11.5448,11.4294,11.5448,06-Mar-2013
11.5658,11.4501,11.5658,07-Mar-2013
11.6679,11.5512,11.6679,08-Mar-2013
11.7353,11.6179,11.7353,11-Mar-2013
11.6624,11.5458,11.6624,12-Mar-2013
11.2803,11.1675,11.2803,13-Mar-2013
11.3527,11.2392,11.3527,14-Mar-2013
11.2925,11.1796,11.2925,15-Mar-2013
11.271,11.1583,11.271,18-Mar-2013
10.9549,10.8454,10.9549,19-Mar-2013
10.9258,10.8165,10.9258,20-Mar-2013
10.677,10.5702,10.677,21-Mar-2013
10.6506,10.5441,10.6506,22-Mar-2013
10.6474,10.5409,10.6474,25-Mar-2013
10.6391,10.5327,10.6391,26-Mar-2013
10.7269,10.6196,10.7269,28-Mar-2013
10.7266,10.6193,10.7266,29-Mar-2013
10.8427,10.7343,10.8427,01-Apr-2013
10.9908,10.8809,10.9908,02-Apr-2013
10.8545,10.746,10.8545,03-Apr-2013
10.6787,10.5719,10.6787,04-Apr-2013
10.6564,10.5498,10.6564,05-Apr-2013
10.6182,10.512,10.6182,08-Apr-2013
10.5692,10.4635,10.5692,09-Apr-2013
10.6236,10.5174,10.6236,10-Apr-2013
10.6377,10.5313,10.6377,11-Apr-2013
10.6952,10.5882,10.6952,12-Apr-2013
10.7118,10.6047,10.7118,15-Apr-2013
10.8282,10.7199,10.8282,16-Apr-2013
10.848,10.7395,10.848,17-Apr-2013
10.9032,10.7942,10.9032,18-Apr-2013
10.9024,10.7934,10.9024,19-Apr-2013
11.0571,10.9465,11.0571,22-Apr-2013
11.0145,10.9044,11.0145,23-Apr-2013
11.014,10.9039,11.014,24-Apr-2013
11.0998,10.9888,11.0998,25-Apr-2013
11.0903,10.9794,11.0903,26-Apr-2013
11.1267,11.0154,11.1267,29-Apr-2013
11.27,11.1573,11.27,30-Apr-2013
11.3172,11.204,11.3172,02-May-2013
11.2694,11.1567,11.2694,03-May-2013
11.3403,11.2269,11.3403,06-May-2013
11.4114,11.2973,11.4114,07-May-2013
11.4939,11.379,11.4939,08-May-2013
11.4195,11.3053,11.4195,09-May-2013
11.4937,11.3788,11.4937,10-May-2013
11.3313,11.218,11.3313,13-May-2013
11.3276,11.2143,11.3276,14-May-2013
11.4303,11.316,11.4303,15-May-2013
11.5204,11.4052,11.5204,16-May-2013
11.5908,11.4749,11.5908,17-May-2013
11.5221,11.4069,11.5221,20-May-2013
11.4771,11.3623,11.4771,21-May-2013
11.4341,11.3198,11.4341,22-May-2013
11.2727,11.16,11.2727,23-May-2013
11.4137,11.2996,11.4137,24-May-2013
11.4421,11.3277,11.4421,27-May-2013
11.4345,11.3202,11.4345,28-May-2013
11.4225,11.3083,11.4225,29-May-2013
11.401,11.287,11.401,30-May-2013
11.2789,11.1661,11.2789,31-May-2013
11.3264,11.2131,11.3264,03-Jun-2013
11.3549,11.2414,11.3549,04-Jun-2013
11.3899,11.276,11.3899,05-Jun-2013
11.3359,11.2225,11.3359,06-Jun-2013
11.2954,11.1824,11.2954,07-Jun-2013
11.2498,11.1373,11.2498,10-Jun-2013
11.146,11.0345,11.146,11-Jun-2013
11.0539,10.9434,11.0539,12-Jun-2013
10.9432,10.8338,10.9432,13-Jun-2013
11.0493,10.9388,11.0493,14-Jun-2013
11.1366,11.0252,11.1366,17-Jun-2013
11.2253,11.113,11.2253,18-Jun-2013
11.2796,11.1668,11.2796,19-Jun-2013
11.1031,10.9921,11.1031,20-Jun-2013
10.9863,10.8764,10.9863,21-Jun-2013
10.7962,10.6882,10.7962,24-Jun-2013
10.7519,10.6444,10.7519,25-Jun-2013
10.7653,10.6576,10.7653,26-Jun-2013
10.8027,10.6947,10.8027,27-Jun-2013
10.9789,10.8691,10.9789,28-Jun-2013
11.2257,11.1134,11.2257,01-Jul-2013
11.1471,11.0356,11.1471,02-Jul-2013
11.0446,10.9342,11.0446,03-Jul-2013
11.1166,11.0054,11.1166,04-Jul-2013
11.135,11.0237,11.135,05-Jul-2013
11.0906,10.9797,11.0906,08-Jul-2013
11.1617,11.0501,11.1617,09-Jul-2013
11.1155,11.0043,11.1155,10-Jul-2013
11.2046,11.0926,11.2046,11-Jul-2013
11.2227,11.1105,11.2227,12-Jul-2013
11.2742,11.1615,11.2742,15-Jul-2013
11.1687,11.057,11.1687,16-Jul-2013
11.1624,11.0508,11.1624,17-Jul-2013
11.2712,11.1585,11.2712,18-Jul-2013
11.2647,11.1521,11.2647,19-Jul-2013
11.2555,11.1429,11.2555,22-Jul-2013
11.262,11.1494,11.262,23-Jul-2013
