Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
SBI Mutual Fund,,,
SBI BLUE CHIP FUND,,,
SBI BLUE CHIP FUND-DIRECT PLAN -GROWTH,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
16.83,16.83,16.83,02-Jan-2013
16.86,16.86,16.86,03-Jan-2013
16.88,16.88,16.88,04-Jan-2013
16.8,16.8,16.8,07-Jan-2013
16.84,16.84,16.84,08-Jan-2013
16.8,16.8,16.8,09-Jan-2013
16.78,16.78,16.78,10-Jan-2013
16.72,16.72,16.72,11-Jan-2013
16.92,16.92,16.92,14-Jan-2013
17.03,17.03,17.03,15-Jan-2013
16.89,16.89,16.89,16-Jan-2013
17.01,17.01,17.01,17-Jan-2013
17.02,17.02,17.02,18-Jan-2013
17.06,17.06,17.06,21-Jan-2013
16.96,16.96,16.96,22-Jan-2013
17,17,17,23-Jan-2013
16.85,16.85,16.85,24-Jan-2013
16.98,16.98,16.98,25-Jan-2013
17.04,17.04,17.04,28-Jan-2013
16.93,16.93,16.93,29-Jan-2013
16.93,16.93,16.93,30-Jan-2013
16.89,16.89,16.89,31-Jan-2013
16.88,16.88,16.88,01-Feb-2013
16.83,16.83,16.83,04-Feb-2013
16.72,16.72,16.72,05-Feb-2013
16.74,16.74,16.74,06-Feb-2013
16.68,16.68,16.68,07-Feb-2013
16.63,16.63,16.63,08-Feb-2013
16.59,16.59,16.59,11-Feb-2013
16.6798,16.6798,16.6798,12-Feb-2013
16.7595,16.7595,16.7595,13-Feb-2013
16.6197,16.6197,16.6197,14-Feb-2013
16.6134,16.6134,16.6134,15-Feb-2013
16.6177,16.6177,16.6177,18-Feb-2013
16.7325,16.7325,16.7325,19-Feb-2013
16.7554,16.7554,16.7554,20-Feb-2013
16.5001,16.5001,16.5001,21-Feb-2013
16.5206,16.5206,16.5206,22-Feb-2013
16.4798,16.4798,16.4798,25-Feb-2013
16.2629,16.2629,16.2629,26-Feb-2013
16.408,16.408,16.408,27-Feb-2013
16.1897,16.1897,16.1897,28-Feb-2013
16.2361,16.2361,16.2361,01-Mar-2013
16.1731,16.1731,16.1731,04-Mar-2013
16.4118,16.4118,16.4118,05-Mar-2013
16.5125,16.5125,16.5125,06-Mar-2013
16.6616,16.6616,16.6616,07-Mar-2013
16.8485,16.8485,16.8485,08-Mar-2013
16.8658,16.8658,16.8658,11-Mar-2013
16.8233,16.8233,16.8233,12-Mar-2013
16.6575,16.6575,16.6575,13-Mar-2013
16.8129,16.8129,16.8129,14-Mar-2013
16.687,16.687,16.687,15-Mar-2013
16.5846,16.5846,16.5846,18-Mar-2013
16.3344,16.3344,16.3344,19-Mar-2013
16.1719,16.1719,16.1719,20-Mar-2013
16.1323,16.1323,16.1323,21-Mar-2013
16.0831,16.0831,16.0831,22-Mar-2013
16.0455,16.0455,16.0455,25-Mar-2013
16.064,16.064,16.064,26-Mar-2013
16.1772,16.1772,16.1772,28-Mar-2013
16.1755,N.A.,N.A.,31-Mar-2013
16.2103,16.2103,16.2103,01-Apr-2013
16.321,16.321,16.321,02-Apr-2013
16.1371,16.1371,16.1371,03-Apr-2013
15.8821,15.8821,15.8821,04-Apr-2013
15.8657,15.8657,15.8657,05-Apr-2013
15.8538,15.8538,15.8538,08-Apr-2013
15.7289,15.7289,15.7289,09-Apr-2013
15.8859,15.8859,15.8859,10-Apr-2013
15.9803,15.9803,15.9803,11-Apr-2013
15.7761,15.7761,15.7761,12-Apr-2013
15.8321,15.8321,15.8321,15-Apr-2013
16.1075,16.1075,16.1075,16-Apr-2013
16.1403,16.1403,16.1403,17-Apr-2013
16.3483,16.3483,16.3483,18-Apr-2013
16.5524,16.5524,16.5524,22-Apr-2013
16.5453,16.5453,16.5453,23-Apr-2013
16.7046,16.7046,16.7046,25-Apr-2013
16.6551,16.6551,16.6551,26-Apr-2013
16.7312,16.7312,16.7312,29-Apr-2013
16.7627,16.7627,16.7627,30-Apr-2013
16.9062,16.9062,16.9062,02-May-2013
16.7842,16.7842,16.7842,03-May-2013
16.9087,16.9087,16.9087,06-May-2013
17.0592,17.0592,17.0592,07-May-2013
17.1553,17.1553,17.1553,08-May-2013
17.1215,17.1215,17.1215,09-May-2013
17.2357,17.2357,17.2357,10-May-2013
16.9326,16.9326,16.9326,13-May-2013
17.0222,17.0222,17.0222,14-May-2013
17.4025,17.4025,17.4025,15-May-2013
17.4703,17.4703,17.4703,16-May-2013
17.3664,17.3664,17.3664,17-May-2013
17.3153,17.3153,17.3153,20-May-2013
17.204,17.204,17.204,21-May-2013
17.1413,17.1413,17.1413,22-May-2013
16.8248,16.8248,16.8248,23-May-2013
16.8372,16.8372,16.8372,24-May-2013
17.0716,17.0716,17.0716,27-May-2013
17.143,17.143,17.143,28-May-2013
17.083,17.083,17.083,29-May-2013
17.1285,17.1285,17.1285,30-May-2013
16.8308,16.8308,16.8308,31-May-2013
16.6941,16.6941,16.6941,03-Jun-2013
16.6661,16.6661,16.6661,04-Jun-2013
16.696,16.696,16.696,05-Jun-2013
16.7075,16.7075,16.7075,06-Jun-2013
16.6504,16.6504,16.6504,07-Jun-2013
16.5959,16.5959,16.5959,10-Jun-2013
16.2896,16.2896,16.2896,11-Jun-2013
16.219,16.219,16.219,12-Jun-2013
16.0286,16.0286,16.0286,13-Jun-2013
16.3147,16.3147,16.3147,14-Jun-2013
16.4447,16.4447,16.4447,17-Jun-2013
16.3619,16.3619,16.3619,18-Jun-2013
16.4117,16.4117,16.4117,19-Jun-2013
15.9945,15.9945,15.9945,20-Jun-2013
15.9422,15.9422,15.9422,21-Jun-2013
15.6839,15.6839,15.6839,24-Jun-2013
15.71,15.71,15.71,25-Jun-2013
15.714,15.714,15.714,26-Jun-2013
15.9428,15.9428,15.9428,27-Jun-2013
16.2722,16.2722,16.2722,28-Jun-2013
16.4126,16.4126,16.4126,01-Jul-2013
16.3522,16.3522,16.3522,02-Jul-2013
16.1395,16.1395,16.1395,03-Jul-2013
16.3692,16.3692,16.3692,04-Jul-2013
16.3812,16.3812,16.3812,05-Jul-2013
16.3156,16.3156,16.3156,08-Jul-2013
16.3999,16.3999,16.3999,09-Jul-2013
16.35,16.35,16.35,10-Jul-2013
16.6036,16.6036,16.6036,11-Jul-2013
16.7125,16.7125,16.7125,12-Jul-2013
16.8901,16.8901,16.8901,15-Jul-2013
16.6292,16.6292,16.6292,16-Jul-2013
16.5877,16.5877,16.5877,17-Jul-2013
16.7354,16.7354,16.7354,18-Jul-2013
16.7287,16.7287,16.7287,19-Jul-2013
16.6986,16.6986,16.6986,22-Jul-2013
16.7637,16.7637,16.7637,23-Jul-2013
16.4702,16.4702,16.4702,24-Jul-2013
16.2892,16.2892,16.2892,25-Jul-2013
16.2336,16.2336,16.2336,26-Jul-2013
16.1097,16.1097,16.1097,29-Jul-2013
15.8668,15.8668,15.8668,30-Jul-2013
15.8663,15.8663,15.8663,31-Jul-2013
15.8331,15.8331,15.8331,01-Aug-2013
15.7288,15.7288,15.7288,02-Aug-2013
15.7476,15.7476,15.7476,05-Aug-2013
15.3392,15.3392,15.3392,06-Aug-2013
15.2791,15.2791,15.2791,07-Aug-2013
15.3945,15.3945,15.3945,08-Aug-2013
15.6539,15.6539,15.6539,12-Aug-2013
15.8852,15.8852,15.8852,13-Aug-2013
15.9522,15.9522,15.9522,14-Aug-2013
15.3453,15.3453,15.3453,16-Aug-2013
15.0828,15.0828,15.0828,19-Aug-2013
14.9703,14.9703,14.9703,20-Aug-2013
14.7315,14.7315,14.7315,21-Aug-2013
14.882,14.882,14.882,22-Aug-2013
15.0819,15.0819,15.0819,23-Aug-2013
15.1361,15.1361,15.1361,26-Aug-2013
14.6119,14.6119,14.6119,27-Aug-2013
14.5277,14.5277,14.5277,28-Aug-2013
14.8833,14.8833,14.8833,29-Aug-2013
15.0806,15.0806,15.0806,30-Aug-2013
15.3116,15.3116,15.3116,02-Sep-2013
14.7988,14.7988,14.7988,03-Sep-2013
