Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
UTI Mutual Fund,,,
UTI - Nifty Index Fund,,,
UTI - NIFTY Index Fund-Growth Option- Direct,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
37.404,37.404,0,02-Jan-2013
37.5088,37.5088,0,03-Jan-2013
37.549,37.549,0,04-Jan-2013
37.373,37.373,0,07-Jan-2013
37.4545,37.4545,0,08-Jan-2013
37.2649,37.2649,0,09-Jan-2013
37.2461,37.2461,0,10-Jan-2013
37.1366,37.1366,0,11-Jan-2013
37.5847,37.5847,0,14-Jan-2013
37.7859,37.7859,0,15-Jan-2013
37.4452,37.4452,0,16-Jan-2013
37.6758,37.6758,37.6758,17-Jan-2013
37.8309,37.8309,37.8309,18-Jan-2013
37.9395,37.9395,37.9395,21-Jan-2013
37.7278,37.7278,37.7278,22-Jan-2013
37.7675,37.7675,37.7675,23-Jan-2013
37.549,37.549,37.549,24-Jan-2013
37.8905,37.8905,37.8905,25-Jan-2013
37.8876,37.8876,37.8876,28-Jan-2013
37.7307,37.7307,37.7307,29-Jan-2013
37.7657,37.7657,37.7657,30-Jan-2013
37.6333,37.6333,37.6333,31-Jan-2013
37.3863,37.3863,37.3863,01-Feb-2013
37.3141,37.3141,37.3141,04-Feb-2013
37.119,37.119,37.119,05-Feb-2013
37.1317,37.1317,37.1317,06-Feb-2013
37.0037,37.0037,37.0037,07-Feb-2013
36.7844,36.7844,36.7844,08-Feb-2013
36.7445,36.7445,36.7445,11-Feb-2013
36.8967,36.8967,36.8967,12-Feb-2013
36.96,36.96,36.96,13-Feb-2013
36.736,36.736,36.736,14-Feb-2013
36.6802,36.6802,36.6802,15-Feb-2013
36.7513,36.7513,36.7513,18-Feb-2013
37.0078,37.0078,37.0078,19-Feb-2013
37.0262,37.0262,37.0262,20-Feb-2013
36.4619,36.4619,36.4619,21-Feb-2013
36.4484,36.4484,36.4484,22-Feb-2013
36.4723,36.4723,36.4723,25-Feb-2013
35.8924,35.8924,35.8924,26-Feb-2013
36.1112,36.1112,36.1112,27-Feb-2013
35.467,35.467,35.467,28-Feb-2013
35.6398,35.6398,35.6398,01-Mar-2013
35.505,35.505,35.505,04-Mar-2013
36.0335,36.0335,36.0335,05-Mar-2013
36.2445,36.2445,36.2445,06-Mar-2013
36.5202,36.5202,36.5202,07-Mar-2013
37.0283,37.0283,37.0283,08-Mar-2013
37.0012,37.0012,37.0012,11-Mar-2013
36.8255,36.8255,36.8255,12-Mar-2013
36.4331,36.4331,36.4331,13-Mar-2013
36.7902,36.7902,36.7902,14-Mar-2013
36.5633,36.5633,36.5633,15-Mar-2013
36.3387,36.3387,36.3387,18-Mar-2013
35.7827,35.7827,35.7827,19-Mar-2013
35.4622,35.4622,35.4622,20-Mar-2013
35.244,35.244,35.244,21-Mar-2013
35.2104,35.2104,35.2104,22-Mar-2013
35.0984,35.0984,35.0984,25-Mar-2013
35.1449,35.1449,35.1449,26-Mar-2013
35.3949,35.3949,35.3949,28-Mar-2013
35.5254,35.5254,35.5254,01-Apr-2013
35.7928,35.7928,35.7928,02-Apr-2013
35.3288,35.3288,35.3288,03-Apr-2013
34.7216,34.7216,34.7216,04-Apr-2013
34.5873,34.5873,34.5873,05-Apr-2013
34.5189,34.5189,34.5189,08-Apr-2013
34.2224,34.2224,34.2224,09-Apr-2013
34.6143,34.6143,34.6143,10-Apr-2013
