Historical NAV for a period From 01-Jan-2018 to 08-Jan-2022,,,
UTI Mutual Fund,,,
UTI - Nifty Next 50 Index Fund,,,
UTI Nifty Next 50 Index Fund - Direct Plan - Growth Option,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
10.029,10.029,0,29-Jun-2018
9.9482,9.9482,0,02-Jul-2018
9.9931,,,03-Jul-2018
9.9796,,,04-Jul-2018
9.9395,,,05-Jul-2018
9.9965,,,06-Jul-2018
10.0761,,,09-Jul-2018
10.1787,,,10-Jul-2018
10.0976,,,11-Jul-2018
10.08,,,12-Jul-2018
10.0331,,,13-Jul-2018
9.8054,,,16-Jul-2018
9.9156,,,17-Jul-2018
9.8062,,,18-Jul-2018
9.7556,,,19-Jul-2018
9.8106,,,20-Jul-2018
9.9766,,,23-Jul-2018
10.2297,,,24-Jul-2018
10.2194,,,25-Jul-2018
10.3142,,,26-Jul-2018
10.3986,,,27-Jul-2018
10.5067,,,30-Jul-2018
10.553,,,31-Jul-2018
10.586,,,01-Aug-2018
10.56,,,02-Aug-2018
10.6313,,,03-Aug-2018
10.6519,,,06-Aug-2018
10.6468,,,07-Aug-2018
10.666,,,08-Aug-2018
10.7087,,,09-Aug-2018
10.6306,,,10-Aug-2018
10.5168,,,13-Aug-2018
10.5741,,,14-Aug-2018
10.4988,,,16-Aug-2018
10.6551,,,17-Aug-2018
10.7792,,,20-Aug-2018
10.8267,,,21-Aug-2018
10.8882,,,23-Aug-2018
10.8723,,,24-Aug-2018
10.9637,,,27-Aug-2018
10.9498,,,28-Aug-2018
11.0252,,,29-Aug-2018
11.0659,,,30-Aug-2018
11.1203,,,31-Aug-2018
11.0391,,,03-Sep-2018
10.7063,,,04-Sep-2018
10.6429,,,05-Sep-2018
10.7221,,,06-Sep-2018
10.8409,,,07-Sep-2018
10.6529,,,10-Sep-2018
10.4621,,,11-Sep-2018
10.5121,,,12-Sep-2018
10.6975,,,14-Sep-2018
10.61,,,17-Sep-2018
10.4597,,,18-Sep-2018
10.415,,,19-Sep-2018
10.2078,,,21-Sep-2018
9.9004,,,24-Sep-2018
9.9914,,,25-Sep-2018
10.021,,,26-Sep-2018
9.8456,,,27-Sep-2018
9.7211,,,28-Sep-2018
9.7284,,,01-Oct-2018
9.6047,,,03-Oct-2018
9.4562,,,04-Oct-2018
9.2313,,,05-Oct-2018
9.1363,,,08-Oct-2018
9.0891,,,09-Oct-2018
9.3783,,,10-Oct-2018
9.2043,,,11-Oct-2018
9.3965,,,12-Oct-2018
9.4353,,,15-Oct-2018
9.5665,,,16-Oct-2018
9.3594,,,17-Oct-2018
9.2803,,,19-Oct-2018
9.2381,,,22-Oct-2018
9.1213,,,23-Oct-2018
9.1542,,,24-Oct-2018
9.026,,,25-Oct-2018
