Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Axis Mutual Fund,,,
Axis Midcap Fund,,,
Axis Midcap Fund - Direct Plan - Growth,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
13.77,13.36,13.77,02-Jan-2013
13.79,13.38,13.79,03-Jan-2013
13.91,13.49,13.91,04-Jan-2013
13.92,13.5,13.92,07-Jan-2013
13.9,13.48,13.9,08-Jan-2013
13.87,13.45,13.87,09-Jan-2013
13.82,13.41,13.82,10-Jan-2013
13.67,13.26,13.67,11-Jan-2013
13.83,13.42,13.83,14-Jan-2013
13.92,13.5,13.92,15-Jan-2013
13.75,13.34,13.75,16-Jan-2013
13.81,13.4,13.81,17-Jan-2013
13.8,13.39,13.8,18-Jan-2013
13.8,13.39,13.8,21-Jan-2013
13.72,13.31,13.72,22-Jan-2013
13.62,13.21,13.62,23-Jan-2013
13.38,12.98,13.38,24-Jan-2013
13.55,13.14,13.55,25-Jan-2013
13.48,13.08,13.48,28-Jan-2013
13.49,13.09,13.49,29-Jan-2013
13.49,13.09,13.49,30-Jan-2013
13.51,13.1,13.51,31-Jan-2013
13.47,13.07,13.47,01-Feb-2013
13.35,12.95,13.35,04-Feb-2013
13.29,12.89,13.29,05-Feb-2013
13.25,12.85,13.25,06-Feb-2013
13.17,12.77,13.17,07-Feb-2013
13.14,12.75,13.14,08-Feb-2013
13.13,12.74,13.13,11-Feb-2013
13.15,12.76,13.15,12-Feb-2013
13.12,12.73,13.12,13-Feb-2013
13.02,12.63,13.02,14-Feb-2013
13.02,12.63,13.02,15-Feb-2013
13.03,12.64,13.03,18-Feb-2013
13.13,12.74,13.13,19-Feb-2013
13.14,12.75,13.14,20-Feb-2013
12.96,12.57,12.96,21-Feb-2013
12.94,12.55,12.94,22-Feb-2013
12.88,12.49,12.88,25-Feb-2013
12.68,12.3,12.68,26-Feb-2013
12.75,12.37,12.75,27-Feb-2013
12.52,12.14,12.52,28-Feb-2013
12.52,12.14,12.52,01-Mar-2013
12.38,12.01,12.38,04-Mar-2013
12.58,12.2,12.58,05-Mar-2013
12.69,12.31,12.69,06-Mar-2013
12.72,12.34,12.72,07-Mar-2013
12.84,12.45,12.84,08-Mar-2013
12.87,12.48,12.87,11-Mar-2013
12.77,12.39,12.77,12-Mar-2013
12.61,12.23,12.61,13-Mar-2013
12.66,12.28,12.66,14-Mar-2013
12.61,12.23,12.61,15-Mar-2013
12.59,12.21,12.59,18-Mar-2013
12.41,12.04,12.41,19-Mar-2013
12.21,11.84,12.21,20-Mar-2013
12.15,11.79,12.15,21-Mar-2013
12.12,11.76,12.12,22-Mar-2013
12.07,11.71,12.07,25-Mar-2013
12.08,11.72,12.08,26-Mar-2013
12.23,11.86,12.23,28-Mar-2013
12.33,11.96,12.33,01-Apr-2013
12.5,12.13,12.5,02-Apr-2013
12.41,12.04,12.41,03-Apr-2013
12.21,11.84,12.21,04-Apr-2013
12.28,11.91,12.28,05-Apr-2013
0,0,0,07-Apr-2013
12.24,11.87,12.24,08-Apr-2013
12.15,11.79,12.15,09-Apr-2013
12.13,11.77,12.13,10-Apr-2013
12.13,11.77,12.13,11-Apr-2013
12.14,11.78,12.14,12-Apr-2013
12.23,11.86,12.23,15-Apr-2013
12.33,11.96,12.33,16-Apr-2013
12.37,12,12.37,17-Apr-2013
12.5,12.13,12.5,18-Apr-2013
12.65,12.27,12.65,22-Apr-2013
12.6,12.22,12.6,23-Apr-2013
12.63,12.25,12.63,25-Apr-2013
12.57,12.19,12.57,26-Apr-2013
12.66,12.28,12.66,29-Apr-2013
12.68,12.3,12.68,30-Apr-2013
12.78,12.4,12.78,02-May-2013
12.71,12.33,12.71,03-May-2013
12.76,12.38,12.76,06-May-2013
12.81,12.43,12.81,07-May-2013
12.85,12.46,12.85,08-May-2013
12.83,12.45,12.83,09-May-2013
12.88,12.49,12.88,10-May-2013
12.73,12.35,12.73,13-May-2013
12.81,12.43,12.81,14-May-2013
12.94,12.55,12.94,15-May-2013
12.99,12.6,12.99,16-May-2013
13.02,12.63,13.02,17-May-2013
12.97,12.58,12.97,20-May-2013
12.94,12.55,12.94,21-May-2013
12.87,12.48,12.87,22-May-2013
12.67,12.29,12.67,23-May-2013
12.74,12.36,12.74,24-May-2013
12.82,12.44,12.82,27-May-2013
12.9,12.51,12.9,28-May-2013
12.84,12.45,12.84,29-May-2013
12.86,12.47,12.86,30-May-2013
12.74,12.36,12.74,31-May-2013
12.79,12.41,12.79,03-Jun-2013
12.78,12.4,12.78,04-Jun-2013
12.77,12.39,12.77,05-Jun-2013
12.85,12.46,12.85,06-Jun-2013
12.79,12.41,12.79,07-Jun-2013
12.71,12.33,12.71,10-Jun-2013
12.5,12.13,12.5,11-Jun-2013
12.47,12.1,12.47,12-Jun-2013
12.31,11.94,12.31,13-Jun-2013
12.45,12.08,12.45,14-Jun-2013
12.49,12.12,12.49,17-Jun-2013
12.51,12.13,12.51,18-Jun-2013
12.58,12.2,12.58,19-Jun-2013
12.38,12.01,12.38,20-Jun-2013
12.26,11.89,12.26,21-Jun-2013
11.96,11.6,11.96,24-Jun-2013
11.92,11.56,11.92,25-Jun-2013
11.94,11.58,11.94,26-Jun-2013
11.95,11.59,11.95,27-Jun-2013
12.15,11.79,12.15,28-Jun-2013
12.33,11.96,12.33,01-Jul-2013
12.29,11.92,12.29,02-Jul-2013
12.11,11.75,12.11,03-Jul-2013
12.2,11.83,12.2,04-Jul-2013
12.23,11.86,12.23,05-Jul-2013
12.18,11.81,12.18,08-Jul-2013
12.27,11.9,12.27,09-Jul-2013
12.3,11.93,12.3,10-Jul-2013
12.36,11.99,12.36,11-Jul-2013
12.43,12.06,12.43,12-Jul-2013
12.52,12.14,12.52,15-Jul-2013
12.31,11.94,12.31,16-Jul-2013
12.28,11.91,12.28,17-Jul-2013
12.41,12.04,12.41,18-Jul-2013
12.34,11.97,12.34,19-Jul-2013
12.35,11.98,12.35,22-Jul-2013
12.36,11.99,12.36,23-Jul-2013
12.19,11.82,12.19,24-Jul-2013
12.1,11.74,12.1,25-Jul-2013
11.99,11.63,11.99,26-Jul-2013
11.84,11.48,11.84,29-Jul-2013
11.64,11.29,11.64,30-Jul-2013
11.54,11.19,11.54,31-Jul-2013
11.48,11.14,11.48,01-Aug-2013
11.41,11.07,11.41,02-Aug-2013
11.46,11.12,11.46,05-Aug-2013
11.17,10.83,11.17,06-Aug-2013
11.24,10.9,11.24,07-Aug-2013
11.31,10.97,11.31,08-Aug-2013
11.45,11.11,11.45,12-Aug-2013
11.58,11.23,11.58,13-Aug-2013
11.66,11.31,11.66,14-Aug-2013
11.38,11.04,11.38,16-Aug-2013
11.2,10.86,11.2,19-Aug-2013
11.16,10.83,11.16,20-Aug-2013
11.01,10.68,11.01,21-Aug-2013
11.1,10.77,11.1,22-Aug-2013
11.2,10.86,11.2,23-Aug-2013
11.3,10.96,11.3,26-Aug-2013
11.02,10.69,11.02,27-Aug-2013
10.87,10.54,10.87,28-Aug-2013
10.97,10.64,10.97,29-Aug-2013
10.98,10.65,10.98,30-Aug-2013
11.04,10.71,11.04,02-Sep-2013
10.86,10.53,10.86,03-Sep-2013
10.99,10.66,10.99,04-Sep-2013
11.21,10.87,11.21,05-Sep-2013
11.27,10.93,11.27,06-Sep-2013
11.47,11.13,11.47,10-Sep-2013
11.58,11.23,11.58,11-Sep-2013
11.64,11.29,11.64,12-Sep-2013
11.66,11.31,11.66,13-Sep-2013
11.65,11.3,11.65,16-Sep-2013
11.59,11.24,11.59,17-Sep-2013
11.63,11.28,11.63,18-Sep-2013
11.86,11.5,11.86,19-Sep-2013
11.77,11.42,11.77,20-Sep-2013
11.62,11.27,11.62,23-Sep-2013
11.69,11.34,11.69,24-Sep-2013
11.71,11.36,11.71,25-Sep-2013
11.69,11.34,11.69,26-Sep-2013
11.7,11.35,11.7,27-Sep-2013
11.71,11.36,11.71,30-Sep-2013
11.76,11.41,11.76,01-Oct-2013
11.92,11.56,11.92,03-Oct-2013
11.97,11.61,11.97,04-Oct-2013
12.06,11.7,12.06,07-Oct-2013
12.08,11.72,12.08,08-Oct-2013
12.21,11.84,12.21,09-Oct-2013
12.3,11.93,12.3,10-Oct-2013
12.37,12,12.37,11-Oct-2013
12.39,12.02,12.39,14-Oct-2013
12.27,11.9,12.27,15-Oct-2013
12.2,11.83,12.2,17-Oct-2013
12.31,11.94,12.31,18-Oct-2013
12.43,12.06,12.43,21-Oct-2013
12.51,12.13,12.51,22-Oct-2013
12.48,12.11,12.48,23-Oct-2013
12.49,12.12,12.49,24-Oct-2013
12.43,12.06,12.43,25-Oct-2013
12.34,11.97,12.34,28-Oct-2013
12.5,12.13,12.5,29-Oct-2013
12.55,12.17,12.55,30-Oct-2013
12.78,12.4,12.78,31-Oct-2013
12.88,12.49,12.88,01-Nov-2013
13.09,12.7,13.09,05-Nov-2013
13.09,12.7,13.09,06-Nov-2013
12.95,12.56,12.95,07-Nov-2013
12.94,12.55,12.94,08-Nov-2013
12.84,12.45,12.84,11-Nov-2013
12.81,12.43,12.81,12-Nov-2013
12.76,12.38,12.76,13-Nov-2013
12.9,12.51,12.9,14-Nov-2013
13.03,12.64,13.03,18-Nov-2013
13.03,12.64,13.03,19-Nov-2013
13.08,12.69,13.08,20-Nov-2013
12.99,12.6,12.99,21-Nov-2013
13,12.61,13,22-Nov-2013
13.18,12.78,13.18,25-Nov-2013
13.2,12.8,13.2,26-Nov-2013
13.25,12.85,13.25,27-Nov-2013
13.3,12.9,13.3,28-Nov-2013
13.45,13.05,13.45,29-Nov-2013
13.53,13.12,13.53,02-Dec-2013
13.55,13.14,13.55,03-Dec-2013
13.51,13.1,13.51,04-Dec-2013
13.55,13.14,13.55,05-Dec-2013
13.62,13.21,13.62,06-Dec-2013
13.7,13.29,13.7,09-Dec-2013
13.6,13.19,13.6,10-Dec-2013
13.61,13.2,13.61,11-Dec-2013
13.56,13.15,13.56,12-Dec-2013
13.36,12.96,13.36,13-Dec-2013
13.36,12.96,13.36,16-Dec-2013
13.34,12.94,13.34,17-Dec-2013
13.49,13.09,13.49,18-Dec-2013
13.53,13.12,13.53,19-Dec-2013
13.78,13.37,13.78,20-Dec-2013
13.9,13.48,13.9,23-Dec-2013
14.04,13.62,14.04,24-Dec-2013
14.05,13.63,14.05,26-Dec-2013
14.05,13.63,14.05,27-Dec-2013
14.03,13.61,14.03,30-Dec-2013
14.18,13.75,14.18,31-Dec-2013
14.25,13.82,14.25,01-Jan-2014
13.99,13.57,13.99,02-Jan-2014
14.01,13.59,14.01,03-Jan-2014
14.06,13.64,14.06,06-Jan-2014
14,13.58,14,07-Jan-2014
14.08,13.66,14.08,08-Jan-2014
14,13.58,14,09-Jan-2014
13.91,13.49,13.91,10-Jan-2014
13.96,13.54,13.96,13-Jan-2014
13.82,13.41,13.82,14-Jan-2014
13.89,13.47,13.89,15-Jan-2014
13.79,13.38,13.79,16-Jan-2014
13.63,13.22,13.63,17-Jan-2014
13.75,13.34,13.75,20-Jan-2014
13.75,13.34,13.75,21-Jan-2014
13.83,13.42,13.83,22-Jan-2014
13.82,13.41,13.82,23-Jan-2014
13.62,13.21,13.62,24-Jan-2014
13.26,12.86,13.26,27-Jan-2014
13.25,12.85,13.25,28-Jan-2014
13.24,12.84,13.24,29-Jan-2014
13.08,12.69,13.08,30-Jan-2014
13.25,12.85,13.25,31-Jan-2014
13.21,12.81,13.21,03-Feb-2014
13.22,12.82,13.22,04-Feb-2014
13.26,12.86,13.26,05-Feb-2014
13.21,12.81,13.21,06-Feb-2014
13.25,12.85,13.25,07-Feb-2014
13.26,12.86,13.26,10-Feb-2014
13.33,12.93,13.33,11-Feb-2014
13.37,12.97,13.37,12-Feb-2014
13.28,12.88,13.28,13-Feb-2014
13.26,12.86,13.26,14-Feb-2014
13.24,12.84,13.24,17-Feb-2014
13.36,12.96,13.36,18-Feb-2014
13.41,13.01,13.41,19-Feb-2014
13.34,12.94,13.34,20-Feb-2014
13.46,13.06,13.46,21-Feb-2014
13.65,13.24,13.65,24-Feb-2014
13.68,13.27,13.68,25-Feb-2014
13.73,13.32,13.73,26-Feb-2014
13.82,13.41,13.82,28-Feb-2014
13.84,13.42,13.84,03-Mar-2014
14.01,13.59,14.01,04-Mar-2014
14.13,13.99,14.13,05-Mar-2014
14.31,14.17,14.31,06-Mar-2014
14.36,14.22,14.36,07-Mar-2014
14.4,14.26,14.4,10-Mar-2014
14.41,14.27,14.41,11-Mar-2014
14.41,14.27,14.41,12-Mar-2014
14.38,14.24,14.38,13-Mar-2014
14.31,14.17,14.31,14-Mar-2014
14.49,14.35,14.49,18-Mar-2014
14.58,14.43,14.58,19-Mar-2014
14.52,14.37,14.52,20-Mar-2014
14.63,14.48,14.63,21-Mar-2014
14.77,14.62,14.77,24-Mar-2014
14.85,14.7,14.85,25-Mar-2014
14.95,14.5,14.95,26-Mar-2014
15.03,14.58,15.03,27-Mar-2014
15.25,14.79,15.25,28-Mar-2014
15.42,14.96,15.42,31-Mar-2014
15.27,14.81,15.27,01-Apr-2014
15.47,15.01,15.47,02-Apr-2014
15.45,14.99,15.45,03-Apr-2014
15.45,14.99,15.45,04-Apr-2014
15.42,14.96,15.42,07-Apr-2014
15.69,15.22,15.69,09-Apr-2014
15.85,15.37,15.85,10-Apr-2014
15.81,15.34,15.81,11-Apr-2014
15.68,15.21,15.68,15-Apr-2014
15.6,15.13,15.6,16-Apr-2014
15.87,15.39,15.87,17-Apr-2014
15.96,15.48,15.96,21-Apr-2014
15.93,15.45,15.93,22-Apr-2014
15.97,15.49,15.97,23-Apr-2014
15.9,15.42,15.9,25-Apr-2014
16.02,15.54,16.02,28-Apr-2014
15.92,15.44,15.92,29-Apr-2014
15.83,15.36,15.83,30-Apr-2014
15.9,15.42,15.9,02-May-2014
15.88,15.72,15.88,05-May-2014
15.96,15.8,15.96,06-May-2014
15.99,15.83,15.99,07-May-2014
15.94,15.78,15.94,08-May-2014
16.2,16.04,16.2,09-May-2014
16.44,16.28,16.44,12-May-2014
16.62,16.45,16.62,13-May-2014
16.74,16.57,16.74,14-May-2014
16.62,16.45,16.62,15-May-2014
17.01,16.84,17.01,16-May-2014
17.86,17.68,17.86,19-May-2014
18.05,17.87,18.05,20-May-2014
18.3,18.12,18.3,21-May-2014
18.64,18.45,18.64,22-May-2014
18.86,18.67,18.86,23-May-2014
18.55,18.36,18.55,26-May-2014
18.46,18.28,18.46,27-May-2014
18.46,18.28,18.46,28-May-2014
18.5,18.32,18.5,29-May-2014
18.58,18.39,18.58,30-May-2014
18.94,18.75,18.94,02-Jun-2014
19.01,18.82,19.01,03-Jun-2014
19.33,19.14,19.33,04-Jun-2014
19.48,19.29,19.48,05-Jun-2014
19.87,19.67,19.87,06-Jun-2014
20.11,19.91,20.11,09-Jun-2014
20,19.8,20,10-Jun-2014
19.94,19.74,19.94,11-Jun-2014
20.03,19.83,20.03,12-Jun-2014
19.72,19.52,19.72,13-Jun-2014
19.77,19.57,19.77,16-Jun-2014
20.16,19.96,20.16,17-Jun-2014
20.11,19.91,20.11,18-Jun-2014
19.99,19.79,19.99,19-Jun-2014
19.87,19.67,19.87,20-Jun-2014
19.93,19.73,19.93,23-Jun-2014
20.26,20.06,20.26,24-Jun-2014
20.3,20.1,20.3,25-Jun-2014
20.34,20.14,20.34,26-Jun-2014
20.44,20.24,20.44,27-Jun-2014
20.81,20.6,20.81,30-Jun-2014
20.86,20.65,20.86,01-Jul-2014
21.03,20.82,21.03,02-Jul-2014
21.06,20.85,21.06,03-Jul-2014
21.22,21.01,21.22,04-Jul-2014
21.25,21.04,21.25,07-Jul-2014
20.52,20.31,20.52,08-Jul-2014
20.35,20.15,20.35,09-Jul-2014
20.48,20.28,20.48,10-Jul-2014
20.06,19.86,20.06,11-Jul-2014
19.98,19.78,19.98,14-Jul-2014
20.29,20.09,20.29,15-Jul-2014
20.56,20.35,20.56,16-Jul-2014
20.75,20.54,20.75,17-Jul-2014
20.6,20.39,20.6,18-Jul-2014
20.58,20.37,20.58,21-Jul-2014
20.52,20.31,20.52,22-Jul-2014
20.53,20.32,20.53,23-Jul-2014
20.5,20.3,20.5,24-Jul-2014
20.32,20.12,20.32,25-Jul-2014
20.27,20.07,20.27,28-Jul-2014
20.41,20.21,20.41,30-Jul-2014
20.43,20.23,20.43,31-Jul-2014
20.31,20.11,20.31,01-Aug-2014
20.46,20.26,20.46,04-Aug-2014
20.57,20.36,20.57,05-Aug-2014
20.51,20.3,20.51,06-Aug-2014
20.44,20.24,20.44,07-Aug-2014
20.03,19.83,20.03,08-Aug-2014
20.17,19.97,20.17,11-Aug-2014
20.28,20.08,20.28,12-Aug-2014
20.11,19.91,20.11,13-Aug-2014
20.31,20.11,20.31,14-Aug-2014
20.7,20.49,20.7,18-Aug-2014
20.96,20.75,20.96,19-Aug-2014
21.06,20.85,21.06,20-Aug-2014
21.28,21.07,21.28,21-Aug-2014
21.33,21.12,21.33,22-Aug-2014
21.16,20.95,21.16,25-Aug-2014
21.19,20.98,21.19,26-Aug-2014
21.33,21.12,21.33,27-Aug-2014
21.33,21.12,21.33,28-Aug-2014
21.61,21.39,21.61,01-Sep-2014
21.72,21.5,21.72,02-Sep-2014
22.01,21.79,22.01,03-Sep-2014
21.95,21.73,21.95,04-Sep-2014
22.11,21.89,22.11,05-Sep-2014
22.39,22.17,22.39,08-Sep-2014
22.43,22.21,22.43,09-Sep-2014
22.45,22.23,22.45,10-Sep-2014
22.74,22.51,22.74,11-Sep-2014
22.96,22.73,22.96,12-Sep-2014
23.04,22.81,23.04,15-Sep-2014
22.33,22.11,22.33,16-Sep-2014
22.37,22.15,22.37,17-Sep-2014
22.79,22.56,22.79,18-Sep-2014
22.98,22.75,22.98,19-Sep-2014
23.01,22.78,23.01,22-Sep-2014
22.65,22.42,22.65,23-Sep-2014
22.42,22.2,22.42,24-Sep-2014
21.96,21.74,21.96,25-Sep-2014
22.1,21.88,22.1,26-Sep-2014
22.37,22.15,22.37,29-Sep-2014
22.47,22.25,22.47,30-Sep-2014
22.36,22.14,22.36,01-Oct-2014
22.04,21.82,22.04,07-Oct-2014
22.01,21.79,22.01,08-Oct-2014
22.42,22.2,22.42,09-Oct-2014
22.08,21.86,22.08,10-Oct-2014
22.26,22.04,22.26,13-Oct-2014
22.35,22.13,22.35,14-Oct-2014
21.89,21.67,21.89,16-Oct-2014
21.94,21.72,21.94,17-Oct-2014
22.19,21.97,22.19,20-Oct-2014
22.4,22.18,22.4,21-Oct-2014
22.61,22.38,22.61,22-Oct-2014
22.62,22.39,22.62,27-Oct-2014
22.69,22.46,22.69,28-Oct-2014
22.76,22.53,22.76,29-Oct-2014
22.9,22.67,22.9,30-Oct-2014
23.26,23.03,23.26,31-Oct-2014
23.4,23.17,23.4,03-Nov-2014
23.45,23.22,23.45,05-Nov-2014
23.52,23.28,23.52,07-Nov-2014
23.57,23.33,23.57,10-Nov-2014
23.75,23.51,23.75,11-Nov-2014
23.84,23.6,23.84,12-Nov-2014
23.83,23.59,23.83,13-Nov-2014
24.07,23.83,24.07,14-Nov-2014
24.3,24.06,24.3,17-Nov-2014
24.27,24.03,24.27,18-Nov-2014
24.09,23.85,24.09,19-Nov-2014
24.11,23.87,24.11,20-Nov-2014
24.25,24.01,24.25,21-Nov-2014
24.22,23.98,24.22,24-Nov-2014
24,23.76,24,25-Nov-2014
24.17,23.93,24.17,26-Nov-2014
24.29,24.05,24.29,27-Nov-2014
24.59,24.34,24.59,28-Nov-2014
24.54,24.29,24.54,01-Dec-2014
24.71,24.46,24.71,02-Dec-2014
25.13,24.88,25.13,03-Dec-2014
25.23,24.98,25.23,04-Dec-2014
25.09,24.84,25.09,05-Dec-2014
24.77,24.52,24.77,08-Dec-2014
24.5,24.26,24.5,09-Dec-2014
24.82,24.57,24.82,10-Dec-2014
24.72,24.47,24.72,11-Dec-2014
24.44,24.2,24.44,12-Dec-2014
24.39,24.15,24.39,15-Dec-2014
23.9,23.66,23.9,16-Dec-2014
23.84,23.6,23.84,17-Dec-2014
24.43,24.19,24.43,18-Dec-2014
24.49,24.25,24.49,19-Dec-2014
24.66,24.41,24.66,22-Dec-2014
24.71,24.46,24.71,23-Dec-2014
24.73,24.48,24.73,24-Dec-2014
24.79,24.54,24.79,26-Dec-2014
25.04,24.79,25.04,29-Dec-2014
25.18,24.93,25.18,30-Dec-2014
25.46,25.21,25.46,31-Dec-2014
25.48,25.23,25.48,01-Jan-2015
25.67,25.41,25.67,02-Jan-2015
25.71,25.45,25.71,05-Jan-2015
25.25,25,25.25,06-Jan-2015
25.26,25.01,25.26,07-Jan-2015
25.64,25.38,25.64,08-Jan-2015
25.68,25.42,25.68,09-Jan-2015
25.78,25.52,25.78,12-Jan-2015
25.85,25.59,25.85,13-Jan-2015
25.7,25.44,25.7,14-Jan-2015
25.89,25.63,25.89,15-Jan-2015
26.03,25.77,26.03,16-Jan-2015
26.19,25.93,26.19,19-Jan-2015
26.29,26.03,26.29,20-Jan-2015
26.14,25.88,26.14,21-Jan-2015
26.12,25.86,26.12,22-Jan-2015
26.05,25.79,26.05,23-Jan-2015
26.32,26.06,26.32,27-Jan-2015
26.35,26.09,26.35,28-Jan-2015
26.19,25.93,26.19,29-Jan-2015
25.93,25.67,25.93,30-Jan-2015
26.03,25.77,26.03,02-Feb-2015
25.94,25.68,25.94,03-Feb-2015
25.91,25.65,25.91,04-Feb-2015
25.68,25.42,25.68,05-Feb-2015
25.41,25.16,25.41,06-Feb-2015
25.18,24.93,25.18,09-Feb-2015
25.32,25.07,25.32,10-Feb-2015
25.58,25.32,25.58,11-Feb-2015
25.85,25.59,25.85,12-Feb-2015
26,25.74,26,13-Feb-2015
25.9,25.64,25.9,16-Feb-2015
26.07,25.81,26.07,18-Feb-2015
26.07,25.81,26.07,19-Feb-2015
26.07,25.81,26.07,20-Feb-2015
25.92,25.66,25.92,23-Feb-2015
25.85,25.59,25.85,24-Feb-2015
25.77,25.51,25.77,25-Feb-2015
25.52,25.26,25.52,26-Feb-2015
25.91,25.65,25.91,27-Feb-2015
26.3,26.04,26.3,02-Mar-2015
26.64,26.37,26.64,03-Mar-2015
26.37,26.11,26.37,04-Mar-2015
26.65,26.38,26.65,05-Mar-2015
26.27,26.01,26.27,09-Mar-2015
26.22,25.96,26.22,10-Mar-2015
26.1,25.84,26.1,11-Mar-2015
26.47,26.21,26.47,12-Mar-2015
26.23,25.97,26.23,13-Mar-2015
25.95,25.69,25.95,16-Mar-2015
26.2,25.94,26.2,17-Mar-2015
26.22,25.96,26.22,18-Mar-2015
26.17,25.91,26.17,19-Mar-2015
25.83,25.57,25.83,20-Mar-2015
25.62,25.36,25.62,23-Mar-2015
25.51,25.25,25.51,24-Mar-2015
25.34,25.09,25.34,25-Mar-2015
25.22,24.97,25.22,26-Mar-2015
25.26,25.01,25.26,27-Mar-2015
25.76,25.5,25.76,30-Mar-2015
25.77,25.51,25.77,31-Mar-2015
26.09,25.83,26.09,01-Apr-2015
26.31,26.05,26.31,06-Apr-2015
26.53,26.26,26.53,07-Apr-2015
26.73,26.46,26.73,08-Apr-2015
26.79,26.52,26.79,09-Apr-2015
26.84,26.57,26.84,10-Apr-2015
27,26.73,27,13-Apr-2015
27,26.73,27,15-Apr-2015
26.88,26.61,26.88,16-Apr-2015
26.48,26.22,26.48,17-Apr-2015
25.93,25.67,25.93,20-Apr-2015
25.84,25.58,25.84,21-Apr-2015
25.84,25.58,25.84,22-Apr-2015
25.86,25.6,25.86,23-Apr-2015
25.33,25.08,25.33,24-Apr-2015
24.75,24.5,24.75,27-Apr-2015
25.08,24.83,25.08,28-Apr-2015
25.32,25.07,25.32,29-Apr-2015
25.37,25.12,25.37,30-Apr-2015
25.8,25.54,25.8,04-May-2015
25.9,25.64,25.9,05-May-2015
25.21,24.96,25.21,06-May-2015
24.91,24.66,24.91,07-May-2015
25.3,25.05,25.3,08-May-2015
25.62,25.36,25.62,11-May-2015
25.35,25.1,25.35,12-May-2015
25.62,25.36,25.62,13-May-2015
25.75,25.49,25.75,14-May-2015
25.85,25.59,25.85,15-May-2015
25.99,25.73,25.99,18-May-2015
26.07,25.81,26.07,19-May-2015
26.12,25.86,26.12,20-May-2015
26.16,25.9,26.16,21-May-2015
26.25,25.99,26.25,22-May-2015
26.25,25.99,26.25,25-May-2015
26.31,26.05,26.31,26-May-2015
26.28,26.02,26.28,27-May-2015
26.21,25.95,26.21,28-May-2015
26.49,26.23,26.49,29-May-2015
26.47,26.21,26.47,01-Jun-2015
26.02,25.76,26.02,02-Jun-2015
25.78,25.52,25.78,03-Jun-2015
25.72,25.46,25.72,04-Jun-2015
25.75,25.49,25.75,05-Jun-2015
25.38,25.13,25.38,08-Jun-2015
25.26,25.01,25.26,09-Jun-2015
25.53,25.27,25.53,10-Jun-2015
25.29,25.04,25.29,11-Jun-2015
25.19,24.94,25.19,12-Jun-2015
25.32,25.07,25.32,15-Jun-2015
25.39,25.14,25.39,16-Jun-2015
25.78,25.52,25.78,17-Jun-2015
26.02,25.76,26.02,18-Jun-2015
25.97,25.71,25.97,19-Jun-2015
26.32,26.06,26.32,22-Jun-2015
26.42,26.16,26.42,23-Jun-2015
26.3,26.04,26.3,24-Jun-2015
26.41,26.15,26.41,25-Jun-2015
26.5,26.24,26.5,26-Jun-2015
26.17,25.91,26.17,29-Jun-2015
26.5,26.24,26.5,30-Jun-2015
26.8,26.53,26.8,01-Jul-2015
27.04,26.77,27.04,02-Jul-2015
26.99,26.72,26.99,03-Jul-2015
27.2,26.93,27.2,06-Jul-2015
27.36,27.09,27.36,07-Jul-2015
27.08,26.81,27.08,08-Jul-2015
27.05,26.78,27.05,09-Jul-2015
27.09,26.82,27.09,10-Jul-2015
27.45,27.18,27.45,13-Jul-2015
27.56,27.28,27.56,14-Jul-2015
27.61,27.33,27.61,15-Jul-2015
