Historical NAV for a period From 01-Jan-2016 to 31-Dec-2019,,,
Edelweiss Mutual Fund,,,
Edelweiss Mid Cap Fund,,,
Edelweiss Mid Cap Fund - Direct Plan - Growth Option,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
21.06,20.849,21.06,28-Nov-2016
21.174,20.962,21.174,29-Nov-2016
21.524,21.309,21.524,30-Nov-2016
21.311,21.098,21.311,01-Dec-2016
20.997,20.787,20.997,02-Dec-2016
21.052,20.841,21.052,05-Dec-2016
21.122,20.911,21.122,06-Dec-2016
21.029,20.819,21.029,07-Dec-2016
21.296,21.083,21.296,08-Dec-2016
21.352,21.138,21.352,09-Dec-2016
21.179,20.967,21.179,12-Dec-2016
21.132,20.921,21.132,13-Dec-2016
20.968,20.758,20.968,14-Dec-2016
21.036,20.826,21.036,15-Dec-2016
21.013,20.803,21.013,16-Dec-2016
20.928,20.719,20.928,19-Dec-2016
20.683,20.476,20.683,20-Dec-2016
20.648,20.442,20.648,21-Dec-2016
20.383,20.179,20.383,22-Dec-2016
20.405,20.201,20.405,23-Dec-2016
20.049,19.849,20.049,26-Dec-2016
20.222,20.02,20.222,27-Dec-2016
20.377,20.173,20.377,28-Dec-2016
20.623,20.417,20.623,29-Dec-2016
20.751,20.543,20.751,30-Dec-2016
20.96,20.75,20.96,02-Jan-2017
21.166,20.954,21.166,03-Jan-2017
21.218,21.006,21.218,04-Jan-2017
21.359,21.145,21.359,05-Jan-2017
21.336,21.123,21.336,06-Jan-2017
21.339,21.126,21.339,09-Jan-2017
21.42,21.206,21.42,10-Jan-2017
21.66,21.443,21.66,11-Jan-2017
21.609,21.393,21.609,12-Jan-2017
21.619,21.403,21.619,13-Jan-2017
21.633,21.417,21.633,16-Jan-2017
21.677,21.46,21.677,17-Jan-2017
21.742,21.525,21.742,18-Jan-2017
21.807,21.589,21.807,19-Jan-2017
21.592,21.376,21.592,20-Jan-2017
21.706,21.489,21.706,23-Jan-2017
21.876,21.657,21.876,24-Jan-2017
22.108,21.887,22.108,25-Jan-2017
22.32,22.097,22.32,27-Jan-2017
22.201,21.979,22.201,30-Jan-2017
22.072,21.851,22.072,31-Jan-2017
22.443,22.219,22.443,01-Feb-2017
22.558,22.332,22.558,02-Feb-2017
22.687,22.46,22.687,03-Feb-2017
22.839,22.611,22.839,06-Feb-2017
22.688,22.461,22.688,07-Feb-2017
22.723,22.496,22.723,08-Feb-2017
22.74,22.513,22.74,09-Feb-2017
22.824,22.596,22.824,10-Feb-2017
22.747,22.52,22.747,13-Feb-2017
22.638,22.412,22.638,14-Feb-2017
22.373,22.149,22.373,15-Feb-2017
22.661,22.434,22.661,16-Feb-2017
22.681,22.454,22.681,17-Feb-2017
22.831,22.603,22.831,20-Feb-2017
22.844,22.616,22.844,21-Feb-2017
22.703,22.476,22.703,22-Feb-2017
22.73,22.503,22.73,23-Feb-2017
22.775,22.547,22.775,27-Feb-2017
22.92,22.691,22.92,28-Feb-2017
22.905,22.676,22.905,01-Mar-2017
22.656,22.429,22.656,02-Mar-2017
22.678,22.451,22.678,03-Mar-2017
22.765,22.537,22.765,06-Mar-2017
22.718,22.491,22.718,07-Mar-2017
22.627,22.401,22.627,08-Mar-2017
22.64,22.414,22.64,09-Mar-2017
22.599,22.373,22.599,10-Mar-2017
