Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Invesco Mutual Fund,,,
Invesco India Midcap Fund,,,
Invesco India Midcap Fund - Direct Plan - Growth Option,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
17.71,17.53,17.71,02-Jan-2013
17.75,17.57,17.75,03-Jan-2013
17.85,17.67,17.85,04-Jan-2013
17.9,17.72,17.9,07-Jan-2013
17.88,17.7,17.88,08-Jan-2013
17.84,17.66,17.84,09-Jan-2013
17.78,17.6,17.78,10-Jan-2013
17.59,17.41,17.59,11-Jan-2013
17.69,17.51,17.69,14-Jan-2013
17.77,17.59,17.77,15-Jan-2013
17.65,17.47,17.65,16-Jan-2013
17.6,17.42,17.6,17-Jan-2013
17.53,17.35,17.53,18-Jan-2013
17.51,17.33,17.51,21-Jan-2013
17.43,17.26,17.43,22-Jan-2013
17.32,17.15,17.32,23-Jan-2013
17.1,16.93,17.1,24-Jan-2013
17.29,17.12,17.29,25-Jan-2013
17.31,17.14,17.31,28-Jan-2013
17.3,17.13,17.3,29-Jan-2013
17.33,17.16,17.33,30-Jan-2013
17.36,17.19,17.36,31-Jan-2013
17.3,17.13,17.3,01-Feb-2013
17.17,17,17.17,04-Feb-2013
17.04,16.87,17.04,05-Feb-2013
17.03,16.86,17.03,06-Feb-2013
16.93,16.76,16.93,07-Feb-2013
16.86,16.69,16.86,08-Feb-2013
16.81,16.64,16.81,11-Feb-2013
16.84,16.67,16.84,12-Feb-2013
16.81,16.64,16.81,13-Feb-2013
16.61,16.44,16.61,14-Feb-2013
16.66,16.49,16.66,15-Feb-2013
16.65,16.48,16.65,18-Feb-2013
16.75,16.58,16.75,19-Feb-2013
16.87,16.7,16.87,20-Feb-2013
16.63,16.46,16.63,21-Feb-2013
16.57,16.4,16.57,22-Feb-2013
16.5,16.34,16.5,25-Feb-2013
16.22,16.06,16.22,26-Feb-2013
16.33,16.17,16.33,27-Feb-2013
16.06,15.9,16.06,28-Feb-2013
16.13,15.97,16.13,01-Mar-2013
15.93,15.77,15.93,04-Mar-2013
16.08,15.92,16.08,05-Mar-2013
16.25,16.09,16.25,06-Mar-2013
16.27,16.11,16.27,07-Mar-2013
16.37,16.21,16.37,08-Mar-2013
16.42,16.26,16.42,11-Mar-2013
16.33,16.17,16.33,12-Mar-2013
16.24,16.08,16.24,13-Mar-2013
16.24,16.08,16.24,14-Mar-2013
16.25,16.09,16.25,15-Mar-2013
16.24,16.08,16.24,18-Mar-2013
16.02,15.86,16.02,19-Mar-2013
15.8,15.64,15.8,20-Mar-2013
15.76,15.6,15.76,21-Mar-2013
15.7,15.54,15.7,22-Mar-2013
15.65,15.49,15.65,25-Mar-2013
15.64,15.48,15.64,26-Mar-2013
15.8,15.64,15.8,28-Mar-2013
15.89,15.73,15.89,01-Apr-2013
16.08,15.92,16.08,02-Apr-2013
16.03,15.87,16.03,03-Apr-2013
15.75,15.59,15.75,04-Apr-2013
15.73,15.57,15.73,05-Apr-2013
15.67,15.51,15.67,08-Apr-2013
15.54,15.38,15.54,09-Apr-2013
15.52,15.36,15.52,10-Apr-2013
15.61,15.45,15.61,11-Apr-2013
15.63,15.47,15.63,12-Apr-2013
15.61,15.45,15.61,15-Apr-2013
15.72,15.56,15.72,16-Apr-2013
15.74,15.58,15.74,17-Apr-2013
15.88,15.72,15.88,18-Apr-2013
16.04,15.88,16.04,22-Apr-2013
16.01,15.85,16.01,23-Apr-2013
16.14,15.98,16.14,25-Apr-2013
16.11,15.95,16.11,26-Apr-2013
16.18,16.02,16.18,29-Apr-2013
16.26,16.1,16.26,30-Apr-2013
16.31,16.15,16.31,02-May-2013
16.25,16.09,16.25,03-May-2013
16.33,16.17,16.33,06-May-2013
16.43,16.27,16.43,07-May-2013
16.49,16.33,16.49,08-May-2013
16.44,16.28,16.44,09-May-2013
16.54,16.37,16.54,10-May-2013
16.35,16.19,16.35,13-May-2013
16.43,16.27,16.43,14-May-2013
16.7,16.53,16.7,15-May-2013
16.81,16.64,16.81,16-May-2013
16.88,16.71,16.88,17-May-2013
16.82,16.65,16.82,20-May-2013
16.69,16.52,16.69,21-May-2013
16.61,16.44,16.61,22-May-2013
16.4,16.24,16.4,23-May-2013
16.44,16.28,16.44,24-May-2013
16.68,16.51,16.68,27-May-2013
16.79,16.62,16.79,28-May-2013
16.78,16.61,16.78,29-May-2013
16.72,16.55,16.72,30-May-2013
16.7,16.53,16.7,31-May-2013
16.7,16.53,16.7,03-Jun-2013
16.63,16.46,16.63,04-Jun-2013
16.65,16.48,16.65,05-Jun-2013
16.7,16.53,16.7,06-Jun-2013
16.68,16.51,16.68,07-Jun-2013
16.64,16.47,16.64,10-Jun-2013
16.39,16.23,16.39,11-Jun-2013
16.31,16.15,16.31,12-Jun-2013
16.15,15.99,16.15,13-Jun-2013
16.29,16.13,16.29,14-Jun-2013
16.28,16.12,16.28,17-Jun-2013
16.29,16.13,16.29,18-Jun-2013
16.34,16.18,16.34,19-Jun-2013
16.12,15.96,16.12,20-Jun-2013
16.04,15.88,16.04,21-Jun-2013
15.68,15.52,15.68,24-Jun-2013
15.71,15.55,15.71,25-Jun-2013
15.67,15.51,15.67,26-Jun-2013
15.66,15.5,15.66,27-Jun-2013
15.99,15.83,15.99,28-Jun-2013
