Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Kotak Mahindra Mutual Fund,,,
Kotak Emerging Equity Fund,,,
Kotak Emerging Equity Scheme - Growth - Direct,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
14.052,13.911,14.052,03-Jan-2013
14.177,14.035,14.177,04-Jan-2013
14.199,14.057,14.199,07-Jan-2013
14.223,14.081,14.223,08-Jan-2013
14.209,14.067,14.209,09-Jan-2013
14.122,13.981,14.122,10-Jan-2013
13.978,13.838,13.978,11-Jan-2013
14.07,13.929,14.07,14-Jan-2013
14.086,13.945,14.086,15-Jan-2013
13.972,13.832,13.972,16-Jan-2013
13.952,13.812,13.952,17-Jan-2013
13.892,13.753,13.892,18-Jan-2013
13.86,13.721,13.86,21-Jan-2013
13.805,13.667,13.805,22-Jan-2013
13.715,13.578,13.715,23-Jan-2013
13.524,13.389,13.524,24-Jan-2013
13.697,13.56,13.697,25-Jan-2013
13.633,13.497,13.633,28-Jan-2013
13.58,13.444,13.58,29-Jan-2013
13.564,13.428,13.564,30-Jan-2013
13.643,13.507,13.643,31-Jan-2013
13.62,13.484,13.62,01-Feb-2013
13.44,13.306,13.44,04-Feb-2013
13.37,13.236,13.37,05-Feb-2013
13.352,13.218,13.352,06-Feb-2013
13.258,13.125,13.258,07-Feb-2013
13.17,13.038,13.17,08-Feb-2013
13.126,12.995,13.126,11-Feb-2013
13.149,13.018,13.149,12-Feb-2013
13.12,12.989,13.12,13-Feb-2013
12.946,12.817,12.946,14-Feb-2013
12.982,12.852,12.982,15-Feb-2013
12.97,12.84,12.97,18-Feb-2013
13.127,12.996,13.127,19-Feb-2013
13.112,12.981,13.112,20-Feb-2013
12.892,12.763,12.892,21-Feb-2013
12.855,12.726,12.855,22-Feb-2013
12.779,12.651,12.779,25-Feb-2013
12.572,12.446,12.572,26-Feb-2013
12.676,12.549,12.676,27-Feb-2013
12.456,12.331,12.456,28-Feb-2013
12.453,12.328,12.453,01-Mar-2013
12.243,12.121,12.243,04-Mar-2013
12.414,12.29,12.414,05-Mar-2013
12.544,12.419,12.544,06-Mar-2013
12.579,12.453,12.579,07-Mar-2013
12.638,12.512,12.638,08-Mar-2013
12.683,12.556,12.683,11-Mar-2013
12.616,12.49,12.616,12-Mar-2013
12.489,12.364,12.489,13-Mar-2013
12.499,12.374,12.499,14-Mar-2013
12.441,12.317,12.441,15-Mar-2013
12.368,12.244,12.368,18-Mar-2013
12.191,12.069,12.191,19-Mar-2013
11.997,11.877,11.997,20-Mar-2013
11.896,11.777,11.896,21-Mar-2013
11.873,11.754,11.873,22-Mar-2013
11.848,11.73,11.848,25-Mar-2013
11.88,11.761,11.88,26-Mar-2013
12.006,11.886,12.006,28-Mar-2013
12.089,11.968,12.089,01-Apr-2013
12.243,12.121,12.243,02-Apr-2013
12.174,12.052,12.174,03-Apr-2013
12.003,11.883,12.003,04-Apr-2013
11.962,11.842,11.962,05-Apr-2013
11.957,11.837,11.957,08-Apr-2013
11.846,11.728,11.846,09-Apr-2013
11.854,11.735,11.854,10-Apr-2013
11.852,11.733,11.852,11-Apr-2013
11.817,11.699,11.817,12-Apr-2013
11.84,11.722,11.84,15-Apr-2013
11.927,11.808,11.927,16-Apr-2013
11.956,11.836,11.956,17-Apr-2013
12.048,11.928,12.048,18-Apr-2013
12.124,12.003,12.124,22-Apr-2013
12.094,11.973,12.094,23-Apr-2013
12.151,12.029,12.151,25-Apr-2013
12.126,12.005,12.126,26-Apr-2013
12.179,12.057,12.179,29-Apr-2013
12.256,12.133,12.256,30-Apr-2013
12.328,12.205,12.328,02-May-2013
12.291,12.168,12.291,03-May-2013
12.393,12.269,12.393,06-May-2013
12.506,12.381,12.506,07-May-2013
12.544,12.419,12.544,08-May-2013
12.525,12.4,12.525,09-May-2013
12.549,12.424,12.549,10-May-2013
12.442,12.318,12.442,13-May-2013
12.437,12.313,12.437,14-May-2013
12.635,12.509,12.635,15-May-2013
12.672,12.545,12.672,16-May-2013
12.763,12.635,12.763,17-May-2013
12.762,12.634,12.762,20-May-2013
12.672,12.545,12.672,21-May-2013
12.541,12.416,12.541,22-May-2013
12.305,12.182,12.305,23-May-2013
12.389,12.265,12.389,24-May-2013
12.471,12.346,12.471,27-May-2013
12.525,12.4,12.525,28-May-2013
12.47,12.345,12.47,29-May-2013
12.481,12.356,12.481,30-May-2013
12.348,12.225,12.348,31-May-2013
12.44,12.316,12.44,03-Jun-2013
12.437,12.313,12.437,04-Jun-2013
12.467,12.342,12.467,05-Jun-2013
12.443,12.319,12.443,06-Jun-2013
12.368,12.244,12.368,07-Jun-2013
12.289,12.166,12.289,10-Jun-2013
12.049,11.929,12.049,11-Jun-2013
11.998,11.878,11.998,12-Jun-2013
11.843,11.725,11.843,13-Jun-2013
11.973,11.853,11.973,14-Jun-2013
12.004,11.884,12.004,17-Jun-2013
11.98,11.86,11.98,18-Jun-2013
12.056,11.935,12.056,19-Jun-2013
11.876,11.757,11.876,20-Jun-2013
11.761,11.643,11.761,21-Jun-2013
11.543,11.428,11.543,24-Jun-2013
11.55,11.435,11.55,25-Jun-2013
11.487,11.372,11.487,26-Jun-2013
11.46,11.345,11.46,27-Jun-2013
11.631,11.515,11.631,28-Jun-2013
11.779,11.661,11.779,01-Jul-2013
11.732,11.615,11.732,02-Jul-2013
11.578,11.462,11.578,03-Jul-2013
11.586,11.47,11.586,04-Jul-2013
11.595,11.479,11.595,05-Jul-2013
11.544,11.429,11.544,08-Jul-2013
11.637,11.521,11.637,09-Jul-2013
11.606,11.49,11.606,10-Jul-2013
11.68,11.563,11.68,11-Jul-2013
11.677,11.56,11.677,12-Jul-2013
11.765,11.647,11.765,15-Jul-2013
11.604,11.488,11.604,16-Jul-2013
11.505,11.39,11.505,17-Jul-2013
11.604,11.488,11.604,18-Jul-2013
11.578,11.462,11.578,19-Jul-2013
11.648,11.532,11.648,22-Jul-2013
11.643,11.527,11.643,23-Jul-2013
11.435,11.321,11.435,24-Jul-2013
11.29,11.177,11.29,25-Jul-2013
11.156,11.044,11.156,26-Jul-2013
11.091,10.98,11.091,29-Jul-2013
10.795,10.687,10.795,30-Jul-2013
10.727,10.62,10.727,31-Jul-2013
10.611,10.505,10.611,01-Aug-2013
10.518,10.413,10.518,02-Aug-2013
10.475,10.37,10.475,05-Aug-2013
10.197,10.095,10.197,06-Aug-2013
10.226,10.124,10.226,07-Aug-2013
10.379,10.275,10.379,08-Aug-2013
10.53,10.425,10.53,12-Aug-2013
10.657,10.55,10.657,13-Aug-2013
10.723,10.616,10.723,14-Aug-2013
10.413,10.309,10.413,16-Aug-2013
10.184,10.082,10.184,19-Aug-2013
10.155,10.053,10.155,20-Aug-2013
10.08,9.979,10.08,21-Aug-2013
10.119,10.018,10.119,22-Aug-2013
10.182,10.08,10.182,23-Aug-2013
10.189,10.087,10.189,26-Aug-2013
9.952,9.852,9.952,27-Aug-2013
9.819,9.721,9.819,28-Aug-2013
9.944,9.845,9.944,29-Aug-2013
9.997,9.897,9.997,30-Aug-2013
10.07,9.969,10.07,02-Sep-2013
9.908,9.809,9.908,03-Sep-2013
10.045,9.945,10.045,04-Sep-2013
10.283,10.18,10.283,05-Sep-2013
10.307,10.204,10.307,06-Sep-2013
10.49,10.385,10.49,10-Sep-2013
