"Date","Open","High","Low","Close"
"28 Apr 2022","16668.35","16701.70","16530.30","16655.40"
"27 Apr 2022","16559.40","16607.35","16414.50","16557.20"
"26 Apr 2022","16698.25","16773.85","16612.20","16651.80"
"25 Apr 2022","16757.55","16757.55","16511.35","16560.70"
"22 Apr 2022","16790.30","16947.95","16723.40","16846.25"
"21 Apr 2022","16747.65","16864.95","16733.60","16844.40"
"20 Apr 2022","16690.10","16816.35","16622.40","16675.90"
"19 Apr 2022","16913.40","16967.65","16497.45","16622.45"
"18 Apr 2022","16899.05","16901.55","16689.20","16804.45"
"13 Apr 2022","17101.65","17148.45","16984.60","16995.60"
"12 Apr 2022","17247.40","17252.65","16910.10","16993.35"
"11 Apr 2022","17201.55","17262.25","17142.65","17242.75"
"08 Apr 2022","17155.10","17203.05","17101.25","17147.00"
"07 Apr 2022","17111.60","17181.90","17036.85","17051.85"
"06 Apr 2022","17118.60","17168.30","17041.10","17090.65"
"05 Apr 2022","17052.35","17196.10","17012.50","17136.00"
"04 Apr 2022","16838.80","16954.45","16831.45","16940.15"
"01 Apr 2022","16700.10","16788.90","16663.55","16733.80"
"31 Mar 2022","16690.55","16775.70","16649.45","16679.45"
"30 Mar 2022","16580.35","16657.80","16505.05","16642.05"
"29 Mar 2022","16387.05","16474.60","16341.50","16457.90"
"28 Mar 2022","16364.25","16395.15","16184.45","16317.05"
"25 Mar 2022","16481.15","16504.25","16242.45","16328.65"
"24 Mar 2022","16366.75","16468.90","16346.65","16420.45"
"23 Mar 2022","16497.10","16568.90","16387.80","16411.85"
"22 Mar 2022","16472.85","16478.50","16261.85","16419.30"
"21 Mar 2022","16572.45","16580.10","16429.75","16458.05"
"17 Mar 2022","16415.10","16495.80","16396.10","16454.95"
"16 Mar 2022","16181.50","16260.60","16130.05","16244.90"
"15 Mar 2022","16260.35","16286.65","15970.30","16019.30"
"14 Mar 2022","16220.20","16252.10","16082.90","16196.10"
"11 Mar 2022","16085.10","16199.95","16028.25","16180.20"
"10 Mar 2022","16264.30","16282.30","16045.50","16076.35"
"09 Mar 2022","15883.30","16004.35","15794.85","15983.60"
"08 Mar 2022","15544.30","15758.45","15489.90","15742.45"
"07 Mar 2022","15512.10","15585.55","15303.95","15502.90"
"04 Mar 2022","15935.30","15942.25","15709.85","15730.65"
"23 Feb 2022","16116.30","16239.10","16085.80","16113.25"
"22 Feb 2022","15747.95","16028.70","15747.95","15999.85"
"21 Feb 2022","16265.00","16279.80","16055.90","16137.40"
"18 Feb 2022","16356.30","16459.85","16330.35","16347.65"
"17 Feb 2022","16585.85","16603.00","16407.80","16438.30"
"16 Feb 2022","16690.30","16703.95","16469.25","16511.60"
"15 Feb 2022","16331.50","16551.00","16089.00","16535.85"
"14 Feb 2022","16419.05","16483.20","16214.50","16258.10"
"11 Feb 2022","16939.95","16966.00","16721.40","16744.55"
"10 Feb 2022","17180.35","17194.90","17059.35","17081.00"
"09 Feb 2022","17027.85","17150.85","17024.15","17133.50"
"08 Feb 2022","17125.05","17169.65","16865.80","16976.10"
"07 Feb 2022","17246.85","17279.75","16994.25","17067.45"
"04 Feb 2022","17295.85","17357.20","17186.00","17206.00"
"03 Feb 2022","17537.40","17537.40","17252.75","17281.55"
"02 Feb 2022","17424.45","17554.95","17392.40","17508.05"
"01 Feb 2022","17432.65","17471.80","17169.00","17338.80"
"31 Jan 2022","17257.65","17316.10","17212.80","17271.75"
"28 Jan 2022","16901.05","17276.05","16900.00","17047.00"
"27 Jan 2022","17010.90","17022.05","16686.05","16791.05"
"25 Jan 2022","16834.70","17118.10","16534.55","17097.70"
"24 Jan 2022","17612.45","17652.75","16858.90","16975.40"
"21 Jan 2022","17894.40","17937.55","17541.85","17607.40"
"20 Jan 2022","17933.45","17993.80","17888.60","17955.50"
"19 Jan 2022","17992.45","17996.80","17755.15","17937.75"
"18 Jan 2022","18407.50","18411.85","17944.60","18000.50"
"17 Jan 2022","18326.40","18371.40","18287.35","18332.25"
"14 Jan 2022","18247.15","18311.95","18181.70","18282.50"
"13 Jan 2022","18236.35","18312.25","18151.45","18279.00"
"12 Jan 2022","18125.05","18201.15","18098.95","18181.70"
"11 Jan 2022","18032.30","18123.75","18017.40","18051.15"
"10 Jan 2022","18057.95","18079.50","17982.55","18028.20"
"07 Jan 2022","-","-","-","17975.23"
"06 Jan 2022","-","-","-","17920.70"
"06 Jan 2022","-","-","-","17920.70"
"05 Jan 2022","-","-","-","17965.76"
"04 Jan 2022","-","-","-","18002.26"
"03 Jan 2022","-","-","-","17947.71"
"31 Dec 2021","-","-","-","17802.02"
"30 Dec 2021","-","-","-","17607.36"
"29 Dec 2021","-","-","-","17567.55"
"28 Dec 2021","-","-","-","17526.75"
"27 Dec 2021","-","-","-","17306.06"
"24 Dec 2021","-","-","-","17270.63"
"23 Dec 2021","-","-","-","17348.98"
"22 Dec 2021","-","-","-","17215.72"
"21 Dec 2021","-","-","-","17030.92"
"20 Dec 2021","-","-","-","16851.07"
"17 Dec 2021","-","-","-","17406.34"
"16 Dec 2021","-","-","-","17640.11"
"15 Dec 2021","-","-","-","17722.29"
"14 Dec 2021","-","-","-","17800.17"
"13 Dec 2021","-","-","-","17827.75"
"10 Dec 2021","-","-","-","17863.14"
"09 Dec 2021","-","-","-","17794.65"
"08 Dec 2021","-","-","-","17775.60"
"07 Dec 2021","-","-","-","17615.50"
"06 Dec 2021","-","-","-","17402.33"
"03 Dec 2021","-","-","-","17639.46"
"02 Dec 2021","-","-","-","17685.48"
"01 Dec 2021","-","-","-","17480.57"
"30 Nov 2021","-","-","-","17435.65"
"29 Nov 2021","-","-","-","17227.85"
"26 Nov 2021","-","-","-","17365.65"
"25 Nov 2021","-","-","-","17760.51"
"24 Nov 2021","-","-","-","17677.35"
"23 Nov 2021","-","-","-","17771.38"
"22 Nov 2021","-","-","-","17606.21"
"18 Nov 2021","-","-","-","18080.40"
"17 Nov 2021","-","-","-","18409.26"
"16 Nov 2021","-","-","-","18394.75"
"15 Nov 2021","-","-","-","18440.00"
"12 Nov 2021","-","-","-","18373.33"
"11 Nov 2021","-","-","-","18290.50"
"10 Nov 2021","-","-","-","18295.06"
"09 Nov 2021","-","-","-","18329.21"
"08 Nov 2021","-","-","-","18216.63"
"04 Nov 2021","-","-","-","18077.61"
"03 Nov 2021","-","-","-","17902.14"
"02 Nov 2021","-","-","-","17912.52"
"01 Nov 2021","-","-","-","17946.16"
"29 Oct 2021","-","-","-","17652.19"
"28 Oct 2021","-","-","-","17655.77"
"27 Oct 2021","-","-","-","17795.17"
"26 Oct 2021","-","-","-","17739.38"
"25 Oct 2021","-","-","-","17478.84"
"22 Oct 2021","-","-","-","17785.91"
"21 Oct 2021","-","-","-","17901.60"
"20 Oct 2021","-","-","-","18189.00"
"19 Oct 2021","-","-","-","18664.03"
"18 Oct 2021","-","-","-","18734.62"
"14 Oct 2021","-","-","-","18623.20"
"13 Oct 2021","-","-","-","18500.39"
"12 Oct 2021","-","-","-","18416.35"
"11 Oct 2021","-","-","-","18419.43"
"08 Oct 2021","-","-","-","18440.99"
"07 Oct 2021","-","-","-","18359.95"
"06 Oct 2021","-","-","-","18010.16"
"05 Oct 2021","-","-","-","18048.73"
"04 Oct 2021","-","-","-","17923.98"
"01 Oct 2021","-","-","-","17620.42"
"30 Sep 2021","-","-","-","17561.37"
"29 Sep 2021","-","-","-","17571.86"
"28 Sep 2021","-","-","-","17514.27"
"27 Sep 2021","-","-","-","17689.57"
"24 Sep 2021","-","-","-","17874.58"
"23 Sep 2021","-","-","-","17941.51"
"22 Sep 2021","-","-","-","17770.10"
"21 Sep 2021","-","-","-","17610.42"
"20 Sep 2021","-","-","-","17536.02"
"17 Sep 2021","-","-","-","17752.20"
"16 Sep 2021","-","-","-","17896.27"
"15 Sep 2021","-","-","-","17912.98"
"14 Sep 2021","-","-","-","17768.93"
"13 Sep 2021","-","-","-","17627.59"
"09 Sep 2021","-","-","-","17485.66"
"08 Sep 2021","-","-","-","17388.86"
"07 Sep 2021","-","-","-","17391.49"
"06 Sep 2021","-","-","-","17457.10"
"03 Sep 2021","-","-","-","17402.42"
"02 Sep 2021","-","-","-","17305.55"
"01 Sep 2021","-","-","-","17168.63"
"31 Aug 2021","-","-","-","17051.57"
"30 Aug 2021","-","-","-","16909.71"
"27 Aug 2021","-","-","-","16750.51"
"26 Aug 2021","-","-","-","16548.52"
"25 Aug 2021","-","-","-","16598.33"
"24 Aug 2021","-","-","-","16588.35"
"23 Aug 2021","-","-","-","16482.27"
"20 Aug 2021","-","-","-","16589.77"
"18 Aug 2021","-","-","-","16792.54"
"17 Aug 2021","-","-","-","16731.23"
"16 Aug 2021","-","-","-","16585.56"
"13 Aug 2021","-","-","-","16647.21"
"12 Aug 2021","-","-","-","16635.76"
"11 Aug 2021","-","-","-","16478.48"
"10 Aug 2021","-","-","-","16687.80"
"09 Aug 2021","-","-","-","16800.20"
"06 Aug 2021","-","-","-","16907.18"
"05 Aug 2021","-","-","-","16953.09"
"04 Aug 2021","-","-","-","16924.70"
"03 Aug 2021","-","-","-","17094.08"
"02 Aug 2021","-","-","-","17039.96"
"30 Jul 2021","-","-","-","16844.98"
"29 Jul 2021","-","-","-","16735.48"
"28 Jul 2021","-","-","-","16594.61"
"27 Jul 2021","-","-","-","16658.37"
"26 Jul 2021","-","-","-","16738.22"
"23 Jul 2021","-","-","-","16695.14"
"22 Jul 2021","-","-","-","16669.10"
"20 Jul 2021","-","-","-","16467.63"
"19 Jul 2021","-","-","-","16621.04"
"16 Jul 2021","-","-","-","16614.80"
"15 Jul 2021","-","-","-","16603.56"
"14 Jul 2021","-","-","-","16529.18"
"13 Jul 2021","-","-","-","16368.44"
"12 Jul 2021","-","-","-","16352.55"
"09 Jul 2021","-","-","-","16272.03"
"08 Jul 2021","-","-","-","16213.44"
"07 Jul 2021","-","-","-","16254.72"
"06 Jul 2021","-","-","-","16235.87"
"05 Jul 2021","-","-","-","16260.65"
"02 Jul 2021","-","-","-","16255.95"
"01 Jul 2021","-","-","-","16067.53"
"30 Jun 2021","-","-","-","16042.58"
"29 Jun 2021","-","-","-","15886.83"
"28 Jun 2021","-","-","-","15929.11"
"25 Jun 2021","-","-","-","15905.99"
"24 Jun 2021","-","-","-","15849.62"
"23 Jun 2021","-","-","-","15803.07"
"22 Jun 2021","-","-","-","15740.37"
"21 Jun 2021","-","-","-","15715.62"
"18 Jun 2021","-","-","-","15683.26"
"17 Jun 2021","-","-","-","15743.30"
"16 Jun 2021","-","-","-","15819.33"
"15 Jun 2021","-","-","-","15871.88"
"14 Jun 2021","-","-","-","15729.96"
"11 Jun 2021","-","-","-","15716.17"
"10 Jun 2021","-","-","-","15687.16"
"09 Jun 2021","-","-","-","15551.51"
"08 Jun 2021","-","-","-","15675.44"
"07 Jun 2021","-","-","-","15551.65"
"04 Jun 2021","-","-","-","15418.06"
"03 Jun 2021","-","-","-","15321.87"
"02 Jun 2021","-","-","-","15213.66"
"01 Jun 2021","-","-","-","15089.73"
"31 May 2021","-","-","-","15155.58"
"28 May 2021","-","-","-","15145.96"
"27 May 2021","-","-","-","15193.95"
"26 May 2021","-","-","-","15087.43"
"25 May 2021","-","-","-","15011.85"
"24 May 2021","-","-","-","14971.26"
"21 May 2021","-","-","-","14838.24"
"20 May 2021","-","-","-","14769.09"
"19 May 2021","-","-","-","14755.83"
"18 May 2021","-","-","-","14710.89"
"17 May 2021","-","-","-","14511.96"
"14 May 2021","-","-","-","14341.71"
"12 May 2021","-","-","-","14468.22"
"11 May 2021","-","-","-","14484.78"
"10 May 2021","-","-","-","14380.10"
"07 May 2021","-","-","-","14401.02"
"06 May 2021","-","-","-","14485.97"
"05 May 2021","-","-","-","14346.27"
"04 May 2021","-","-","-","14228.44"
"03 May 2021","-","-","-","14268.88"
"30 Apr 2021","-","-","-","14233.29"
"29 Apr 2021","-","-","-","14284.67"
"28 Apr 2021","-","-","-","14300.08"
"27 Apr 2021","-","-","-","14244.65"
"26 Apr 2021","-","-","-","14080.17"
"23 Apr 2021","-","-","-","13956.10"
"22 Apr 2021","-","-","-","13912.74"
"20 Apr 2021","-","-","-","13901.60"
"19 Apr 2021","-","-","-","13919.69"
"16 Apr 2021","-","-","-","14116.77"
"15 Apr 2021","-","-","-","13929.12"
"13 Apr 2021","-","-","-","13913.49"
"12 Apr 2021","-","-","-","13841.11"
"09 Apr 2021","-","-","-","14366.55"
"08 Apr 2021","-","-","-","14325.61"
"07 Apr 2021","-","-","-","14267.14"
"06 Apr 2021","-","-","-","14056.61"
"05 Apr 2021","-","-","-","14071.94"
"01 Apr 2021","-","-","-","14236.16"
"31 Mar 2021","-","-","-","14195.36"
"30 Mar 2021","-","-","-","14147.08"
"26 Mar 2021","-","-","-","13841.00"
"25 Mar 2021","-","-","-","13696.26"
