Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
PGIM India Mutual Fund,,,
PGIM India Midcap Opportunities Fund,,,
PGIM India Midcap Opportunities Fund - Direct Plan - Growth Option,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
10.01,9.91,10.01,05-Dec-2013
10.01,9.91,10.01,06-Dec-2013
10.02,9.92,10.02,09-Dec-2013
10.01,9.91,10.01,10-Dec-2013
10.02,9.92,10.02,11-Dec-2013
10.02,9.92,10.02,12-Dec-2013
10.01,9.91,10.01,13-Dec-2013
10.02,9.92,10.02,16-Dec-2013
10.03,9.93,10.03,17-Dec-2013
10.03,9.93,10.03,18-Dec-2013
10.03,9.93,10.03,19-Dec-2013
10.06,9.96,10.06,20-Dec-2013
10.06,9.96,10.06,23-Dec-2013
10.08,9.98,10.08,24-Dec-2013
10.08,9.98,10.08,26-Dec-2013
10.09,9.99,10.09,27-Dec-2013
10.1,10,10.1,30-Dec-2013
10.11,10.01,10.11,31-Dec-2013
10.11,10.01,10.11,01-Jan-2014
10.07,9.97,10.07,02-Jan-2014
10.12,10.02,10.12,03-Jan-2014
10.12,10.02,10.12,06-Jan-2014
10.11,10.01,10.11,07-Jan-2014
10.13,10.03,10.13,08-Jan-2014
10.12,10.02,10.12,09-Jan-2014
10.11,10.01,10.11,10-Jan-2014
10.11,10.01,10.11,13-Jan-2014
10.1,10,10.1,14-Jan-2014
10.09,9.99,10.09,15-Jan-2014
10.08,9.98,10.08,16-Jan-2014
10.03,9.93,10.03,17-Jan-2014
10.06,9.96,10.06,20-Jan-2014
10.08,9.98,10.08,21-Jan-2014
10.09,9.99,10.09,22-Jan-2014
10.09,9.99,10.09,23-Jan-2014
10.04,9.94,10.04,24-Jan-2014
9.98,9.88,9.98,27-Jan-2014
9.99,9.89,9.99,28-Jan-2014
9.99,9.89,9.99,29-Jan-2014
9.97,9.87,9.97,30-Jan-2014
10,9.9,10,31-Jan-2014
9.99,9.89,9.99,03-Feb-2014
10,9.9,10,04-Feb-2014
10.01,9.91,10.01,05-Feb-2014
10.04,9.94,10.04,06-Feb-2014
10.05,9.95,10.05,07-Feb-2014
10.06,9.96,10.06,10-Feb-2014
10.07,9.97,10.07,11-Feb-2014
10.08,9.98,10.08,12-Feb-2014
10.04,9.94,10.04,13-Feb-2014
10.04,9.94,10.04,14-Feb-2014
10.02,9.92,10.02,17-Feb-2014
10.04,9.94,10.04,18-Feb-2014
10.06,9.96,10.06,19-Feb-2014
10.06,9.96,10.06,20-Feb-2014
10.07,9.97,10.07,21-Feb-2014
10.08,9.98,10.08,24-Feb-2014
10.09,9.99,10.09,25-Feb-2014
10.09,9.99,10.09,26-Feb-2014
10.1,10,10.1,28-Feb-2014
10.09,9.99,10.09,03-Mar-2014
10.13,10.03,10.13,04-Mar-2014
10.16,10.06,10.16,05-Mar-2014
10.22,10.12,10.22,06-Mar-2014
10.23,10.13,10.23,07-Mar-2014
10.25,10.15,10.25,10-Mar-2014
10.24,10.14,10.24,11-Mar-2014
10.24,10.14,10.24,12-Mar-2014
10.22,10.12,10.22,13-Mar-2014
10.23,10.13,10.23,14-Mar-2014
10.28,10.18,10.28,18-Mar-2014
10.27,10.17,10.27,19-Mar-2014
10.25,10.15,10.25,20-Mar-2014
10.26,10.16,10.26,21-Mar-2014
10.28,10.18,10.28,24-Mar-2014
10.31,10.21,10.31,25-Mar-2014
10.33,10.23,10.33,26-Mar-2014
10.38,10.28,10.38,27-Mar-2014
10.48,10.38,10.48,28-Mar-2014
10.49,10.39,10.49,31-Mar-2014
10.5,10.4,10.5,01-Apr-2014
10.63,10.52,10.63,02-Apr-2014
10.61,10.5,10.61,03-Apr-2014
10.62,10.51,10.62,04-Apr-2014
