Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
quant Mutual Fund,,,
Quant Mid Cap Fund,,,
quant Mid Cap Fund - Growth Option - Direct Plan,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
30.6076,30.3015,30.6076,07-Jan-2013
30.6239,30.3177,30.6239,08-Jan-2013
30.6492,30.3427,30.6492,09-Jan-2013
30.6784,30.3716,30.6784,10-Jan-2013
30.6305,30.3242,30.6305,11-Jan-2013
30.6862,30.3793,30.6862,14-Jan-2013
30.6993,30.3923,30.6993,15-Jan-2013
30.6804,30.3923,30.6993,16-Jan-2013
30.6565,30.3499,30.6565,17-Jan-2013
30.658,30.3514,30.658,18-Jan-2013
30.6574,30.3508,30.6574,21-Jan-2013
30.6627,30.3561,30.6627,22-Jan-2013
30.6688,30.3621,30.6688,23-Jan-2013
30.6574,30.3508,30.6574,24-Jan-2013
30.6611,30.3545,30.6611,25-Jan-2013
30.6878,30.3809,30.6878,28-Jan-2013
30.674,30.3673,30.674,29-Jan-2013
30.6441,30.3377,30.6441,30-Jan-2013
30.6763,30.3695,30.6763,31-Jan-2013
30.7201,30.4129,30.7201,01-Feb-2013
30.7231,30.4159,30.7231,04-Feb-2013
30.6673,30.3606,30.6673,05-Feb-2013
30.7067,30.3996,30.7067,06-Feb-2013
30.6882,30.3813,30.6882,07-Feb-2013
30.6813,30.3745,30.6813,08-Feb-2013
30.5643,30.2587,30.5643,11-Feb-2013
30.6846,30.3778,30.6846,12-Feb-2013
30.693,30.3861,30.693,13-Feb-2013
30.648,30.3415,30.648,14-Feb-2013
30.6442,30.3378,30.6442,15-Feb-2013
30.6588,30.3522,30.6588,18-Feb-2013
30.6778,30.371,30.6778,19-Feb-2013
30.7038,30.3968,30.7038,20-Feb-2013
30.6841,30.3773,30.6841,21-Feb-2013
30.6784,30.3716,30.6784,22-Feb-2013
30.8655,30.5568,30.8655,25-Feb-2013
30.8517,30.5432,30.8517,26-Feb-2013
30.8692,30.5605,30.8692,27-Feb-2013
30.8823,30.5735,30.8823,28-Feb-2013
30.8771,30.5683,30.8771,01-Mar-2013
30.9006,30.5916,30.9006,04-Mar-2013
30.9255,30.6162,30.9255,05-Mar-2013
30.9339,30.6246,30.9339,06-Mar-2013
30.9351,30.6257,30.9351,07-Mar-2013
30.9455,30.636,30.9455,08-Mar-2013
30.9535,30.644,30.9535,11-Mar-2013
30.9494,30.6399,30.9494,12-Mar-2013
30.9439,30.6345,30.9439,13-Mar-2013
30.9591,30.6495,30.9591,14-Mar-2013
30.9911,30.6812,30.9911,15-Mar-2013
30.9884,30.6785,30.9884,18-Mar-2013
30.9834,30.6736,30.9834,19-Mar-2013
30.9819,30.6721,30.9819,20-Mar-2013
30.9869,30.677,30.9869,21-Mar-2013
30.9812,30.6714,30.9812,22-Mar-2013
30.9981,30.6881,30.9981,25-Mar-2013
30.9902,30.6803,30.9902,26-Mar-2013
31.0136,30.7035,31.0136,28-Mar-2013
31.0185,30.7083,31.0185,29-Mar-2013
31.055,30.7445,31.055,01-Apr-2013
31.0775,30.7667,31.0775,02-Apr-2013
31.0919,30.781,31.0919,03-Apr-2013
31.0996,30.7886,31.0996,04-Apr-2013
31.0949,30.784,31.0949,05-Apr-2013
31.1187,30.8075,31.1187,08-Apr-2013
31.1389,30.8275,31.1389,09-Apr-2013
31.1225,30.8113,31.1225,10-Apr-2013
31.1374,30.826,31.1374,11-Apr-2013
31.1464,30.8349,31.1464,12-Apr-2013
31.1685,30.8568,31.1685,15-Apr-2013
31.1787,30.8669,31.1787,16-Apr-2013
31.1958,30.8838,31.1958,17-Apr-2013
31.2408,30.9284,31.2408,18-Apr-2013
31.2458,30.9333,31.2458,19-Apr-2013
31.2718,30.9591,31.2718,22-Apr-2013
31.2609,30.9483,31.2609,23-Apr-2013
31.2657,30.953,31.2657,24-Apr-2013
31.3033,30.9903,31.3033,25-Apr-2013
31.3278,31.0145,31.3278,26-Apr-2013
31.3398,31.0264,31.3398,29-Apr-2013
31.3503,31.0368,31.3503,30-Apr-2013
31.3834,31.0696,31.3834,02-May-2013
31.3656,31.0519,31.3656,03-May-2013
31.3995,31.0855,31.3995,06-May-2013
31.4319,31.1176,31.4319,07-May-2013
31.4751,31.1603,31.4751,08-May-2013
31.4968,31.1818,31.4968,09-May-2013
31.4982,31.1832,31.4982,10-May-2013
31.4879,31.173,31.4879,13-May-2013
31.5705,31.2548,31.5705,14-May-2013
31.5899,31.274,31.5899,15-May-2013
31.5827,31.2669,31.5827,16-May-2013
31.5851,31.2692,31.5851,17-May-2013
31.5989,31.2829,31.5989,20-May-2013
31.5881,31.2722,31.5881,21-May-2013
31.5981,31.2821,31.5981,22-May-2013
31.6113,31.2952,31.6113,23-May-2013
31.6135,31.2974,31.6135,24-May-2013
31.6336,31.3173,31.6336,27-May-2013
31.6184,31.3022,31.6184,28-May-2013
31.6166,31.3004,31.6166,29-May-2013
31.6382,31.3218,31.6382,30-May-2013
31.6046,31.2886,31.6046,31-May-2013
31.5998,31.2838,31.5998,03-Jun-2013
31.6364,31.32,31.6364,04-Jun-2013
31.6295,31.3132,31.6295,05-Jun-2013
31.6568,31.3402,31.6568,06-Jun-2013
31.6497,31.3332,31.6497,07-Jun-2013
31.6326,31.3163,31.6326,10-Jun-2013
31.5828,31.267,31.5828,11-Jun-2013
31.5693,31.2536,31.5693,12-Jun-2013
31.5726,31.2569,31.5726,13-Jun-2013
31.5823,31.2665,31.5823,14-Jun-2013
31.6026,31.2866,31.6026,17-Jun-2013
31.6199,31.3037,31.6199,18-Jun-2013
31.6167,31.3005,31.6167,19-Jun-2013
30.9819,31.2136,30.9819,20-Jun-2013
31.5604,31.2448,31.5604,21-Jun-2013
31.5935,31.2776,31.5935,24-Jun-2013
31.5983,31.2823,31.5983,25-Jun-2013
31.5682,31.2525,31.5682,26-Jun-2013
31.551,31.2355,31.551,27-Jun-2013
31.6061,31.29,31.6061,28-Jun-2013
31.6354,31.319,31.6354,01-Jul-2013
31.6447,31.3283,31.6447,02-Jul-2013
31.6149,31.2988,31.6149,03-Jul-2013
31.7005,31.3835,31.7005,04-Jul-2013
31.7308,31.4135,31.7308,05-Jul-2013
31.6958,31.3788,31.6958,08-Jul-2013
31.7138,31.3967,31.7138,09-Jul-2013
31.7128,31.3957,31.7128,10-Jul-2013
31.757,31.4394,31.757,11-Jul-2013
31.8051,31.487,31.8051,12-Jul-2013
31.8193,31.5011,31.8193,15-Jul-2013
31.5549,31.2394,31.5549,16-Jul-2013
31.5346,31.2193,31.5346,17-Jul-2013
31.6192,31.303,31.6192,18-Jul-2013
31.6159,31.2997,31.6159,19-Jul-2013
31.5924,31.2765,31.5924,22-Jul-2013
31.5579,31.2423,31.5579,23-Jul-2013
31.3712,31.0575,31.3712,24-Jul-2013
31.5939,31.278,31.5939,25-Jul-2013
31.591,31.2751,31.591,26-Jul-2013
31.5584,31.2428,31.5584,29-Jul-2013
31.5287,31.2134,31.5287,30-Jul-2013
31.463,31.1484,31.463,31-Jul-2013
31.5515,31.236,31.5515,01-Aug-2013
31.5368,31.2214,31.5368,02-Aug-2013
31.5483,31.2328,31.5483,05-Aug-2013
31.5344,31.2191,31.5344,06-Aug-2013
31.5634,31.2478,31.5634,07-Aug-2013
31.6269,31.3106,31.6269,08-Aug-2013
31.6104,31.2943,31.6104,12-Aug-2013
31.6179,31.3017,31.6179,13-Aug-2013
31.5721,31.2564,31.5721,14-Aug-2013
31.4561,31.1415,31.4561,16-Aug-2013
31.2745,30.9618,31.2745,19-Aug-2013
31.2916,30.9787,31.2916,20-Aug-2013
31.4778,31.163,31.4778,21-Aug-2013
31.477,31.1622,31.477,22-Aug-2013
31.5853,31.2694,31.5853,23-Aug-2013
31.5711,31.2554,31.5711,26-Aug-2013
31.403,31.089,31.403,27-Aug-2013
31.3056,30.9925,31.3056,28-Aug-2013
31.3412,31.0278,31.3412,29-Aug-2013
31.4007,31.0867,31.4007,30-Aug-2013
31.5122,31.1971,31.5122,02-Sep-2013
31.4503,31.1358,31.4503,03-Sep-2013
31.5182,31.203,31.5182,04-Sep-2013
31.6593,31.3427,31.6593,05-Sep-2013
31.6505,31.334,31.6505,06-Sep-2013
31.733,31.4157,31.733,10-Sep-2013
31.7662,31.4485,31.7662,11-Sep-2013
31.7783,31.4605,31.7783,12-Sep-2013
31.8004,31.4824,31.8004,13-Sep-2013
31.8692,31.5505,31.8692,16-Sep-2013
31.8351,31.5167,31.8351,17-Sep-2013
31.8899,31.571,31.8899,18-Sep-2013
32.0075,31.6874,32.0075,19-Sep-2013
31.934,31.6147,31.934,20-Sep-2013
31.8585,31.5399,31.8585,23-Sep-2013
31.8426,31.5242,31.8426,24-Sep-2013
31.8851,31.5662,31.8851,25-Sep-2013
31.916,31.5968,31.916,26-Sep-2013
31.9532,31.6337,31.9532,27-Sep-2013
31.9301,31.6108,31.9301,30-Sep-2013
31.9686,31.6489,31.9686,01-Oct-2013
31.974,31.6543,31.974,02-Oct-2013
32.0673,31.7466,32.0673,03-Oct-2013
32.0989,31.7779,32.0989,04-Oct-2013
32.1285,31.8072,32.1285,07-Oct-2013
32.2513,31.9288,32.2513,08-Oct-2013
32.3213,31.9981,32.3213,09-Oct-2013
32.301,31.978,32.301,10-Oct-2013
32.3317,32.0084,32.3317,11-Oct-2013
32.3093,31.9862,32.3093,14-Oct-2013
32.2883,31.9654,32.2883,15-Oct-2013
32.2938,31.9709,32.2938,16-Oct-2013
32.3189,31.9957,32.3189,17-Oct-2013
32.4268,32.1025,32.4268,18-Oct-2013
32.4775,32.1527,32.4775,21-Oct-2013
32.4872,32.1623,32.4872,22-Oct-2013
32.5233,32.1981,32.5233,23-Oct-2013
32.5346,32.2093,32.5346,24-Oct-2013
32.5173,32.1921,32.5173,25-Oct-2013
32.5484,32.2229,32.5484,28-Oct-2013
32.6515,32.325,32.6515,29-Oct-2013
32.6125,32.2864,32.6125,30-Oct-2013
32.6518,32.3253,32.6518,31-Oct-2013
32.6454,32.3189,32.6454,01-Nov-2013
32.6618,32.3352,32.6618,04-Nov-2013
32.7174,32.3902,32.7174,05-Nov-2013
32.6265,32.3002,32.6265,06-Nov-2013
32.5983,32.2723,32.5983,07-Nov-2013
32.5316,32.2063,32.5316,08-Nov-2013
32.4955,32.1705,32.4955,11-Nov-2013
32.3947,32.0708,32.3947,12-Nov-2013
32.4322,32.1079,32.4322,13-Nov-2013
32.4418,32.1174,32.4418,14-Nov-2013
32.4474,32.1229,32.4474,15-Nov-2013
32.4751,32.1503,32.4751,18-Nov-2013
32.5017,32.1767,32.5017,19-Nov-2013
32.5391,32.2137,32.5391,20-Nov-2013
32.488,32.1631,32.488,21-Nov-2013
32.5096,32.1845,32.5096,22-Nov-2013
32.5583,32.2327,32.5583,25-Nov-2013
32.5796,32.2538,32.5796,26-Nov-2013
32.6643,32.3377,32.6643,27-Nov-2013
32.7085,32.3814,32.7085,28-Nov-2013
32.7537,32.4262,32.7537,29-Nov-2013
32.7932,32.4653,32.7932,02-Dec-2013
32.7924,32.4645,32.7924,03-Dec-2013
32.7606,32.433,32.7606,04-Dec-2013
32.8103,32.4822,32.8103,05-Dec-2013
32.8026,32.4746,32.8026,06-Dec-2013
32.8598,32.5312,32.8598,09-Dec-2013
32.8561,32.5275,32.8561,10-Dec-2013
32.8339,32.5056,32.8339,11-Dec-2013
32.8431,32.5147,32.8431,12-Dec-2013
32.807,32.4789,32.807,13-Dec-2013
32.8574,32.5288,32.8574,16-Dec-2013
32.834,32.5057,32.834,17-Dec-2013
32.9813,32.6515,32.9813,18-Dec-2013
33.0031,32.6731,33.0031,19-Dec-2013
33.0843,32.7535,33.0843,20-Dec-2013
33.09,32.7591,33.09,21-Dec-2013
33.1548,32.8233,33.1548,23-Dec-2013
33.1496,32.8181,33.1496,24-Dec-2013
33.1844,32.8526,33.1844,26-Dec-2013
33.2216,32.8894,33.2216,27-Dec-2013
33.2426,32.9102,33.2426,30-Dec-2013
33.267,32.9343,33.267,31-Dec-2013
33.2578,32.9252,33.2578,01-Jan-2014
33.2215,32.8893,33.2215,02-Jan-2014
33.2596,32.927,33.2596,03-Jan-2014
33.1183,32.7871,33.1183,06-Jan-2014
33.1179,32.7867,33.1179,07-Jan-2014
33.1048,32.7738,33.1048,08-Jan-2014
33.1135,32.7824,33.1135,09-Jan-2014
33.1133,32.7822,33.1133,10-Jan-2014
33.1891,32.8572,33.1891,13-Jan-2014
33.185,32.8532,33.185,14-Jan-2014
33.2341,32.9018,33.2341,15-Jan-2014
33.2535,32.921,33.2535,16-Jan-2014
33.1938,32.8619,33.1938,17-Jan-2014
33.2606,32.928,33.2606,20-Jan-2014
33.2731,32.9404,33.2731,21-Jan-2014
33.271,32.9383,33.271,22-Jan-2014
33.2825,32.9497,33.2825,23-Jan-2014
33.2323,32.9,33.2323,24-Jan-2014
33.1357,32.8043,33.1357,27-Jan-2014
33.0627,32.7321,33.0627,28-Jan-2014
33.059,32.7284,33.059,29-Jan-2014
32.9481,32.6186,32.9481,30-Jan-2014
33.0176,32.6874,33.0176,31-Jan-2014
33.0118,32.6817,33.0118,03-Feb-2014
32.9965,32.6665,32.9965,04-Feb-2014
33.0271,32.6968,33.0271,05-Feb-2014
33.0351,32.7047,33.0351,06-Feb-2014
33.0979,32.7669,33.0979,07-Feb-2014
33.1096,32.7785,33.1096,10-Feb-2014
33.0822,32.7514,33.0822,11-Feb-2014
33.0892,32.7583,33.0892,12-Feb-2014
33.0386,32.7082,33.0386,13-Feb-2014
33.0458,32.7153,33.0458,14-Feb-2014
33.1427,32.8113,33.1427,17-Feb-2014
33.2698,32.9371,33.2698,18-Feb-2014
33.2091,32.877,33.2091,19-Feb-2014
33.2042,32.8722,33.2042,20-Feb-2014
33.2961,32.9631,33.2961,21-Feb-2014
33.4027,33.0687,33.4027,24-Feb-2014
33.443,33.1086,33.443,25-Feb-2014
33.5375,33.2021,33.5375,26-Feb-2014
33.4958,33.1608,33.4958,28-Feb-2014
33.4822,33.1474,33.4822,03-Mar-2014
33.6518,33.3153,33.6518,04-Mar-2014
33.72,33.3828,33.72,05-Mar-2014
33.822,33.4838,33.822,06-Mar-2014
33.8733,33.5346,33.8733,07-Mar-2014
33.8479,33.5094,33.8479,10-Mar-2014
33.9443,33.6049,33.9443,11-Mar-2014
33.918,33.5788,33.918,12-Mar-2014
33.8708,33.5321,33.8708,13-Mar-2014
33.8191,33.4809,33.8191,14-Mar-2014
33.8637,33.5251,33.8637,18-Mar-2014
33.908,33.5689,33.908,19-Mar-2014
33.9027,33.5637,33.9027,20-Mar-2014
33.9409,33.6015,33.9409,21-Mar-2014
34.0039,33.6639,34.0039,24-Mar-2014
33.9937,33.6538,33.9937,25-Mar-2014
33.998,33.658,33.998,26-Mar-2014
34.1115,33.7704,34.1115,27-Mar-2014
34.2524,33.9099,34.2524,28-Mar-2014
34.3716,34.0279,34.3716,31-Mar-2014
34.4386,34.0942,34.4386,01-Apr-2014
34.4663,34.1216,34.4663,02-Apr-2014
34.4587,34.1141,34.4587,03-Apr-2014
34.5208,34.1756,34.5208,04-Apr-2014
34.5081,34.163,34.5081,07-Apr-2014
34.6294,34.2831,34.6294,09-Apr-2014
34.6955,34.3485,34.6955,10-Apr-2014
34.8263,34.478,34.8263,11-Apr-2014
34.8415,34.4931,34.8415,15-Apr-2014
34.8088,34.4607,34.8088,16-Apr-2014
35.0202,34.67,35.0202,17-Apr-2014
35.2201,34.8679,35.2201,21-Apr-2014
35.2249,34.8727,35.2249,22-Apr-2014
35.277,34.9242,35.277,23-Apr-2014
35.3158,34.9626,35.3158,25-Apr-2014
35.4212,35.067,35.4212,28-Apr-2014
35.3096,34.9565,35.3096,29-Apr-2014
35.1457,34.7942,35.1457,30-Apr-2014
35.0865,34.7356,35.0865,02-May-2014
