Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Canara Robeco Mutual Fund,,,
Canara Robeco Equity Hybrid Fund,,,
CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
72.08,72.08,72.08,02-Jan-2013
72.11,72.11,72.11,03-Jan-2013
72.29,72.29,72.29,04-Jan-2013
72.22,72.22,72.22,07-Jan-2013
72.25,72.25,72.25,08-Jan-2013
72.03,72.03,72.03,09-Jan-2013
72,72,72,10-Jan-2013
71.66,71.66,71.66,11-Jan-2013
72.17,72.17,72.17,14-Jan-2013
72.55,72.55,72.55,15-Jan-2013
71.87,71.87,71.87,16-Jan-2013
72.12,72.12,72.12,17-Jan-2013
72.23,72.23,72.23,18-Jan-2013
72.27,72.27,72.27,21-Jan-2013
71.99,71.99,71.99,22-Jan-2013
71.88,71.88,71.88,23-Jan-2013
71.09,71.09,71.09,24-Jan-2013
71.65,71.65,71.65,25-Jan-2013
71.77,71.77,71.77,28-Jan-2013
71.65,71.65,71.65,29-Jan-2013
71.71,71.71,71.71,30-Jan-2013
71.64,71.64,71.64,31-Jan-2013
71.4,71.4,71.4,01-Feb-2013
71.08,71.08,71.08,04-Feb-2013
70.78,70.78,70.78,05-Feb-2013
70.79,70.79,70.79,06-Feb-2013
70.53,70.53,70.53,07-Feb-2013
70.19,70.19,70.19,08-Feb-2013
70.23,70.23,70.23,11-Feb-2013
70.39,70.39,70.39,12-Feb-2013
70.38,70.38,70.38,13-Feb-2013
69.86,69.86,69.86,14-Feb-2013
69.82,69.82,69.82,15-Feb-2013
69.97,69.97,69.97,18-Feb-2013
70.41,70.41,70.41,19-Feb-2013
70.41,70.41,70.41,20-Feb-2013
69.57,69.57,69.57,21-Feb-2013
69.5,69.5,69.5,22-Feb-2013
69.37,69.37,69.37,25-Feb-2013
68.54,68.54,68.54,26-Feb-2013
68.83,68.83,68.83,27-Feb-2013
67.91,67.91,67.91,28-Feb-2013
68.2,68.2,68.2,01-Mar-2013
67.82,67.82,67.82,04-Mar-2013
68.61,68.61,68.61,05-Mar-2013
69.09,69.09,69.09,06-Mar-2013
69.44,69.44,69.44,07-Mar-2013
69.89,69.89,69.89,08-Mar-2013
69.84,69.84,69.84,11-Mar-2013
69.61,69.61,69.61,12-Mar-2013
69.05,69.05,69.05,13-Mar-2013
69.44,69.44,69.44,14-Mar-2013
69.18,69.18,69.18,15-Mar-2013
68.95,68.95,68.95,18-Mar-2013
68.25,68.25,68.25,19-Mar-2013
67.49,67.49,67.49,20-Mar-2013
67.33,67.33,67.33,21-Mar-2013
67.17,67.17,67.17,22-Mar-2013
67,67,67,25-Mar-2013
67.06,67.06,67.06,26-Mar-2013
67.46,67.46,67.46,28-Mar-2013
67.75,67.75,67.75,01-Apr-2013
68.18,68.18,68.18,02-Apr-2013
67.61,67.61,67.61,03-Apr-2013
66.8,66.8,66.8,04-Apr-2013
66.73,66.73,66.73,05-Apr-2013
66.77,66.77,66.77,08-Apr-2013
66.34,66.34,66.34,09-Apr-2013
66.81,66.81,66.81,10-Apr-2013
67.14,67.14,67.14,11-Apr-2013
66.61,66.61,66.61,12-Apr-2013
67.08,67.08,67.08,15-Apr-2013
67.81,67.81,67.81,16-Apr-2013
67.85,67.85,67.85,17-Apr-2013
68.4,68.4,68.4,18-Apr-2013
68.67,68.67,68.67,22-Apr-2013
68.62,68.62,68.62,23-Apr-2013
68.94,68.94,68.94,25-Apr-2013
68.59,68.59,68.59,26-Apr-2013
69.02,69.02,69.02,29-Apr-2013
69.25,69.25,69.25,30-Apr-2013
70.01,70.01,70.01,02-May-2013
69.59,69.59,69.59,03-May-2013
69.96,69.96,69.96,06-May-2013
70.52,70.52,70.52,07-May-2013
70.5,70.5,70.5,08-May-2013
70.38,70.38,70.38,09-May-2013
70.69,70.69,70.69,10-May-2013
69.97,69.97,69.97,13-May-2013
70.15,70.15,70.15,14-May-2013
71.16,71.16,71.16,15-May-2013
71.37,71.37,71.37,16-May-2013
71.44,71.44,71.44,17-May-2013
71.1,71.1,71.1,20-May-2013
70.78,70.78,70.78,21-May-2013
70.47,70.47,70.47,22-May-2013
69.43,69.43,69.43,23-May-2013
69.65,69.65,69.65,24-May-2013
70.26,70.26,70.26,27-May-2013
70.52,70.52,70.52,28-May-2013
70.39,70.39,70.39,29-May-2013
70.47,70.47,70.47,30-May-2013
69.57,69.57,69.57,31-May-2013
69.46,69.46,69.46,03-Jun-2013
69.13,69.13,69.13,04-Jun-2013
69.22,69.22,69.22,05-Jun-2013
69.26,69.26,69.26,06-Jun-2013
69.04,69.04,69.04,07-Jun-2013
68.82,68.82,68.82,10-Jun-2013
68.03,68.03,68.03,11-Jun-2013
67.84,67.84,67.84,12-Jun-2013
67.27,67.27,67.27,13-Jun-2013
68.02,68.02,68.02,14-Jun-2013
68.4,68.4,68.4,17-Jun-2013
68.32,68.32,68.32,18-Jun-2013
68.51,68.51,68.51,19-Jun-2013
67.27,67.27,67.27,20-Jun-2013
67.19,67.19,67.19,21-Jun-2013
66.21,66.21,66.21,24-Jun-2013
66.42,66.42,66.42,25-Jun-2013
65.96,65.96,65.96,26-Jun-2013
66.62,66.62,66.62,27-Jun-2013
67.73,67.73,67.73,28-Jun-2013
68.27,68.27,68.27,01-Jul-2013
68.06,68.06,68.06,02-Jul-2013
67.29,67.29,67.29,03-Jul-2013
67.75,67.75,67.75,04-Jul-2013
67.91,67.91,67.91,05-Jul-2013
67.52,67.52,67.52,08-Jul-2013
67.89,67.89,67.89,09-Jul-2013
67.74,67.74,67.74,10-Jul-2013
