Historical NAV for a period From 01-Jan-2015 to 31-Dec-2019,,,
Mirae Asset Mutual Fund,,,
Mirae Asset Hybrid-Equity Fund,,,
Mirae Asset Hybrid-Equity Fund -Direct Plan-Growth,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
10.01,9.81,10.01,30-Jul-2015
10.063,9.862,10.063,31-Jul-2015
10.084,9.882,10.084,03-Aug-2015
10.069,9.868,10.069,04-Aug-2015
10.116,9.914,10.116,05-Aug-2015
10.132,9.929,10.132,06-Aug-2015
10.13,9.927,10.13,07-Aug-2015
10.109,9.907,10.109,10-Aug-2015
10.067,9.866,10.067,11-Aug-2015
9.967,9.768,9.967,12-Aug-2015
9.994,9.794,9.994,13-Aug-2015
10.149,9.946,10.149,14-Aug-2015
10.128,9.925,10.128,17-Aug-2015
10.155,9.952,10.155,18-Aug-2015
10.187,9.983,10.187,19-Aug-2015
10.084,9.882,10.084,20-Aug-2015
10.021,9.821,10.021,21-Aug-2015
9.57,9.379,9.57,24-Aug-2015
9.647,9.454,9.647,25-Aug-2015
9.59,9.398,9.59,26-Aug-2015
9.747,9.552,9.747,27-Aug-2015
9.788,9.592,9.788,28-Aug-2015
9.738,9.543,9.738,31-Aug-2015
9.575,9.384,9.575,01-Sep-2015
9.536,9.345,9.536,02-Sep-2015
9.64,9.447,9.64,03-Sep-2015
9.485,9.295,9.485,04-Sep-2015
9.377,9.189,9.377,07-Sep-2015
9.48,9.29,9.48,08-Sep-2015
9.596,9.404,9.596,09-Sep-2015
9.572,9.381,9.572,10-Sep-2015
9.59,9.398,9.59,11-Sep-2015
9.667,9.474,9.667,14-Sep-2015
9.65,9.457,9.65,15-Sep-2015
9.674,9.481,9.674,16-Sep-2015
9.73,9.535,9.73,18-Sep-2015
9.747,9.552,9.747,21-Sep-2015
9.612,9.42,9.612,22-Sep-2015
9.647,9.454,9.647,23-Sep-2015
9.673,9.48,9.673,24-Sep-2015
9.612,9.42,9.612,28-Sep-2015
9.676,9.482,9.676,29-Sep-2015
9.789,9.593,9.789,30-Sep-2015
9.796,9.6,9.796,01-Oct-2015
9.926,9.727,9.926,05-Oct-2015
9.95,9.751,9.95,06-Oct-2015
9.946,9.747,9.946,07-Oct-2015
9.91,9.712,9.91,08-Oct-2015
9.941,9.742,9.941,09-Oct-2015
9.909,9.711,9.909,12-Oct-2015
9.893,9.695,9.893,13-Oct-2015
9.884,9.686,9.884,14-Oct-2015
9.963,9.764,9.963,15-Oct-2015
10.022,9.822,10.022,16-Oct-2015
10.08,9.878,10.08,19-Oct-2015
10.094,9.892,10.094,20-Oct-2015
10.076,9.874,10.076,21-Oct-2015
