Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Edelweiss Mutual Fund,,,
Edelweiss Balanced Advantage Fund,,,
Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
12.72,12.59,12.72,22-Jan-2013
12.67,12.54,12.67,23-Jan-2013
12.63,12.5,12.63,24-Jan-2013
12.71,12.58,12.71,25-Jan-2013
12.71,12.58,12.71,28-Jan-2013
12.69,12.56,12.69,29-Jan-2013
12.69,12.56,12.69,30-Jan-2013
12.68,12.55,12.68,31-Jan-2013
12.65,12.52,12.65,01-Feb-2013
12.65,12.52,12.65,04-Feb-2013
12.62,12.49,12.62,05-Feb-2013
12.63,12.5,12.63,06-Feb-2013
12.64,12.51,12.64,07-Feb-2013
12.64,12.51,12.64,08-Feb-2013
12.6,12.47,12.6,11-Feb-2013
12.63,12.5,12.63,12-Feb-2013
12.67,12.54,12.67,13-Feb-2013
12.64,12.51,12.64,14-Feb-2013
12.63,12.5,12.63,15-Feb-2013
12.61,12.48,12.61,18-Feb-2013
12.64,12.51,12.64,19-Feb-2013
12.65,12.52,12.65,20-Feb-2013
12.64,12.51,12.64,21-Feb-2013
12.69,12.56,12.69,22-Feb-2013
12.73,12.6,12.73,25-Feb-2013
12.73,12.6,12.73,26-Feb-2013
12.75,12.62,12.75,27-Feb-2013
12.62,12.49,12.62,28-Feb-2013
12.64,12.51,12.64,01-Mar-2013
12.61,12.48,12.61,04-Mar-2013
12.66,12.53,12.66,05-Mar-2013
12.64,12.51,12.64,06-Mar-2013
12.67,12.54,12.67,07-Mar-2013
12.76,12.63,12.76,08-Mar-2013
12.78,12.65,12.78,11-Mar-2013
12.75,12.62,12.75,12-Mar-2013
12.65,12.52,12.65,13-Mar-2013
12.66,12.53,12.66,14-Mar-2013
12.66,12.53,12.66,15-Mar-2013
12.62,12.49,12.62,18-Mar-2013
12.6,12.47,12.6,19-Mar-2013
12.55,12.42,12.55,20-Mar-2013
12.6,12.47,12.6,21-Mar-2013
12.56,12.43,12.56,22-Mar-2013
12.54,12.41,12.54,25-Mar-2013
12.57,12.44,12.57,26-Mar-2013
12.61,12.48,12.61,28-Mar-2013
12.61,12.48,12.61,01-Apr-2013
12.63,12.5,12.63,02-Apr-2013
12.61,12.48,12.61,03-Apr-2013
12.57,12.44,12.57,04-Apr-2013
12.56,12.43,12.56,05-Apr-2013
12.54,12.41,12.54,08-Apr-2013
12.52,12.39,12.52,09-Apr-2013
12.51,12.38,12.51,10-Apr-2013
12.55,12.42,12.55,11-Apr-2013
12.57,12.44,12.57,12-Apr-2013
12.58,12.45,12.58,15-Apr-2013
12.62,12.49,12.62,16-Apr-2013
12.64,12.51,12.64,17-Apr-2013
12.68,12.55,12.68,18-Apr-2013
12.73,12.6,12.73,22-Apr-2013
12.71,12.58,12.71,23-Apr-2013
12.82,12.69,12.82,25-Apr-2013
12.73,12.6,12.73,26-Apr-2013
12.82,12.69,12.82,29-Apr-2013
12.95,12.82,12.95,30-Apr-2013
13.08,12.95,13.08,02-May-2013
13.01,12.88,13.01,03-May-2013
13.03,12.9,13.03,06-May-2013
13.15,13.02,13.15,07-May-2013
13.23,13.1,13.23,08-May-2013
13.2,13.07,13.2,09-May-2013
13.29,13.16,13.29,10-May-2013
13.14,13.01,13.14,13-May-2013
13.16,13.03,13.16,14-May-2013
13.3,13.17,13.3,15-May-2013
13.33,13.2,13.33,16-May-2013
13.31,13.18,13.31,17-May-2013
13.28,13.15,13.28,20-May-2013
13.23,13.1,13.23,21-May-2013
13.25,13.12,13.25,22-May-2013
13.18,13.05,13.18,23-May-2013
13.21,13.08,13.21,24-May-2013
13.26,13.13,13.26,27-May-2013
13.31,13.18,13.31,28-May-2013
13.3,13.17,13.3,29-May-2013
13.34,13.21,13.34,30-May-2013
13.22,13.09,13.22,31-May-2013
13.18,13.05,13.18,03-Jun-2013
13.17,13.04,13.17,04-Jun-2013
13.16,13.03,13.16,05-Jun-2013
13.15,13.02,13.15,06-Jun-2013
13.16,13.03,13.16,07-Jun-2013
13.12,12.99,13.12,10-Jun-2013
13.07,12.94,13.07,11-Jun-2013
12.93,12.8,12.93,12-Jun-2013
12.82,12.69,12.82,13-Jun-2013
12.87,12.74,12.87,14-Jun-2013
12.87,12.74,12.87,17-Jun-2013
12.84,12.71,12.84,18-Jun-2013
12.8,12.67,12.8,19-Jun-2013
12.74,12.61,12.74,20-Jun-2013
13,12.87,13,21-Jun-2013
12.95,12.82,12.95,24-Jun-2013
12.94,12.81,12.94,25-Jun-2013
12.94,12.81,12.94,26-Jun-2013
12.98,12.85,12.98,27-Jun-2013
13.05,12.92,13.05,28-Jun-2013
13.1,12.97,13.1,01-Jul-2013
13.07,12.94,13.07,02-Jul-2013
13,12.87,13,03-Jul-2013
13.09,12.96,13.09,04-Jul-2013
13.12,12.99,13.12,05-Jul-2013
13.07,12.94,13.07,08-Jul-2013
13.09,12.96,13.09,09-Jul-2013
13.07,12.94,13.07,10-Jul-2013
13.15,13.02,13.15,11-Jul-2013
13.26,13.13,13.26,12-Jul-2013
13.33,13.2,13.33,15-Jul-2013
13.22,13.09,13.22,16-Jul-2013
13.18,13.05,13.18,17-Jul-2013
13.28,13.15,13.28,18-Jul-2013
13.28,13.15,13.28,19-Jul-2013
13.32,13.19,13.32,22-Jul-2013
13.37,13.24,13.37,23-Jul-2013
13.2,13.07,13.2,24-Jul-2013
13.1,12.97,13.1,25-Jul-2013
13.04,12.91,13.04,26-Jul-2013
13.04,12.91,13.04,29-Jul-2013
13.01,12.88,13.01,30-Jul-2013
12.98,12.85,12.98,31-Jul-2013
12.99,12.86,12.99,01-Aug-2013
13,12.87,13,02-Aug-2013
13.04,12.91,13.04,05-Aug-2013
12.97,12.84,12.97,06-Aug-2013
12.9,12.77,12.9,07-Aug-2013
12.91,12.78,12.91,08-Aug-2013
12.97,12.84,12.97,12-Aug-2013
13.07,12.94,13.07,13-Aug-2013
13.09,12.96,13.09,14-Aug-2013
12.96,12.83,12.96,16-Aug-2013
12.84,12.71,12.84,19-Aug-2013
12.75,12.62,12.75,20-Aug-2013
12.76,12.63,12.76,21-Aug-2013
12.71,12.58,12.71,22-Aug-2013
12.85,12.72,12.85,23-Aug-2013
12.89,12.76,12.89,26-Aug-2013
12.62,12.49,12.62,27-Aug-2013
12.67,12.54,12.67,28-Aug-2013
12.77,12.64,12.77,29-Aug-2013
12.81,12.68,12.81,30-Aug-2013
12.89,12.76,12.89,02-Sep-2013
12.69,12.56,12.69,03-Sep-2013
12.73,12.6,12.73,04-Sep-2013
12.83,12.7,12.83,05-Sep-2013
12.86,12.73,12.86,06-Sep-2013
13.16,13.03,13.16,10-Sep-2013
13.18,13.05,13.18,11-Sep-2013
13.1,12.97,13.1,12-Sep-2013
13.04,12.91,13.04,13-Sep-2013
13.01,12.88,13.01,16-Sep-2013
13,12.87,13,17-Sep-2013
13.09,12.96,13.09,18-Sep-2013
13.46,13.33,13.46,19-Sep-2013
13.26,13.13,13.26,20-Sep-2013
13.1,12.97,13.1,23-Sep-2013
13.11,12.98,13.11,24-Sep-2013
13.11,12.98,13.11,25-Sep-2013
13.11,12.98,13.11,26-Sep-2013
13.09,12.96,13.09,27-Sep-2013
13.04,12.91,13.04,30-Sep-2013
13.07,12.94,13.07,01-Oct-2013
13.15,13.02,13.15,03-Oct-2013
13.16,13.03,13.16,04-Oct-2013
13.19,13.06,13.19,07-Oct-2013
13.19,13.06,13.19,08-Oct-2013
13.33,13.2,13.33,09-Oct-2013
13.35,13.22,13.35,10-Oct-2013
13.42,13.29,13.42,11-Oct-2013
13.45,13.32,13.45,14-Oct-2013
13.39,13.26,13.39,15-Oct-2013
13.29,13.16,13.29,17-Oct-2013
13.49,13.36,13.49,18-Oct-2013
13.49,13.36,13.49,21-Oct-2013
13.57,13.43,13.57,22-Oct-2013
13.53,13.39,13.53,23-Oct-2013
13.47,13.34,13.47,24-Oct-2013
13.48,13.35,13.48,25-Oct-2013
13.4,13.27,13.4,28-Oct-2013
13.55,13.41,13.55,29-Oct-2013
13.62,13.48,13.62,30-Oct-2013
13.67,13.53,13.67,31-Oct-2013
13.67,13.53,13.67,01-Nov-2013
13.62,13.48,13.62,05-Nov-2013
13.59,13.45,13.59,06-Nov-2013
13.55,13.41,13.55,07-Nov-2013
13.52,13.38,13.52,08-Nov-2013
13.49,13.36,13.49,11-Nov-2013
13.47,13.34,13.47,12-Nov-2013
13.46,13.33,13.46,13-Nov-2013
13.49,13.36,13.49,14-Nov-2013
13.54,13.4,13.54,18-Nov-2013
13.54,13.4,13.54,19-Nov-2013
13.42,13.29,13.42,20-Nov-2013
13.29,13.16,13.29,21-Nov-2013
13.28,13.15,13.28,22-Nov-2013
13.3,13.17,13.3,25-Nov-2013
13.27,13.14,13.27,26-Nov-2013
13.27,13.14,13.27,27-Nov-2013
13.28,13.15,13.28,28-Nov-2013
13.39,13.26,13.39,29-Nov-2013
13.49,13.36,13.49,02-Dec-2013
13.47,13.34,13.47,03-Dec-2013
13.41,13.28,13.41,04-Dec-2013
13.5,13.37,13.5,05-Dec-2013
13.53,13.39,13.53,06-Dec-2013
13.65,13.51,13.65,09-Dec-2013
13.6,13.46,13.6,10-Dec-2013
13.59,13.45,13.59,11-Dec-2013
13.5,13.37,13.5,12-Dec-2013
13.39,13.26,13.39,13-Dec-2013
13.44,13.31,13.44,16-Dec-2013
13.46,13.33,13.46,17-Dec-2013
13.54,13.4,13.54,18-Dec-2013
13.52,13.38,13.52,19-Dec-2013
13.68,13.54,13.68,20-Dec-2013
13.72,13.58,13.72,23-Dec-2013
13.7,13.56,13.7,24-Dec-2013
13.72,13.58,13.72,26-Dec-2013
13.79,13.65,13.79,27-Dec-2013
13.74,13.6,13.74,30-Dec-2013
13.79,13.65,13.79,31-Dec-2013
13.79,13.65,13.79,01-Jan-2014
13.67,13.53,13.67,02-Jan-2014
13.68,13.54,13.68,03-Jan-2014
13.67,13.53,13.67,06-Jan-2014
13.63,13.49,13.63,07-Jan-2014
13.67,13.53,13.67,08-Jan-2014
13.65,13.51,13.65,09-Jan-2014
13.62,13.48,13.62,10-Jan-2014
13.69,13.55,13.69,13-Jan-2014
13.65,13.51,13.65,14-Jan-2014
13.7,13.56,13.7,15-Jan-2014
13.7,13.56,13.7,16-Jan-2014
13.56,13.42,13.56,17-Jan-2014
13.67,13.53,13.67,20-Jan-2014
13.67,13.53,13.67,21-Jan-2014
13.68,13.54,13.68,22-Jan-2014
13.65,13.51,13.65,23-Jan-2014
13.52,13.38,13.52,24-Jan-2014
13.32,13.19,13.32,27-Jan-2014
13.31,13.18,13.31,28-Jan-2014
13.33,13.2,13.33,29-Jan-2014
13.3,13.17,13.3,30-Jan-2014
13.37,13.24,13.37,31-Jan-2014
13.26,13.13,13.26,03-Feb-2014
13.25,13.12,13.25,04-Feb-2014
13.33,13.2,13.33,05-Feb-2014
13.35,13.22,13.35,06-Feb-2014
13.37,13.24,13.37,07-Feb-2014
13.37,13.24,13.37,10-Feb-2014
13.4,13.27,13.4,11-Feb-2014
13.42,13.29,13.42,12-Feb-2014
13.33,13.2,13.33,13-Feb-2014
13.35,13.22,13.35,14-Feb-2014
13.35,13.22,13.35,17-Feb-2014
13.38,13.25,13.38,18-Feb-2014
13.41,13.28,13.41,19-Feb-2014
13.37,13.24,13.37,20-Feb-2014
13.42,13.29,13.42,21-Feb-2014
13.47,13.34,13.47,24-Feb-2014
13.51,13.37,13.51,25-Feb-2014
13.56,13.42,13.56,26-Feb-2014
13.63,13.49,13.63,28-Feb-2014
13.52,13.38,13.52,03-Mar-2014
13.59,13.45,13.59,04-Mar-2014
13.55,13.41,13.55,05-Mar-2014
13.59,13.45,13.59,06-Mar-2014
13.62,13.48,13.62,07-Mar-2014
13.73,13.59,13.73,10-Mar-2014
13.71,13.57,13.71,11-Mar-2014
13.73,13.59,13.73,12-Mar-2014
13.74,13.6,13.74,13-Mar-2014
13.69,13.55,13.69,14-Mar-2014
13.73,13.59,13.73,18-Mar-2014
13.72,13.58,13.72,19-Mar-2014
13.73,13.59,13.73,20-Mar-2014
13.76,13.62,13.76,21-Mar-2014
13.8,13.66,13.8,24-Mar-2014
13.8,13.66,13.8,25-Mar-2014
13.78,13.64,13.78,26-Mar-2014
13.81,13.67,13.81,27-Mar-2014
13.89,13.75,13.89,28-Mar-2014
13.91,13.77,13.91,31-Mar-2014
13.94,13.8,13.94,01-Apr-2014
14.01,13.87,14.01,02-Apr-2014
13.95,13.81,13.95,03-Apr-2014
13.91,13.77,13.91,04-Apr-2014
13.89,13.75,13.89,07-Apr-2014
14,13.86,14,09-Apr-2014
14.02,13.88,14.02,10-Apr-2014
14.02,13.88,14.02,11-Apr-2014
14.01,13.87,14.01,15-Apr-2014
13.92,13.78,13.92,16-Apr-2014
14,13.86,14,17-Apr-2014
14.03,13.89,14.03,21-Apr-2014
14.04,13.9,14.04,22-Apr-2014
14.02,13.88,14.02,23-Apr-2014
14.02,13.88,14.02,25-Apr-2014
14.03,13.89,14.03,28-Apr-2014
13.98,13.84,13.98,29-Apr-2014
13.98,13.84,13.98,30-Apr-2014
14.02,13.88,14.02,02-May-2014
13.99,13.85,13.99,05-May-2014
14.02,13.88,14.02,06-May-2014
13.94,13.8,13.94,07-May-2014
13.95,13.81,13.95,08-May-2014
14.21,14.07,14.21,09-May-2014
14.42,14.28,14.42,12-May-2014
14.53,14.38,14.53,13-May-2014
14.57,14.42,14.57,14-May-2014
14.56,14.41,14.56,15-May-2014
14.77,14.62,14.77,16-May-2014
14.98,14.83,14.98,19-May-2014
14.99,14.84,14.99,20-May-2014
15.02,14.87,15.02,21-May-2014
15.08,14.93,15.08,22-May-2014
15.24,15.09,15.24,23-May-2014
15.24,15.09,15.24,26-May-2014
15.18,15.03,15.18,27-May-2014
15.23,15.08,15.23,28-May-2014
15.08,14.93,15.08,29-May-2014
15.05,14.9,15.05,30-May-2014
15.24,15.09,15.24,02-Jun-2014
15.31,15.16,15.31,03-Jun-2014
15.28,15.13,15.28,04-Jun-2014
15.41,15.26,15.41,05-Jun-2014
15.6,15.44,15.6,06-Jun-2014
15.71,15.55,15.71,09-Jun-2014
15.68,15.52,15.68,10-Jun-2014
15.64,15.48,15.64,11-Jun-2014
15.66,15.5,15.66,12-Jun-2014
15.51,15.35,15.51,13-Jun-2014
15.5,15.35,15.5,16-Jun-2014
15.66,15.5,15.66,17-Jun-2014
15.59,15.43,15.59,18-Jun-2014
15.52,15.36,15.52,19-Jun-2014
15.52,15.36,15.52,20-Jun-2014
15.5,15.35,15.5,23-Jun-2014
15.58,15.42,15.58,24-Jun-2014
15.59,15.43,15.59,25-Jun-2014
15.52,15.36,15.52,26-Jun-2014
15.58,15.42,15.58,27-Jun-2014
15.65,15.49,15.65,30-Jun-2014
15.67,15.51,15.67,01-Jul-2014
